"","dataset","cali_window_size","proj_window_size","disease","days_since_data","reliability","sharpness","bias","bias_score","rmse","sum_rmse"
"1","24d40e806d5935928f521b3f749e4a4b",10,10,"ebola",1,0.753745877707857,NA,0.2304,0.168556312001971,0.638357266740185,123785734.050932
"2","24d40e806d5935928f521b3f749e4a4b",10,10,"ebola",2,0.75141288349633,NA,0.2312,0.168556312001971,0.64730209330729,123785734.050932
"3","24d40e806d5935928f521b3f749e4a4b",10,10,"ebola",3,0.732860433299761,NA,0.2411,0.168556312001971,0.699714227381436,123785734.050932
"4","24d40e806d5935928f521b3f749e4a4b",10,10,"ebola",4,0.697815875290702,NA,0.2593,0.168556312001971,0.809691299199886,123785734.050932
"5","24d40e806d5935928f521b3f749e4a4b",10,10,"ebola",5,0.666376801773291,NA,0.2701,0.168556312001971,0.93888231424391,123785734.050932
"6","24d40e806d5935928f521b3f749e4a4b",10,10,"ebola",6,0.620270255469177,NA,0.2848,0.168556312001971,1.13375482358401,123785734.050932
"7","24d40e806d5935928f521b3f749e4a4b",10,10,"ebola",7,0.567678523637098,NA,0.3011,0.168556312001971,1.3857849761056,123785734.050932
"8","24d40e806d5935928f521b3f749e4a4b",10,10,"ebola",8,0.848320841539526,NA,-0.5446,0.168556312001971,1.6435632023138,123785734.050932
"9","24d40e806d5935928f521b3f749e4a4b",10,10,"ebola",9,0.428699102036577,NA,0.3365,0.168556312001971,2.23329353198365,123785734.050932
"10","24d40e806d5935928f521b3f749e4a4b",10,10,"ebola",10,0.359802503304869,NA,0.3396,0.168556312001971,2.90853915222058,123785734.050932
"11","24d40e806d5935928f521b3f749e4a4b",10,10,"ebola",11,0.27870539136269,NA,0.354,0.168556312001971,3.84260328423323,123785734.050932
"12","24d40e806d5935928f521b3f749e4a4b",10,10,"ebola",12,0.202665184304061,NA,0.3665,0.168556312001971,5.08725859378113,123785734.050932
"13","24d40e806d5935928f521b3f749e4a4b",10,10,"ebola",13,0.13325375982654,NA,0.3801,0.168556312001971,6.85831611986499,123785734.050932
"14","24d40e806d5935928f521b3f749e4a4b",10,10,"ebola",14,0.0835508375044459,NA,0.3867,0.168556312001971,9.00479316808554,123785734.050932
"15","24d40e806d5935928f521b3f749e4a4b",10,10,"ebola",15,0.0397796422026391,NA,0.3959,0.168556312001971,12.6620219554382,123785734.050932
"16","24d40e806d5935928f521b3f749e4a4b",10,10,"ebola",16,0.0805804601610731,NA,-0.3107,0.168556312001971,17.1053471172029,123785734.050932
"17","24d40e806d5935928f521b3f749e4a4b",10,10,"ebola",17,0.00467558963060917,NA,0.4139,0.168556312001971,24.1641801019608,123785734.050932
"18","24d40e806d5935928f521b3f749e4a4b",10,10,"ebola",18,0.000907696941448,NA,0.4197,0.168556312001971,33.5121679394216,123785734.050932
