"","dataset","cali_window_size","proj_window_size","disease","days_since_data","reliability","sharpness","bias","bias_score","rmse","sum_rmse"
"1","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",1,0.920719361316923,NA,0.0768,-0.392433478039764,0.309192496674806,122648893.965124
"2","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",2,0.926538203399973,NA,0.0692999999999999,-0.392433478039764,0.303150127824482,122648893.965124
"3","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",3,0.929972744735786,NA,0.0666,-0.392433478039764,0.29563490998189,122648893.965124
"4","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",4,0.922009271148964,NA,0.0683,-0.392433478039764,0.339116499156263,122648893.965124
"5","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",5,0.911375757221285,NA,0.0731999999999999,-0.392433478039764,0.396736688497547,122648893.965124
"6","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",6,0.894938748929031,NA,0.0804,-0.392433478039764,0.461519230368573,122648893.965124
"7","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",7,0.8736285444653,NA,0.0857000000000001,-0.392433478039764,0.58847259919218,122648893.965124
"8","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",8,0.846030388337785,NA,0.0926,-0.392433478039764,0.795612971236643,122648893.965124
"9","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",9,0.817340093193568,NA,0.0969,-0.392433478039764,1.07596468343529,122648893.965124
"10","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",10,0.768357622439228,NA,0.1047,-0.392433478039764,1.41749779541275,122648893.965124
"11","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",11,0.71105890820641,NA,0.1131,-0.392433478039764,2.0449449870351,122648893.965124
"12","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",12,0.927327417326943,NA,-0.8288,-0.392433478039764,2.93719253710069,122648893.965124
"13","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",13,0.562986291591192,NA,0.1207,-0.392433478039764,4.1972729241735,122648893.965124
"14","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",14,0.470433814695214,NA,0.1228,-0.392433478039764,5.97046899330363,122648893.965124
"15","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",15,0.722518032151584,NA,-0.7918,-0.392433478039764,8.7987840068955,122648893.965124
"16","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",16,0.245932050176482,NA,0.1325,-0.392433478039764,13.146874153197,122648893.965124
"17","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",17,0.144078066187706,NA,0.1373,-0.392433478039764,19.1526708320276,122648893.965124
"18","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",18,0.259115158578134,NA,-0.7643,-0.392433478039764,28.3391531277842,122648893.965124
"19","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",19,0.0241637911443377,NA,0.1446,-0.392433478039764,42.710182626629,122648893.965124
"20","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",20,0.00559937664964572,NA,0.1481,-0.392433478039764,62.9089810758369,122648893.965124
"21","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",21,0.00570043885746561,NA,-0.7391,-0.392433478039764,94.2781586583022,122648893.965124
"22","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",22,2.97048567080765e-05,NA,0.1554,-0.392433478039764,140.434512852076,122648893.965124
"23","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",23,5.79541192320894e-06,NA,-0.7218,-0.392433478039764,209.105001135793,122648893.965124
"24","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",24,1.08289733873424e-06,NA,-0.8033,-0.392433478039764,313.445865342008,122648893.965124
"25","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",25,1.83270979321871e-12,NA,-0.7151,-0.392433478039764,467.512604322065,122648893.965124
"26","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",26,7.00834694836574e-20,NA,0.1641,-0.392433478039764,702.015865917573,122648893.965124
"27","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",27,1.82536981312176e-28,NA,0.1633,-0.392433478039764,1047.64733283677,122648893.965124
"28","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",28,1.79761998347017e-37,NA,-0.7392,-0.392433478039764,1572.54780665009,122648893.965124
"29","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",29,1.31813846392185e-59,NA,0.165,-0.392433478039764,2354.37250618928,122648893.965124
"30","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",30,1.28373855504681e-84,NA,-0.6871,-0.392433478039764,3533.14268290993,122648893.965124
"31","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",31,4.65390573587729e-127,NA,0.1717,-0.392433478039764,5301.22931763945,122648893.965124
"32","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",32,2.41324161102428e-181,NA,-0.7148,-0.392433478039764,7950.11864822784,122648893.965124
"33","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",33,6.25959496140974e-274,NA,0.1738,-0.392433478039764,11928.8601304316,122648893.965124
"34","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",34,0,NA,-0.7099,-0.392433478039764,17885.0523381035,122648893.965124
"35","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",35,0,NA,-0.704,-0.392433478039764,26874.5127996304,122648893.965124
"36","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",36,0,NA,0.1782,-0.392433478039764,40345.3860170627,122648893.965124
"37","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",37,0,NA,-0.6616,-0.392433478039764,60572.6945988075,122648893.965124
"38","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",38,0,NA,-0.6634,-0.392433478039764,90982.5270190139,122648893.965124
"39","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",39,0,NA,-0.6616,-0.392433478039764,136661.656685303,122648893.965124
"40","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",40,0,NA,0.1823,-0.392433478039764,205308.647700043,122648893.965124
"41","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",41,0,NA,-0.6528,-0.392433478039764,308450.457270662,122648893.965124
"42","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",42,0,NA,-0.6537,-0.392433478039764,463426.147227745,122648893.965124
"43","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",43,0,NA,-0.6759,-0.392433478039764,696499.55135366,122648893.965124
"44","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",44,0,NA,-0.6472,-0.392433478039764,1046719.28935658,122648893.965124
"45","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",45,0,NA,-0.6692,-0.392433478039764,1573231.23725047,122648893.965124
"46","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",46,0,NA,-0.6839,-0.392433478039764,2364781.07302127,122648893.965124
"47","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",47,0,NA,-0.666,-0.392433478039764,3554909.48383416,122648893.965124
"48","4d63d73990c35f7df54ae0780957041b",10,10,"ebola",48,0,NA,-0.6416,-0.392433478039764,5344075.30470786,122648893.965124
