"","dataset","cali_window_size","proj_window_size","disease","days_since_data","reliability","sharpness","bias","bias_score","rmse","sum_rmse"
"1","5e0905c1db9dc5655df6b949ed4e7711",10,10,"ebola",1,0.765749642601014,NA,0.2199,0.0502595836875937,0.616198020120156,122100039.345451
"2","5e0905c1db9dc5655df6b949ed4e7711",10,10,"ebola",2,0.763684907213091,NA,0.2216,0.0502595836875937,0.620483682299543,122100039.345451
"3","5e0905c1db9dc5655df6b949ed4e7711",10,10,"ebola",3,0.758661183350336,NA,0.2224,0.0502595836875937,0.642650760522385,122100039.345451
"4","5e0905c1db9dc5655df6b949ed4e7711",10,10,"ebola",4,0.738746830962723,NA,0.2329,0.0502595836875937,0.704840407468244,122100039.345451
"5","5e0905c1db9dc5655df6b949ed4e7711",10,10,"ebola",5,0.952287325399927,NA,-0.6905,0.0502595836875937,0.996242942258564,122100039.345451
"6","5e0905c1db9dc5655df6b949ed4e7711",10,10,"ebola",6,0.671124912914425,NA,0.255,0.0502595836875937,0.972625313263026,122100039.345451
"7","5e0905c1db9dc5655df6b949ed4e7711",10,10,"ebola",7,0.623441714117489,NA,0.2732,0.0502595836875937,1.19795659353751,122100039.345451
"8","5e0905c1db9dc5655df6b949ed4e7711",10,10,"ebola",8,0.981229032788282,NA,-0.8267,0.0502595836875937,1.99446734743891,122100039.345451
"9","5e0905c1db9dc5655df6b949ed4e7711",10,10,"ebola",9,0.507529724164029,NA,0.301,0.0502595836875937,1.91624633072056,122100039.345451
"10","5e0905c1db9dc5655df6b949ed4e7711",10,10,"ebola",10,0.445704100026363,NA,0.3065,0.0502595836875937,2.50601276932102,122100039.345451
"11","5e0905c1db9dc5655df6b949ed4e7711",10,10,"ebola",11,0.370685976248864,NA,0.3188,0.0502595836875937,3.42438315613192,122100039.345451
"12","5e0905c1db9dc5655df6b949ed4e7711",10,10,"ebola",12,0.288401982344788,NA,0.3345,0.0502595836875937,4.66553319568085,122100039.345451
"13","5e0905c1db9dc5655df6b949ed4e7711",10,10,"ebola",13,0.211506404421827,NA,0.3476,0.0502595836875937,6.28934813792336,122100039.345451
"14","5e0905c1db9dc5655df6b949ed4e7711",10,10,"ebola",14,0.146211657234355,NA,0.3468,0.0502595836875937,8.65931290576799,122100039.345451
"15","5e0905c1db9dc5655df6b949ed4e7711",10,10,"ebola",15,0.0877818956051689,NA,0.3628,0.0502595836875937,12.4746182306313,122100039.345451
