"","dataset","cali_window_size","proj_window_size","disease","days_since_data","reliability","sharpness","bias","bias_score","rmse","sum_rmse"
"1","66d20271054c65935f04bcbdacc90e31",10,10,"ebola",1,0.791361815895584,NA,0.1976,0.420893455025506,0.564623768539724,152828987.853649
"2","66d20271054c65935f04bcbdacc90e31",10,10,"ebola",2,0.751488028541869,NA,0.233,0.420893455025506,0.643972049082878,152828987.853649
"3","66d20271054c65935f04bcbdacc90e31",10,10,"ebola",3,0.721949562906268,NA,0.2551,0.420893455025506,0.711196175467782,152828987.853649
"4","66d20271054c65935f04bcbdacc90e31",10,10,"ebola",4,0.674826269335114,NA,0.2832,0.420893455025506,0.837675354776539,152828987.853649
"5","66d20271054c65935f04bcbdacc90e31",10,10,"ebola",5,0.624564919784736,NA,0.3118,0.420893455025506,0.999749968742185,152828987.853649
"6","66d20271054c65935f04bcbdacc90e31",10,10,"ebola",6,0.567962433870561,NA,0.3313,0.420893455025506,1.21404283285228,152828987.853649
"7","66d20271054c65935f04bcbdacc90e31",10,10,"ebola",7,0.514067859431947,NA,0.3452,0.420893455025506,1.49472405480075,152828987.853649
"8","66d20271054c65935f04bcbdacc90e31",10,10,"ebola",8,0.436223740924659,NA,0.3714,0.420893455025506,1.89541552172604,152828987.853649
"9","66d20271054c65935f04bcbdacc90e31",10,10,"ebola",9,0.361100126637332,NA,0.3956,0.420893455025506,2.40279004492694,152828987.853649
"10","66d20271054c65935f04bcbdacc90e31",10,10,"ebola",10,0.291154856626022,NA,0.3997,0.420893455025506,3.09665949048325,152828987.853649
"11","66d20271054c65935f04bcbdacc90e31",10,10,"ebola",11,0.207421982077768,NA,0.4259,0.420893455025506,4.16874081708134,152828987.853649
"12","66d20271054c65935f04bcbdacc90e31",10,10,"ebola",12,0.140872507467453,NA,0.4335,0.420893455025506,5.61557655098744,152828987.853649
"13","66d20271054c65935f04bcbdacc90e31",10,10,"ebola",13,0.0847881064625629,NA,0.4509,0.420893455025506,7.51009986618021,152828987.853649
"14","66d20271054c65935f04bcbdacc90e31",10,10,"ebola",14,0.0440777570082488,NA,0.456,0.420893455025506,10.2293401546727,152828987.853649
"15","66d20271054c65935f04bcbdacc90e31",10,10,"ebola",15,0.0174974521514121,NA,0.4726,0.420893455025506,14.0567172554619,152828987.853649
"16","66d20271054c65935f04bcbdacc90e31",10,10,"ebola",16,0.00551877148791308,NA,0.4805,0.420893455025506,19.3097332969671,152828987.853649
"17","66d20271054c65935f04bcbdacc90e31",10,10,"ebola",17,0.00115471698461468,NA,0.4877,0.420893455025506,27.1829229480569,152828987.853649
"18","66d20271054c65935f04bcbdacc90e31",10,10,"ebola",18,0.000145606904836286,NA,0.498,0.420893455025506,38.2341313488354,152828987.853649
"19","66d20271054c65935f04bcbdacc90e31",10,10,"ebola",19,9.61486711126809e-06,0,0.5072,0.420893455025506,53.1726038482224,152828987.853649
"20","66d20271054c65935f04bcbdacc90e31",10,10,"ebola",20,2.25104747191548e-07,0,0.517,0.420893455025506,75.8362611156431,152828987.853649
"21","66d20271054c65935f04bcbdacc90e31",10,10,"ebola",21,1.45698005341802e-09,0,0.5192,0.420893455025506,107.441417991387,152828987.853649
"22","66d20271054c65935f04bcbdacc90e31",10,10,"ebola",22,1.57967813763348e-12,0,0.5251,0.420893455025506,152.433240469394,152828987.853649
"23","66d20271054c65935f04bcbdacc90e31",10,10,"ebola",23,1.78008566207048e-16,0,0.5298,0.420893455025506,217.303597531196,152828987.853649
"24","66d20271054c65935f04bcbdacc90e31",10,10,"ebola",24,4.72502119131011e-22,0,0.5375,0.420893455025506,311.88155700522,152828987.853649
"25","66d20271054c65935f04bcbdacc90e31",10,10,"ebola",25,1.43256665179402e-29,0,0.5383,0.420893455025506,446.448632767534,152828987.853649
"26","66d20271054c65935f04bcbdacc90e31",10,10,"ebola",26,7.07171991493059e-40,0,0.545,0.420893455025506,640.927871994969,152828987.853649
"27","66d20271054c65935f04bcbdacc90e31",10,10,"ebola",27,4.08325727524472e-54,0,0.5515,0.420893455025506,921.979911982902,152828987.853649
"28","66d20271054c65935f04bcbdacc90e31",10,10,"ebola",28,6.43464634540866e-74,0,0.5555,0.420893455025506,1329.72873293766,152828987.853649
"29","66d20271054c65935f04bcbdacc90e31",10,10,"ebola",29,2.35630424193387e-101,0,0.557,0.420893455025506,1920.21004075075,152828987.853649
"30","66d20271054c65935f04bcbdacc90e31",10,10,"ebola",30,3.15796529484093e-139,0,0.5615,0.420893455025506,2772.1097551504,152828987.853649
"31","66d20271054c65935f04bcbdacc90e31",10,10,"ebola",31,2.36656101978847e-192,0,0.566,0.420893455025506,4006.24892665196,152828987.853649
"32","66d20271054c65935f04bcbdacc90e31",10,10,"ebola",32,8.19931790198522e-264,0,0.0580000000000001,0.420893455025506,5802.12891110668,152828987.853649
"33","66d20271054c65935f04bcbdacc90e31",10,10,"ebola",33,0,0,0.5733,0.420893455025506,8409.71675200182,152828987.853649
"34","66d20271054c65935f04bcbdacc90e31",10,10,"ebola",34,0,0,0.5747,0.420893455025506,12193.3774167373,152828987.853649
"35","66d20271054c65935f04bcbdacc90e31",10,10,"ebola",35,0,0,0.5733,0.420893455025506,17703.7297073046,152828987.853649
"36","66d20271054c65935f04bcbdacc90e31",10,10,"ebola",36,0,0,0.5759,0.420893455025506,25704.6917219133,152828987.853649
