"","dataset","cali_window_size","proj_window_size","disease","days_since_data","reliability","sharpness","bias","bias_score","rmse","sum_rmse"
"1","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",1,0.61853592794549,NA,0.363,0.468152993740639,0.881249113474731,188197687.308092
"2","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",2,0.537890645840548,NA,0.428,0.468152993740639,1.07224064463161,188197687.308092
"3","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",3,0.450994560738036,NA,0.4889,0.468152993740639,1.3305262116922,188197687.308092
"4","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",4,0.748190799455219,0,-0.2288,0.468152993740639,1.27726269811656,188197687.308092
"5","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",5,0.656671999557899,0,-0.1255,0.468152993740639,1.60931662515491,188197687.308092
"6","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",6,0.220799550579544,0,0.6014,0.468152993740639,2.5802906812993,188197687.308092
"7","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",7,0.15129858659042,0,0.6283,0.468152993740639,3.32858828935031,188197687.308092
"8","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",8,0.570545025807139,0,-0.2703,0.468152993740639,3.71214223865412,188197687.308092
"9","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",9,0.188691967074511,0,0.1396,0.468152993740639,5.54708031310166,188197687.308092
"10","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",10,0.095052511209388,0,0.1967,0.468152993740639,7.80677910536733,188197687.308092
"11","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",11,0.0358820059655389,0,0.2453,0.468152993740639,10.7406145075596,188197687.308092
"12","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",12,0.00122857539044792,0,0.7187,0.468152993740639,15.6484216456485,188197687.308092
"13","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",13,0.000155199371474665,0,0.7328,0.468152993740639,21.8712459635934,188197687.308092
"14","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",14,0.000112077582480375,0,0.3498,0.468152993740639,30.7351167233834,188197687.308092
"15","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",15,3.11769669232794e-06,0,0.3704,0.468152993740639,43.6194452050917,188197687.308092
"16","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",16,9.08614685459987e-10,0,0.7608,0.468152993740639,62.676744491079,188197687.308092
"17","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",17,2.70047612414856e-10,0,0.2356,0.468152993740639,89.2713358251124,188197687.308092
"18","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",18,1.35191806364431e-15,0,0.4408,0.468152993740639,128.357617615785,188197687.308092
"19","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",19,5.44678944190995e-20,0,0.2942,0.468152993740639,185.038490860686,188197687.308092
"20","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",20,5.10512062406412e-28,0,0.3123,0.468152993740639,267.568553458735,188197687.308092
"21","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",21,8.29936559244873e-38,0,0.2371,0.468152993740639,388.583109257209,188197687.308092
"22","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",22,3.4719642033458e-59,0,0.799,0.468152993740639,565.924591443065,188197687.308092
"23","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",23,1.00661431109254e-81,0,0.8014,0.468152993740639,820.605266007963,188197687.308092
"24","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",24,5.40004511174606e-109,0,0.3928,0.468152993740639,1195.82262781735,188197687.308092
"25","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",25,1.91704128808927e-153,0,0.415,0.468152993740639,1742.47110326111,188197687.308092
"26","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",26,2.02205159481693e-216,0,0.4299,0.468152993740639,2545.78637856753,188197687.308092
"27","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",27,4.3136622232983e-306,0,0.4502,0.468152993740639,3722.90929004455,188197687.308092
"28","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",28,0,0,0.4572,0.468152993740639,5452.7527734714,188197687.308092
"29","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",29,0,0,0.3987,0.468152993740639,7986.56946724312,188197687.308092
"30","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",30,0,0,0.8195,0.468152993740639,11705.7003545367,188197687.308092
"31","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",31,0,0,0.3053,0.468152993740639,17176.1707983619,188197687.308092
"32","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",32,0,0,0.8271,0.468152993740639,25214.0026221284,188197687.308092
"33","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",33,0,0,0.5149,0.468152993740639,37081.4274398182,188197687.308092
"34","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",34,0,0,0.4658,0.468152993740639,54514.9098378866,188197687.308092
"35","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",35,0,0,0.8317,0.468152993740639,80230.2057497867,188197687.308092
"36","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",36,0,0,0.5403,0.468152993740639,118128.718086457,188197687.308092
"37","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",37,0,0,0.6257,0.468152993740639,173991.03071084,188197687.308092
"38","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",38,0,0,0.4993,0.468152993740639,256479.466391342,188197687.308092
"39","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",39,0,0,0.6341,0.468152993740639,378279.387651899,188197687.308092
"40","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",40,0,0,0.4544,0.468152993740639,558044.613836824,188197687.308092
"41","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",41,0,0,0.6399,0.468152993740639,823646.512059565,188197687.308092
"42","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",42,0,0,0.5348,0.468152993740639,1216298.22022302,188197687.308092
"43","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",43,0,0,0.4599,0.468152993740639,1796598.8068424,188197687.308092
"44","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",44,0,0,0.5161,0.468152993740639,2655015.28516908,188197687.308092
"45","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",45,0,0,0.4745,0.468152993740639,3924777.72688102,188197687.308092
"46","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",46,0,0,0.484,0.468152993740639,5803862.45489219,188197687.308092
"47","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",47,0,0,0.5112,0.468152993740639,8585240.5501034,188197687.308092
"48","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",48,0,0,0.5413,0.468152993740639,12703935.695232,188197687.308092
"49","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",49,0,0,0.4615,0.468152993740639,18803822.5080409,188197687.308092
"50","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",50,0,0,0.4718,0.468152993740639,27840431.3537214,188197687.308092
"51","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",51,0,0,0.5575,0.468152993740639,41230640.6461654,188197687.308092
"52","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",52,0,0,0.5658,0.468152993740639,61077265.8176122,188197687.308092
"53","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",53,NA,NA,0.452635790737221,0.468152993740639,NA,188197687.308092
"54","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",54,NA,NA,0.525072565308778,0.468152993740639,NA,188197687.308092
"55","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",55,NA,NA,0.505863486017841,0.468152993740639,NA,188197687.308092
"56","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",56,NA,NA,0.512498745105913,0.468152993740639,NA,188197687.308092
"57","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",57,NA,NA,0.452495974235105,0.468152993740639,NA,188197687.308092
"58","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",58,NA,NA,0.505850312689127,0.468152993740639,NA,188197687.308092
"59","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",59,NA,NA,0.536735725113694,0.468152993740639,NA,188197687.308092
"60","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",60,NA,NA,0.479291139240506,0.468152993740639,NA,188197687.308092
"61","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",61,NA,NA,0.546515166886477,0.468152993740639,NA,188197687.308092
"62","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",62,NA,NA,0.506053515108353,0.468152993740639,NA,188197687.308092
"63","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",63,NA,NA,0.505457513006223,0.468152993740639,NA,188197687.308092
"64","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",64,NA,NA,0.469548334355201,0.468152993740639,NA,188197687.308092
"65","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",65,NA,NA,0.528182004509121,0.468152993740639,NA,188197687.308092
"66","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",66,NA,NA,0.486681065514759,0.468152993740639,NA,188197687.308092
"67","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",67,NA,NA,0.489469337187693,0.468152993740639,NA,188197687.308092
"68","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",68,NA,NA,0.505235873509591,0.468152993740639,NA,188197687.308092
"69","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",69,NA,NA,0.484558594156182,0.468152993740639,NA,188197687.308092
"70","6d0729eaa1fcf0b969478759c2022c4c",10,10,"ebola",70,NA,NA,0.478864419162927,0.468152993740639,NA,188197687.308092
"71","6d0729eaa1fcf0b969478759c2022c4c",20,10,"ebola",1,0.71663755184131,0,-0.0859,0.518216666666667,1.07944430148109,1109473.67267036
"72","6d0729eaa1fcf0b969478759c2022c4c",20,10,"ebola",2,0.30416042589791,0,0.6709,0.518216666666667,1.66895176682851,1109473.67267036
"73","6d0729eaa1fcf0b969478759c2022c4c",20,10,"ebola",3,0.254666610253862,0,0.7088,0.518216666666667,1.88478115440494,1109473.67267036
"74","6d0729eaa1fcf0b969478759c2022c4c",20,10,"ebola",4,0.543670007271078,0,0.1776,0.518216666666667,1.51036419449085,1109473.67267036
"75","6d0729eaa1fcf0b969478759c2022c4c",20,10,"ebola",5,0.473150201397842,0,0.2461,0.518216666666667,1.7931536465122,1109473.67267036
"76","6d0729eaa1fcf0b969478759c2022c4c",20,10,"ebola",6,0.135633348611426,0.5,0.7884,0.518216666666667,2.71451653153927,1109473.67267036
"77","6d0729eaa1fcf0b969478759c2022c4c",20,10,"ebola",7,0.613237533294125,0.5,-0.0878,0.518216666666667,2.10494655514101,1109473.67267036
