"","dataset","cali_window_size","proj_window_size","disease","days_since_data","reliability","sharpness","bias","bias_score","rmse","sum_rmse"
"1","70d901df7123b4e1b71a2289a0dbf3d5",10,10,"ebola",1,0.92108772272882,NA,0.0758000000000001,-0.0847117248680384,0.309515750810843,67668364.6369321
"2","70d901df7123b4e1b71a2289a0dbf3d5",10,10,"ebola",2,0.92505692761117,NA,0.0718000000000001,-0.0847117248680384,0.301827765455731,67668364.6369321
"3","70d901df7123b4e1b71a2289a0dbf3d5",10,10,"ebola",3,0.924964426543539,NA,0.0683,-0.0847117248680384,0.317490157327751,67668364.6369321
"4","70d901df7123b4e1b71a2289a0dbf3d5",10,10,"ebola",4,0.917685995231397,NA,0.0721000000000001,-0.0847117248680384,0.351710107901379,67668364.6369321
"5","70d901df7123b4e1b71a2289a0dbf3d5",10,10,"ebola",5,0.995641610911415,NA,-0.9121,-0.0847117248680384,0.992874614440313,67668364.6369321
"6","70d901df7123b4e1b71a2289a0dbf3d5",10,10,"ebola",6,0.893239979647929,NA,0.0794999999999999,-0.0847117248680384,0.500099990001999,67668364.6369321
"7","70d901df7123b4e1b71a2289a0dbf3d5",10,10,"ebola",7,0.862517362365839,NA,0.0906,-0.0847117248680384,0.690579466824782,67668364.6369321
"8","70d901df7123b4e1b71a2289a0dbf3d5",10,10,"ebola",8,0.985149485178123,NA,-0.8746,-0.0847117248680384,1.21082616423663,67668364.6369321
"9","70d901df7123b4e1b71a2289a0dbf3d5",10,10,"ebola",9,0.790728979611132,NA,0.1021,-0.0847117248680384,1.23052834181095,67668364.6369321
"10","70d901df7123b4e1b71a2289a0dbf3d5",10,10,"ebola",10,0.746245980913784,NA,0.1057,-0.0847117248680384,1.70155810949847,67668364.6369321
"11","70d901df7123b4e1b71a2289a0dbf3d5",10,10,"ebola",11,0.681472078048757,NA,0.1113,-0.0847117248680384,2.44481083112784,67668364.6369321
"12","70d901df7123b4e1b71a2289a0dbf3d5",10,10,"ebola",12,0.598696791605729,NA,0.1147,-0.0847117248680384,3.56137613851724,67668364.6369321
"13","70d901df7123b4e1b71a2289a0dbf3d5",10,10,"ebola",13,0.507326752871328,NA,0.1192,-0.0847117248680384,4.99033065036777,67668364.6369321
"14","70d901df7123b4e1b71a2289a0dbf3d5",10,10,"ebola",14,0.764056504796026,NA,-0.8019,-0.0847117248680384,7.29221502699968,67668364.6369321
"15","70d901df7123b4e1b71a2289a0dbf3d5",10,10,"ebola",15,0.289847603297184,NA,0.1303,-0.0847117248680384,10.4344429654869,67668364.6369321
"16","70d901df7123b4e1b71a2289a0dbf3d5",10,10,"ebola",16,0.173913018227699,NA,0.1366,-0.0847117248680384,15.7791001010831,67668364.6369321
"17","70d901df7123b4e1b71a2289a0dbf3d5",10,10,"ebola",17,0.09016625815522,NA,0.1399,-0.0847117248680384,22.8002039464563,67668364.6369321
"18","70d901df7123b4e1b71a2289a0dbf3d5",10,10,"ebola",18,0.0341053846341113,NA,0.1429,-0.0847117248680384,33.5293945665591,67668364.6369321
"19","70d901df7123b4e1b71a2289a0dbf3d5",10,10,"ebola",19,0.0090589686585865,NA,0.1466,-0.0847117248680384,48.6833873102519,67668364.6369321
"20","70d901df7123b4e1b71a2289a0dbf3d5",10,10,"ebola",20,0.00126890621199307,NA,0.1514,-0.0847117248680384,71.8515010281622,67668364.6369321
"21","70d901df7123b4e1b71a2289a0dbf3d5",10,10,"ebola",21,0.000824688937173281,NA,-0.7402,-0.0847117248680384,106.23829629658,67668364.6369321
"22","70d901df7123b4e1b71a2289a0dbf3d5",10,10,"ebola",22,1.40819755657991e-06,NA,0.1564,-0.0847117248680384,156.959935015277,67668364.6369321
