"","dataset","cali_window_size","proj_window_size","disease","days_since_data","reliability","sharpness","bias","bias_score","rmse","sum_rmse"
"1","c76d28589c556b95bc2f2b315c67137d",10,10,"ebola",1,0.983191025546663,NA,-0.8072,-0.59321595710055,0.92736184954957,107755335.951253
"2","c76d28589c556b95bc2f2b315c67137d",10,10,"ebola",2,0.830190571773664,NA,0.1641,-0.59321595710055,0.485283422342037,107755335.951253
"3","c76d28589c556b95bc2f2b315c67137d",10,10,"ebola",3,0.836105899397036,NA,0.1519,-0.59321595710055,0.492747399790197,107755335.951253
"4","c76d28589c556b95bc2f2b315c67137d",10,10,"ebola",4,0.986185215233001,NA,-0.8307,-0.59321595710055,0.949315542904466,107755335.951253
"5","c76d28589c556b95bc2f2b315c67137d",10,10,"ebola",5,0.818076030399509,NA,0.1566,-0.59321595710055,0.567097875150313,107755335.951253
"6","c76d28589c556b95bc2f2b315c67137d",10,10,"ebola",6,0.978146422375281,NA,-0.7968,-0.59321595710055,0.990858213873206,107755335.951253
"7","c76d28589c556b95bc2f2b315c67137d",10,10,"ebola",7,0.972539962425065,NA,-0.783,-0.59321595710055,1.04627912145851,107755335.951253
"8","c76d28589c556b95bc2f2b315c67137d",10,10,"ebola",8,0.99626564476852,NA,-0.9183,-0.59321595710055,1.92431806102837,107755335.951253
"9","c76d28589c556b95bc2f2b315c67137d",10,10,"ebola",9,0.716841874759085,NA,0.1809,-0.59321595710055,1.13185688141213,107755335.951253
"10","c76d28589c556b95bc2f2b315c67137d",10,10,"ebola",10,0.937399317094318,NA,-0.7305,-0.59321595710055,1.51165472248129,107755335.951253
"11","c76d28589c556b95bc2f2b315c67137d",10,10,"ebola",11,0.614098463306812,NA,0.2024,-0.59321595710055,1.89726118391749,107755335.951253
"12","c76d28589c556b95bc2f2b315c67137d",10,10,"ebola",12,0.557886356237328,NA,0.2107,-0.59321595710055,2.54695897100837,107755335.951253
"13","c76d28589c556b95bc2f2b315c67137d",10,10,"ebola",13,0.842455119106722,NA,-0.6772,-0.59321595710055,3.26223849526671,107755335.951253
"14","c76d28589c556b95bc2f2b315c67137d",10,10,"ebola",14,0.941499110275632,NA,-0.8153,-0.59321595710055,4.62768840783387,107755335.951253
"15","c76d28589c556b95bc2f2b315c67137d",10,10,"ebola",15,0.909541279415734,NA,-0.8018,-0.59321595710055,6.18727726871845,107755335.951253
"16","c76d28589c556b95bc2f2b315c67137d",10,10,"ebola",16,0.261348634142264,NA,0.2358,-0.59321595710055,8.56873969729505,107755335.951253
"17","c76d28589c556b95bc2f2b315c67137d",10,10,"ebola",17,0.762072329240564,NA,-0.7686,-0.59321595710055,11.7972369646456,107755335.951253
"18","c76d28589c556b95bc2f2b315c67137d",10,10,"ebola",18,0.823075540281649,NA,-0.8157,-0.59321595710055,16.8878654660676,107755335.951253
"19","c76d28589c556b95bc2f2b315c67137d",10,10,"ebola",19,0.850978067263005,NA,-0.838,-0.59321595710055,23.4740260713837,107755335.951253
"20","c76d28589c556b95bc2f2b315c67137d",10,10,"ebola",20,0.29591875989441,NA,-0.7084,-0.59321595710055,32.9137980184603,107755335.951253
"21","c76d28589c556b95bc2f2b315c67137d",10,10,"ebola",21,0.298867605262624,NA,-0.7582,-0.59321595710055,47.1040698878558,107755335.951253
"22","c76d28589c556b95bc2f2b315c67137d",10,10,"ebola",22,0.0133208320245844,NA,-0.5533,-0.59321595710055,66.8944519373617,107755335.951253
"23","c76d28589c556b95bc2f2b315c67137d",10,10,"ebola",23,0.00985373049306258,NA,-0.6666,-0.59321595710055,95.8423048554238,107755335.951253
"24","c76d28589c556b95bc2f2b315c67137d",10,10,"ebola",24,0.070095981818409,NA,-0.804,-0.59321595710055,134.794550334945,107755335.951253
"25","c76d28589c556b95bc2f2b315c67137d",10,10,"ebola",25,0.000788571112232021,NA,-0.7455,-0.59321595710055,193.682103458218,107755335.951253
"26","c76d28589c556b95bc2f2b315c67137d",10,10,"ebola",26,1.25428445502307e-05,NA,-0.7273,-0.59321595710055,277.116538301127,107755335.951253
