"","dataset","cali_window_size","proj_window_size","disease","days_since_data","reliability","sharpness","bias","bias_score","rmse","sum_rmse"
"1","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",1,0.786627861066553,NA,0.2007,-0.47193267993418,0.576541412215983,127963926.70865
"2","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",2,0.788596890981077,NA,0.2009,-0.47193267993418,0.566833308830735,127963926.70865
"3","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",3,0.998002399566777,NA,-0.9609,-0.47193267993418,1.83583768345679,127963926.70865
"4","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",4,0.972163584335308,NA,-0.7567,-0.47193267993418,0.944880944881417,127963926.70865
"5","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",5,0.746768535973357,NA,0.212,-0.47193267993418,0.730342385460409,127963926.70865
"6","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",6,0.955072162515546,NA,-0.7134,-0.47193267993418,1.04009614940158,127963926.70865
"7","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",7,0.6831778896199,NA,0.2301,-0.47193267993418,1.00628027904754,127963926.70865
"8","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",8,0.637691917625183,NA,0.2415,-0.47193267993418,1.25223799654858,127963926.70865
"9","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",9,0.98315238737783,NA,-0.839,-0.47193267993418,2.03460069792576,127963926.70865
"10","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",10,0.863611094616483,NA,-0.6177,-0.47193267993418,1.93106188404204,127963926.70865
"11","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",11,0.46167227550237,NA,0.2765,-0.47193267993418,2.4234066930666,127963926.70865
"12","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",12,0.755724648653735,NA,-0.5704,-0.47193267993418,3.24627478812253,127963926.70865
"13","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",13,0.679422092085626,NA,-0.5487,-0.47193267993418,4.16445674728409,127963926.70865
"14","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",14,0.579127727620539,NA,-0.5235,-0.47193267993418,5.62026689757702,127963926.70865
"15","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",15,0.738266910135427,NA,-0.6807,-0.47193267993418,7.57013870414539,127963926.70865
"16","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",16,0.615188935827811,NA,-0.6606,-0.47193267993418,10.2458918596675,127963926.70865
"17","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",17,0.0606885640390532,NA,0.3132,-0.47193267993418,14.4061098149362,127963926.70865
"18","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",18,0.515832420066288,NA,-0.6954,-0.47193267993418,19.3361655971395,127963926.70865
"19","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",19,0.333648537018983,NA,-0.6772,-0.47193267993418,26.8722440447388,127963926.70865
"20","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",20,0.291002784707241,NA,-0.7078,-0.47193267993418,37.2158635530603,127963926.70865
"21","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",21,0.115159787401067,NA,-0.6828,-0.47193267993418,52.1704811171988,127963926.70865
"22","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",22,0.00974808949380179,NA,-0.6188,-0.47193267993418,72.1684480919467,127963926.70865
"23","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",23,0.00330095724832039,NA,-0.6491,-0.47193267993418,100.203007439897,127963926.70865
"24","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",24,0.000131014578780313,NA,-0.627,-0.47193267993418,141.103123282229,127963926.70865
"25","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",25,2.80130632109933e-08,NA,-0.5002,-0.47193267993418,197.968643224123,127963926.70865
"26","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",26,1.32295849437018e-08,NA,-0.6262,-0.47193267993418,276.745242235526,127963926.70865
"27","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",27,1.18501629237134e-11,NA,-0.6407,-0.47193267993418,389.992798010425,127963926.70865
"28","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",28,4.10383504325836e-20,NA,-0.5222,-0.47193267993418,547.808202202194,127963926.70865
"29","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",29,5.21196249963401e-31,NA,-0.3295,-0.47193267993418,774.041401928863,127963926.70865
"30","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",30,9.86081978819673e-34,NA,-0.6153,-0.47193267993418,1085.75803856108,127963926.70865
"31","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",31,6.98557191999578e-51,NA,-0.5506,-0.47193267993418,1530.64638757618,127963926.70865
"32","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",32,8.49410057458733e-70,NA,-0.5694,-0.47193267993418,2159.90289510894,127963926.70865
"33","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",33,1.50223618014459e-99,NA,-0.529,-0.47193267993418,3050.91685298043,127963926.70865
"34","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",34,7.17488075176725e-137,NA,-0.5373,-0.47193267993418,4309.58658049702,127963926.70865
"35","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",35,1.10533662033589e-185,NA,-0.5746,-0.47193267993418,6091.47018343684,127963926.70865
"36","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",36,6.1564367517197e-264,NA,-0.5347,-0.47193267993418,8612.67500651801,127963926.70865
"37","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",37,0,NA,-0.4517,-0.47193267993418,12187.8116446227,127963926.70865
"38","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",38,0,NA,-0.5409,-0.47193267993418,17238.5034939608,127963926.70865
"39","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",39,0,NA,-0.5295,-0.47193267993418,24401.675769086,127963926.70865
"40","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",40,0,NA,-0.4882,-0.47193267993418,34558.2479265356,127963926.70865
"41","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",41,0,NA,-0.4792,-0.47193267993418,48956.2281226158,127963926.70865
"42","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",42,0,NA,-0.5313,-0.47193267993418,69349.3617347211,127963926.70865
"43","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",43,0,NA,-0.4988,-0.47193267993418,98281.6635584695,127963926.70865
"44","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",44,0,NA,-0.5102,-0.47193267993418,139363.514178488,127963926.70865
"45","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",45,0,NA,-0.4955,-0.47193267993418,197573.871001108,127963926.70865
"46","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",46,0,NA,-0.5397,-0.47193267993418,280187.795144269,127963926.70865
"47","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",47,0,NA,-0.5119,-0.47193267993418,397465.622228059,127963926.70865
"48","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",48,0,NA,-0.487,-0.47193267993418,563829.952233672,127963926.70865
"49","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",49,0,NA,-0.5101,-0.47193267993418,800009.383559513,127963926.70865
"50","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",50,0,NA,-0.4608,-0.47193267993418,1135358.91303764,127963926.70865
"51","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",51,0,NA,-0.4903,-0.47193267993418,1611559.35232357,127963926.70865
"52","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",52,0,NA,-0.4866,-0.47193267993418,2287523.06361332,127963926.70865
"53","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",53,0,NA,-0.5226,-0.47193267993418,3247622.65345855,127963926.70865
"54","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",54,0,NA,-0.4452,-0.47193267993418,4611265.2595683,127963926.70865
"55","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",55,0,NA,-0.479,-0.47193267993418,6548157.50058861,127963926.70865
"56","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",56,0,NA,-0.4839,-0.47193267993418,9300202.98019391,127963926.70865
"57","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",57,0,NA,-0.51,-0.47193267993418,13209785.9758839,127963926.70865
"58","ccb7c280f295bd96f1b8e78020613012",10,10,"ebola",58,0,NA,-0.4602,-0.47193267993418,18764763.720654,127963926.70865
