"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","059606ee4c4eba25a373fea7ea249c31",1,1,0,11,12,1,"ebola",0.0857359954949696,1,0.13555,0.252108333333333,-0.167641666666667,1,0.00694444444444444,-0.0833333333333333,2,4,0.4446
"2","059606ee4c4eba25a373fea7ea249c31",1,1,0,11,12,2,"ebola",0.701659602475535,1,0.24465,3.69539166666667,-0.635391666666667,1,0.00694444444444444,-0.0833333333333333,2,4,0.4446
"3","059606ee4c4eba25a373fea7ea249c31",1,1,0,11,12,3,"ebola",0.999950000000015,1,0.344,138.043125,-3.29730833333333,1,0.00694444444444444,-0.0833333333333333,2,4,0.4446
"4","059606ee4c4eba25a373fea7ea249c31",1,1,1,11,12,4,"ebola",NA,1,0.3498,6384.19721666667,-19.1448666666667,0.833333333333333,0.0413773148148148,1.15309418552885e-18,2,4,0.4446
"5","059606ee4c4eba25a373fea7ea249c31",2,1,0,23,12,1,"ebola",0.499543726845884,1,0.023025,0.0264083333333333,-0.024075,1,0.00173611111111111,-0.0416666666666667,2,4,0.8553
"6","059606ee4c4eba25a373fea7ea249c31",2,1,0,23,12,2,"ebola",0.430159054711933,1,0.032725,0.08575,-0.0437666666666667,1,0.00173611111111111,-0.0416666666666667,2,4,0.8553
"7","059606ee4c4eba25a373fea7ea249c31",2,1,1,23,12,3,"ebola",0.524876209610662,1,-0.028375,1.16171666666667,-0.053725,0.833333333333333,0.0398582175925926,0.0416666666666667,2,4,0.8553
"8","059606ee4c4eba25a373fea7ea249c31",2,1,0,23,12,4,"ebola",0.483782808878897,1,0.0719916666666667,37.4215666666667,-0.540366666666667,1,0.00173611111111111,-0.0416666666666667,2,4,0.8553
"9","059606ee4c4eba25a373fea7ea249c31",3,1,0,35,12,1,"ebola",0.879607858850724,1,0.00424166666666666,0.00444166666666667,-0.00430833333333333,1,0.000771604938271605,-0.0277777777777778,2,4,0.9711
"10","059606ee4c4eba25a373fea7ea249c31",3,1,1,35,12,2,"ebola",0.970844214695295,1,-0.078125,0.049775,0.0771583333333333,0.833333333333333,0.0400913065843621,0.0555555555555556,2,4,0.9711
"11","059606ee4c4eba25a373fea7ea249c31",3,1,0,35,12,3,"ebola",0.0123311488700257,1,0.00883333333333332,0.0618416666666667,-0.0159583333333333,1,0.000771604938271605,-0.0277777777777778,2,4,0.9711
"12","059606ee4c4eba25a373fea7ea249c31",3,1,1,35,12,4,"ebola",0.851492154133782,1,-0.0699,1.05935833333333,0.0319166666666667,0.833333333333333,0.0400913065843621,0.0555555555555556,2,4,0.9711
"13","059606ee4c4eba25a373fea7ea249c31",4,1,1,47,12,1,"ebola",0.740440859670365,1,-0.0828166666666667,0.0421958333333333,0.0828083333333333,0.833333333333333,0.0403464988425926,0.0625,2,4,0.9962
"14","059606ee4c4eba25a373fea7ea249c31",4,1,0,47,12,2,"ebola",0.924967237863577,1,0.000641666666666596,0.000941666666666667,-0.000725,1,0.000434027777777778,-0.0208333333333333,2,4,0.9962
"15","059606ee4c4eba25a373fea7ea249c31",4,1,1,47,12,3,"ebola",0.247075105087344,1,-0.0820916666666667,0.0474041666666667,0.0811916666666667,0.833333333333333,0.0403464988425926,0.0625,2,4,0.9962
"16","059606ee4c4eba25a373fea7ea249c31",4,1,1,47,12,4,"ebola",0.92545368122769,1,-0.0814666666666666,0.10305,0.0768,0.833333333333333,0.0403464988425926,0.0625,2,4,0.9962
"17","059606ee4c4eba25a373fea7ea249c31",5,2,0,5,12,1,"ebola",0.901089510625295,1,0.088225,0.11785,-0.0972166666666667,1,0.00111111111111111,-0.0333333333333333,2,4,0.4163
"18","059606ee4c4eba25a373fea7ea249c31",5,2,1,5,12,2,"ebola",0.549159340999139,1,0.0828916666666667,0.609104166666667,-0.163616666666667,0.833333333333333,0.0399537037037037,0.05,2,4,0.4163
"19","059606ee4c4eba25a373fea7ea249c31",5,2,1,5,12,3,"ebola",0.961913555118556,1,0.169866666666667,8.64941666666667,-0.697058333333333,0.833333333333333,0.0399537037037037,0.05,2,4,0.4163
"20","059606ee4c4eba25a373fea7ea249c31",6,2,1,17,12,1,"ebola",0.0213593689768821,1,-0.0415916666666667,0.0851916666666667,0.039525,0.833333333333333,0.0400913065843621,0.0555555555555556,2,4,0.7396
"21","059606ee4c4eba25a373fea7ea249c31",6,2,1,17,12,2,"ebola",0.164839354011096,1,-0.029625,0.133458333333333,0.017575,0.833333333333333,0.0400913065843621,0.0555555555555556,2,4,0.7396
"22","059606ee4c4eba25a373fea7ea249c31",7,3,1,6,12,1,"ebola",0.437151414595692,1,0.000441666666666674,0.130483333333333,-0.00614166666666667,0.833333333333333,0.0399128401360544,0.0476190476190476,2,4,0.4561
