"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","0739d116640a3bbcdfbc5ef6a189d607",1,1,1,11,12,1,"ebola",0.103788265731137,1,0.0490416666666667,0.2503125,-0.0748833333333333,0.833333333333333,0.0413773148148148,1.15309418552885e-18,2,47,0.4379
"2","0739d116640a3bbcdfbc5ef6a189d607",1,1,2,11,12,2,"ebola",0.485720780973648,1,0.0879666666666667,2.66093333333333,-0.396091666666667,0.666666666666667,0.0758101851851852,0.0833333333333333,2,47,0.4379
"3","0739d116640a3bbcdfbc5ef6a189d607",1,1,2,11,12,3,"ebola",0.999949999420959,1,0.203458333333333,92.2075541666667,-2.610725,0.666666666666667,0.0758101851851852,0.0833333333333333,2,47,0.4379
"4","0739d116640a3bbcdfbc5ef6a189d607",1,1,4,11,12,4,"ebola",0.999950000000015,1,0.165508333333333,4343.96725,-15.4888416666667,0.333333333333333,0.144675925925926,0.25,2,47,0.4379
"5","0739d116640a3bbcdfbc5ef6a189d607",2,2,2,4,12,1,"ebola",0.562978108098547,1,-0.0272,0.242129166666667,0.00950833333333333,0.666666666666667,0.0758101851851852,0.0833333333333333,2,47,0.3094
"6","0739d116640a3bbcdfbc5ef6a189d607",2,2,2,4,12,2,"ebola",0.13841893276234,1,0.093475,1.28655833333333,-0.27135,0.666666666666667,0.0758101851851852,0.0833333333333333,2,47,0.3094
"7","0739d116640a3bbcdfbc5ef6a189d607",2,2,4,4,12,3,"ebola",0.875470601092386,1,0.0771,23.84555,-1.18315833333333,0.333333333333333,0.144675925925926,0.25,2,47,0.3094
"8","0739d116640a3bbcdfbc5ef6a189d607",2,2,8,4,12,4,"ebola",0.999950000000015,1,0.0434583333333333,573.364373611111,-5.700675,0,0.347608024691358,0.583333333333333,2,47,0.3094
"9","0739d116640a3bbcdfbc5ef6a189d607",3,4,2,2,12,1,"ebola",0.634085118739861,1,0.10585,0.466070833333333,-0.160266666666667,0.666666666666667,0.0761316872427984,0.0555555555555556,2,47,0.0955
"10","0739d116640a3bbcdfbc5ef6a189d607",3,4,4,2,12,2,"ebola",0.477972856783601,1,0.158533333333333,2.113575,-0.4765,0.333333333333333,0.139917695473251,0.222222222222222,2,47,0.0955
"11","0739d116640a3bbcdfbc5ef6a189d607",3,4,8,2,12,3,"ebola",0.999678950144217,0.5,0.2055,21.1154944444444,-1.60740833333333,0,0.336076817558299,0.555555555555556,2,47,0.0955
"12","0739d116640a3bbcdfbc5ef6a189d607",3,4,12,2,12,4,"ebola",0.999950000000015,0.416666666666667,0.234616666666667,473.140075,-6.41313333333333,-0.333333333333333,0.532235939643347,0.888888888888889,2,47,0.0955
"13","0739d116640a3bbcdfbc5ef6a189d607",4,6,4,0,12,1,"ebola",0.435771700884564,1,-0.059175,0.423645833333333,0.0219166666666667,0.333333333333333,0.138020833333333,0.208333333333333,2,47,0.0963
"14","0739d116640a3bbcdfbc5ef6a189d607",4,6,8,0,12,2,"ebola",0.556517470108566,1,-0.122766666666667,0.8223875,0.117533333333333,0,0.330729166666667,0.541666666666667,2,47,0.0963
"15","0739d116640a3bbcdfbc5ef6a189d607",4,6,12,0,12,3,"ebola",0.990736729856589,0.958333333333333,-0.159366666666667,2.53227777777778,-0.0521166666666667,-0.333333333333333,0.5234375,0.875,2,47,0.0963
"16","0739d116640a3bbcdfbc5ef6a189d607",4,6,17,0,12,4,"ebola",0.999806279578279,0.5,-0.062175,15.8808930555556,-0.801291666666667,-0.333333333333333,0.896158854166667,1.29166666666667,2,47,0.0963
"17","0739d116640a3bbcdfbc5ef6a189d607",5,10,8,1,12,1,"ebola",0.943006306113156,1,-0.12265,0.639991666666667,0.16255,0,0.316358024691358,0.5,2,47,0.0226
"18","0739d116640a3bbcdfbc5ef6a189d607",5,10,12,1,12,2,"ebola",0.889910093970248,0.708333333333333,-0.160408333333333,1.06614444444444,0.159858333333333,-0.333333333333333,0.498456790123457,0.833333333333333,2,47,0.0226
"19","0739d116640a3bbcdfbc5ef6a189d607",5,10,17,1,12,3,"ebola",0.98442730806577,0.5,-0.0389916666666667,2.98035555555556,-0.0668333333333333,-0.333333333333333,0.867862654320988,1.25,2,47,0.0226
"20","0739d116640a3bbcdfbc5ef6a189d607",6,18,12,0,12,1,"ebola",0.956618193539079,0.541666666666667,-0.02155,1.13519305555556,-0.0524166666666667,-0.333333333333333,0.454861111111111,0.75,2,47,0
"21","0739d116640a3bbcdfbc5ef6a189d607",6,18,17,0,12,2,"ebola",0.998806210274839,0.611111111111111,0.194091666666667,3.2320875,-0.553733333333333,-0.333333333333333,0.817274305555556,1.16666666666667,3,47,0
"22","0739d116640a3bbcdfbc5ef6a189d607",7,30,17,0,12,1,"ebola",0.96601162571391,0.569444444444444,0.135158333333333,2.17204930555556,-0.2529,-0.333333333333333,0.763995181405896,1.05952380952381,3,47,0
