"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","08e4065bf00a6f52f19482569260c7ed",1,1,1,11,12,1,"ebola",0.761185075537376,1,0.0457166666666667,0.247570833333333,-0.0709833333333333,0.833333333333333,0.0413773148148148,1.15987044910689e-18,2,2,0.4472
"2","08e4065bf00a6f52f19482569260c7ed",1,1,0,11,12,2,"ebola",0.714782242575434,1,0.228125,2.73711666666667,-0.534983333333333,1,0.00694444444444444,-0.0833333333333333,2,2,0.4472
"3","08e4065bf00a6f52f19482569260c7ed",1,1,0,11,12,3,"ebola",0.999944729545339,1,0.329466666666667,95.4294416666667,-2.58845833333333,1,0.00694444444444444,-0.0833333333333333,2,2,0.4472
"4","08e4065bf00a6f52f19482569260c7ed",1,1,0,11,12,4,"ebola",0.999950000000015,1,0.388675,4320.68610833333,-14.295225,1,0.00694444444444444,-0.0833333333333333,2,2,0.4472
"5","08e4065bf00a6f52f19482569260c7ed",2,2,0,10,12,1,"ebola",0.203678722353275,1,0.124225,0.180916666666667,-0.141316666666667,1,0.00694444444444444,-0.0833333333333333,2,2,0.4364
"6","08e4065bf00a6f52f19482569260c7ed",2,2,0,10,12,2,"ebola",0.888352109339738,1,0.18315,0.837766666666667,-0.29435,1,0.00694444444444444,-0.0833333333333333,2,2,0.4364
"7","08e4065bf00a6f52f19482569260c7ed",2,2,0,10,12,3,"ebola",0.886188060386879,1,0.261166666666667,13.3086583333333,-0.870775,1,0.00694444444444444,-0.0833333333333333,2,2,0.4364
"8","08e4065bf00a6f52f19482569260c7ed",2,2,0,10,12,4,"ebola",0.999950000000015,1,0.324883333333333,385.272466666667,-3.12933333333333,1,0.00694444444444444,-0.0833333333333333,2,2,0.4364
"9","08e4065bf00a6f52f19482569260c7ed",3,2,0,22,12,1,"ebola",0.836745087392029,1,0.028475,0.031475,-0.0294583333333333,1,0.00308641975308642,-0.0555555555555556,2,2,0.8312
"10","08e4065bf00a6f52f19482569260c7ed",3,2,0,22,12,2,"ebola",0.139263304839743,1,0.0312,0.0455,-0.0354166666666667,1,0.00308641975308642,-0.0555555555555556,2,2,0.8312
"11","08e4065bf00a6f52f19482569260c7ed",3,2,0,22,12,3,"ebola",0.541422328180397,1,0.0471416666666667,0.1485,-0.0682666666666667,1,0.00308641975308642,-0.0555555555555556,2,2,0.8312
"12","08e4065bf00a6f52f19482569260c7ed",3,2,0,22,12,4,"ebola",0.838035421705845,1,0.0649333333333333,0.8722,-0.1484,1,0.00308641975308642,-0.0555555555555556,2,2,0.8312
"13","08e4065bf00a6f52f19482569260c7ed",4,2,0,34,12,1,"ebola",0.457061243899119,1,0.00510833333333334,0.00530833333333333,-0.005175,1,0.00173611111111111,-0.0416666666666667,2,2,0.9719
"14","08e4065bf00a6f52f19482569260c7ed",4,2,0,34,12,2,"ebola",0.338859871887363,1,0.005,0.00695,-0.00555,1,0.00173611111111111,-0.0416666666666667,2,2,0.9719
"15","08e4065bf00a6f52f19482569260c7ed",4,2,0,34,12,3,"ebola",0.125726867354783,1,0.0076833333333333,0.0277416666666667,-0.0111583333333333,1,0.00173611111111111,-0.0416666666666667,2,2,0.9719
"16","08e4065bf00a6f52f19482569260c7ed",4,2,0,34,12,4,"ebola",0.966724600430847,1,0.0103166666666667,0.231075,-0.0257416666666667,1,0.00173611111111111,-0.0416666666666667,2,2,0.9719
"17","08e4065bf00a6f52f19482569260c7ed",5,2,0,46,12,1,"ebola",0.110385481139649,1,0.000616666666666599,0.000616666666666667,-0.000616666666666667,1,0.00111111111111111,-0.0333333333333333,2,2,0.9952
"18","08e4065bf00a6f52f19482569260c7ed",5,2,0,46,12,2,"ebola",0.907659765048467,1,0.000574999999999937,7e-04,-0.000616666666666667,1,0.00111111111111111,-0.0333333333333333,2,2,0.9952
"19","08e4065bf00a6f52f19482569260c7ed",5,2,0,46,12,3,"ebola",0.544362181864803,1,0.00102499999999998,0.00183333333333333,-0.00126666666666667,1,0.00111111111111111,-0.0333333333333333,2,2,0.9952
"20","08e4065bf00a6f52f19482569260c7ed",6,2,0,58,12,1,"ebola",0.173595720120313,1,0.000116666666666654,0.000116666666666667,-0.000116666666666667,1,0.000771604938271605,-0.0277777777777778,2,2,0.9991
"21","08e4065bf00a6f52f19482569260c7ed",6,2,0,58,12,2,"ebola",0.823426843452643,1,0.000183333333333313,0.000208333333333333,-0.000191666666666667,1,0.000771604938271605,-0.0277777777777778,2,2,0.9991
"22","08e4065bf00a6f52f19482569260c7ed",7,2,0,70,12,1,"ebola",0.160629183875292,1,8.33333333333242e-06,8.33333333333333e-06,-8.33333333333333e-06,1,0.000566893424036281,-0.0238095238095238,2,2,0.9999
