"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","08edcf1ff511d11086f9d9740921f5ed",1,2,8,0,12,1,"ebola",0.999946548046868,1,-0.198191666666667,0.72849375,0.234825,0,0.325810185185185,0.5,2,552,0.0704
"2","08edcf1ff511d11086f9d9740921f5ed",1,2,10,0,12,2,"ebola",0.765214813797613,0.527777777777778,0.13735,9.79354375,-1.23508333333333,-0.333333333333333,0.379050925925926,0.666666666666667,2,552,0.0704
"3","08edcf1ff511d11086f9d9740921f5ed",1,2,28,0,12,3,"ebola",NA,0.23968253968254,0.197425,177.514752638889,-8.69085833333333,-0.666666666666667,1.55578703703704,2.16666666666667,2,552,0.0704
"4","08edcf1ff511d11086f9d9740921f5ed",1,2,41,0,12,4,"ebola",0.999950000000015,0.0889572963586122,0.326525,7285.99238373016,-61.21355,-1,2.44454089506173,3.25,2,552,0.0704
"5","08edcf1ff511d11086f9d9740921f5ed",2,10,10,0,12,1,"ebola",0.999799971942366,0.590277777777778,0.463866666666667,5.2338625,-1.4242,-0.333333333333333,0.29615162037037,0.416666666666667,3,552,0
"6","08edcf1ff511d11086f9d9740921f5ed",2,10,28,0,12,2,"ebola",0.999950000000015,0.52999592999593,0.70365,45.0339545833333,-6.64248333333333,-0.666666666666667,1.31950231481481,1.91666666666667,2,552,0
"7","08edcf1ff511d11086f9d9740921f5ed",2,10,41,0,12,3,"ebola",0.999950000000015,0.382144699169526,0.867066666666667,1057.24678402778,-35.1826833333333,-1,2.11593019731041,3,3,552,0
"8","08edcf1ff511d11086f9d9740921f5ed",2,10,81,0,12,4,"ebola",0.999950000000015,0.257949809026044,0.905066666666667,19832.7883570248,-172.140075,-1,5.21783689079696,6.33333333333333,3,552,0
"9","08edcf1ff511d11086f9d9740921f5ed",3,20,28,0,12,1,"ebola",0.971149644065962,0.638888888888889,-0.182375,1.80559847222222,0.372391666666667,-0.666666666666667,1.21028806584362,1.77777777777778,3,552,1e-04
"10","08edcf1ff511d11086f9d9740921f5ed",3,20,41,0,12,2,"ebola",0.988606584314623,0.602777777777778,0.0209333333333333,3.22451170634921,-0.348483333333333,-1,1.94770233196159,2.86111111111111,3,552,1e-04
"11","08edcf1ff511d11086f9d9740921f5ed",3,20,81,0,12,3,"ebola",0.999950000000015,0.541005291005291,-0.0485083333333333,10.2295150725432,-1.22845833333333,-1,5.00200685231549,6.19444444444444,3,552,1e-04
"12","08edcf1ff511d11086f9d9740921f5ed",3,20,130,0,12,4,"ebola",NA,0.461975300026771,0.0812833333333333,45.8999508047739,-6.7742,-1,8.94069397680509,10.2777777777778,2,552,1e-04
"13","08edcf1ff511d11086f9d9740921f5ed",4,48,41,0,12,1,"ebola",0.999947325937655,0.731746031746032,0.205258333333333,2.58358516865079,-0.721441666666667,-0.916666666666667,1.4781746031746,2.41666666666667,3,552,0
"14","08edcf1ff511d11086f9d9740921f5ed",4,48,81,0,12,2,"ebola",0.999950000000015,0.731463443963444,0.273291666666667,5.56255643950956,-2.11511666666667,-1,4.35025622525623,5.75,3,552,0
"15","08edcf1ff511d11086f9d9740921f5ed",4,48,130,0,12,3,"ebola",0.999950000000015,0.695542093869174,0.553708333333333,16.1956117607624,-7.73223333333333,-1,8.19448051948052,9.83333333333333,3,552,0
"16","08edcf1ff511d11086f9d9740921f5ed",4,48,252,0,12,4,"ebola",0.999950000000015,0.641700303659476,0.571766666666667,44.5037931432997,-18.453,-1,18.1913457396317,20,3,552,0
"17","08edcf1ff511d11086f9d9740921f5ed",5,89,81,0,12,1,"ebola",0.870382660978965,0.725859788359788,-0.0387666666666667,2.43223723776224,0.07405,-1,3.7087700317301,5.26666666666667,3,552,0
"18","08edcf1ff511d11086f9d9740921f5ed",5,89,130,0,12,2,"ebola",0.999950000000015,0.76026381026381,0.0694583333333333,2.82450956770082,-0.731283333333333,-1,7.42346032497595,9.35,3,552,0
"19","08edcf1ff511d11086f9d9740921f5ed",5,89,252,0,12,3,"ebola",0.999950000000015,0.748848391491749,-0.08145,3.81487462980189,0.119991666666667,-1,17.3283379698307,19.5166666666667,3,552,0
"20","08edcf1ff511d11086f9d9740921f5ed",6,170,130,0,12,1,"ebola",0.984830135954089,0.807486957486958,0.0467416666666667,2.03359565897066,-0.28045,-1,6.13108718217225,8.47222222222222,3,552,0
"21","08edcf1ff511d11086f9d9740921f5ed",6,170,252,0,12,2,"ebola",0.999950000000015,0.819303928925429,-0.260183333333333,2.08659845594598,2.13325,-1,15.8181892310855,18.6388888888889,3,552,0
"22","08edcf1ff511d11086f9d9740921f5ed",7,300,252,0,12,1,"ebola",0.999511981106781,0.834787260112422,-0.434991666666667,1.91862407908772,3.45110833333333,-1,13.8568267213409,17.4285714285714,3,552,0
