"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","0e1aea572425eb09021603cfaf501c38",1,2,1,5,12,1,"ebola",0.593511550200695,1,0.263783333333333,0.935929166666667,-0.410166666666667,0.833333333333333,0.0543981481481482,-0.0833333333333333,2,4,0.0944
"2","0e1aea572425eb09021603cfaf501c38",1,2,0,5,12,2,"ebola",0.997959659141223,0.583333333333333,0.564266666666667,18.2645333333333,-2.08686666666667,1,0.0277777777777778,-0.166666666666667,2,4,0.0944
"3","0e1aea572425eb09021603cfaf501c38",1,2,1,5,12,3,"ebola",0.999950000000015,0.304166666666667,0.6642,609.911445833333,-10.8045333333333,0.833333333333333,0.0543981481481482,-0.0833333333333333,2,4,0.0944
"4","0e1aea572425eb09021603cfaf501c38",1,2,0,5,12,4,"ebola",NA,0.136709355459355,0.759291666666667,34142.1713,-63.2428833333333,1,0.0277777777777778,-0.166666666666667,2,4,0.0944
"5","0e1aea572425eb09021603cfaf501c38",2,3,0,6,12,1,"ebola",0.493449866698763,1,0.177833333333333,0.276575,-0.207108333333333,1,0.015625,-0.125,2,4,0.2715
"6","0e1aea572425eb09021603cfaf501c38",2,3,1,6,12,2,"ebola",0.958080263416746,1,0.182683333333333,0.871516666666667,-0.31595,0.833333333333333,0.0462239583333333,-0.0416666666666667,2,4,0.2715
"7","0e1aea572425eb09021603cfaf501c38",2,3,0,6,12,3,"ebola",0.6447752010799,1,0.34815,7.71874166666667,-0.983425,1,0.015625,-0.125,2,4,0.2715
"8","0e1aea572425eb09021603cfaf501c38",2,3,0,6,12,4,"ebola",0.999949675836916,1,0.418633333333333,109.547425,-2.772475,1,0.015625,-0.125,2,4,0.2715
"9","0e1aea572425eb09021603cfaf501c38",3,3,1,18,12,1,"ebola",0.848722671811271,1,-0.032325,0.0942208333333333,0.0301333333333333,0.833333333333333,0.0413773148148148,1.16099982636989e-18,2,4,0.7209
"10","0e1aea572425eb09021603cfaf501c38",3,3,0,18,12,2,"ebola",0.430812162241904,1,0.0539,0.0760916666666667,-0.060575,1,0.00694444444444444,-0.0833333333333333,2,4,0.7209
"11","0e1aea572425eb09021603cfaf501c38",3,3,0,18,12,3,"ebola",0.684029513913793,1,0.0734333333333334,0.174833333333333,-0.09805,1,0.00694444444444444,-0.0833333333333333,2,4,0.7209
"12","0e1aea572425eb09021603cfaf501c38",3,3,0,18,12,4,"ebola",0.00960738498206601,1,0.0961,0.636516666666667,-0.1797,1,0.00694444444444444,-0.0833333333333333,2,4,0.7209
"13","0e1aea572425eb09021603cfaf501c38",4,4,0,0,12,1,"ebola",0.766272209004119,1,0.0464666666666667,0.0526,-0.0484166666666667,1,0.00694444444444444,-0.0833333333333333,2,4,0.4903
"14","0e1aea572425eb09021603cfaf501c38",4,4,0,0,12,2,"ebola",0.861151278449787,1,0.0959333333333334,0.130366666666667,-0.106333333333333,1,0.00694444444444444,-0.0833333333333333,2,4,0.4903
"15","0e1aea572425eb09021603cfaf501c38",4,4,0,0,12,3,"ebola",0.15637297553249,1,0.126391666666667,0.30165,-0.16765,1,0.00694444444444444,-0.0833333333333333,2,4,0.4903
"16","0e1aea572425eb09021603cfaf501c38",4,4,0,0,12,4,"ebola",0.968959394526861,1,0.164258333333333,1.187575,-0.300491666666667,1,0.00694444444444444,-0.0833333333333333,2,4,0.4903
"17","0e1aea572425eb09021603cfaf501c38",5,4,0,12,12,1,"ebola",0.730477328570464,1,0.0541416666666667,0.0604166666666667,-0.0561833333333333,1,0.00444444444444444,-0.0666666666666667,2,4,0.6678
"18","0e1aea572425eb09021603cfaf501c38",5,4,0,12,12,2,"ebola",0.955481753990812,1,0.0568666666666667,0.07925,-0.0635,1,0.00444444444444444,-0.0666666666666667,2,4,0.6678
"19","0e1aea572425eb09021603cfaf501c38",5,4,0,12,12,3,"ebola",0.164961810608563,1,0.0725916666666667,0.15095,-0.09175,1,0.00444444444444444,-0.0666666666666667,2,4,0.6678
"20","0e1aea572425eb09021603cfaf501c38",6,4,0,24,12,1,"ebola",0.400804378255919,1,0.0165333333333334,0.0171083333333333,-0.016725,1,0.00308641975308642,-0.0555555555555556,2,4,0.8948
"21","0e1aea572425eb09021603cfaf501c38",6,4,0,24,12,2,"ebola",0.196232505098368,1,0.0143666666666667,0.0171083333333333,-0.015225,1,0.00308641975308642,-0.0555555555555556,2,4,0.8948
"22","0e1aea572425eb09021603cfaf501c38",7,4,0,36,12,1,"ebola",0.579332769778799,1,0.00297500000000001,0.003025,-0.00299166666666667,1,0.00226757369614512,-0.0476190476190476,2,4,0.9692
