"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","1303da5d056f8f73f13940e6d35b90a9",1,4,5,5,12,1,"ebola",0.984279625729271,0.555555555555556,0.392325,2.86827083333333,-0.837266666666667,0.5,0.256172839506173,0.0833333333333334,2,192,0.0031
"2","1303da5d056f8f73f13940e6d35b90a9",1,4,9,5,12,2,"ebola",0.999950000000015,0.437698412698413,0.619475,62.5879222222222,-4.71890833333333,0,0.354938271604938,0.416666666666667,2,192,0.0031
"3","1303da5d056f8f73f13940e6d35b90a9",1,4,11,5,12,3,"ebola",0.999950000000015,0.237696678321678,0.814408333333333,1536.81377222222,-27.1589,-0.666666666666667,0.262345679012346,0.583333333333333,2,192,0.0031
"4","1303da5d056f8f73f13940e6d35b90a9",1,4,21,5,12,4,"ebola",0.999950000000015,0.10563822430306,0.8429,52677.4705597222,-155.903691666667,-0.666666666666667,0.932716049382716,1.41666666666667,2,192,0.0031
"5","1303da5d056f8f73f13940e6d35b90a9",2,9,9,1,12,1,"ebola",0.894869273072555,0.583333333333333,0.08705,1.59989027777778,-0.223,0,0.352322048611111,0.375,2,192,0.0026
"6","1303da5d056f8f73f13940e6d35b90a9",2,9,11,1,12,2,"ebola",0.98457602464097,0.583333333333333,0.377791666666667,4.92709861111111,-1.45273333333333,-0.666666666666667,0.243272569444444,0.541666666666667,2,192,0.0026
"7","1303da5d056f8f73f13940e6d35b90a9",2,9,21,1,12,3,"ebola",0.999950000000015,0.430555555555556,0.468941666666667,42.0726954166667,-4.47419166666667,-0.666666666666667,0.903298611111111,1.375,2,192,0.0026
"8","1303da5d056f8f73f13940e6d35b90a9",2,9,25,1,12,4,"ebola",0.999950000000015,0.332061688311688,0.6527,604.644742956349,-15.69475,-0.5,1.24863591269841,1.70833333333333,2,192,0.0026
"9","1303da5d056f8f73f13940e6d35b90a9",3,18,11,2,12,1,"ebola",0.996445224915483,0.513888888888889,0.214333333333333,1.27567777777778,-0.530458333333333,-0.666666666666667,0.197916666666667,0.416666666666667,3,192,0
"10","1303da5d056f8f73f13940e6d35b90a9",3,18,21,2,12,2,"ebola",0.999949971017251,0.611111111111111,0.2503,3.69666930555556,-0.9293,-0.666666666666667,0.825,1.25,3,192,0
"11","1303da5d056f8f73f13940e6d35b90a9",3,18,25,2,12,3,"ebola",0.999950000000015,0.541666666666667,0.50775,18.3118969246032,-3.2425,-0.5,1.17261904761905,1.58333333333333,3,192,0
"12","1303da5d056f8f73f13940e6d35b90a9",3,18,49,2,12,4,"ebola",0.999950000000015,0.459704184704185,0.439075,42.8810664517196,-6.867625,-1,2.60438988095238,3.58333333333333,3,192,0
"13","1303da5d056f8f73f13940e6d35b90a9",4,29,21,0,12,1,"ebola",0.618463208008027,0.541666666666667,-0.0642833333333333,1.45028694444444,0.186616666666667,-0.666666666666667,0.771156442901235,1.14583333333333,3,192,0
"14","1303da5d056f8f73f13940e6d35b90a9",4,29,25,0,12,2,"ebola",0.971073111447249,0.680555555555556,0.146483333333333,3.39680466269841,-0.425125,-0.5,1.12082851080247,1.47916666666667,3,192,0
"15","1303da5d056f8f73f13940e6d35b90a9",4,29,49,0,12,3,"ebola",0.999949998565903,0.591666666666667,-0.0539083333333333,2.88845084986772,-0.0501333333333333,-1,2.47093832384902,3.47916666666667,3,192,0
"16","1303da5d056f8f73f13940e6d35b90a9",4,29,68,0,12,4,"ebola",0.999950000000015,0.546031746031746,0.079425,8.0156277281746,-1.293325,-1,3.93445427035108,5.0625,3,192,0
"17","1303da5d056f8f73f13940e6d35b90a9",5,50,25,0,12,1,"ebola",0.86057403958485,0.701388888888889,0.21125,3.27899265873016,-0.5614,-0.5,1.04387125220459,1.25,3,192,0
"18","1303da5d056f8f73f13940e6d35b90a9",5,50,49,0,12,2,"ebola",0.999214774158008,0.680555555555556,0.0861666666666667,2.27096975859788,-0.347366666666667,-1,2.19503508965315,3.25,3,192,0
"19","1303da5d056f8f73f13940e6d35b90a9",5,50,68,0,12,3,"ebola",0.999950000000015,0.672123015873016,0.258641666666667,5.49824964285714,-1.62925833333333,-1,3.62187224426808,4.83333333333333,3,192,0
"20","1303da5d056f8f73f13940e6d35b90a9",6,75,49,0,12,1,"ebola",0.999950000000015,0.7625,-0.191483333333333,1.46356006283069,0.7669,-0.833333333333333,1.96532158243313,3.04166666666667,3,192,0
"21","1303da5d056f8f73f13940e6d35b90a9",6,75,68,0,12,2,"ebola",0.999873213007971,0.685714285714286,-0.0591666666666667,2.40368293650794,0.56045,-1,3.35457055362654,4.625,3,192,0
"22","1303da5d056f8f73f13940e6d35b90a9",7,124,68,0,12,1,"ebola",0.999763751297103,0.703373015873016,0.140475,2.66498680555556,-0.311225,-1,2.84873843717381,4.19047619047619,3,192,0
