"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","147350f3feafae1a2a55c9926e347f19",1,1,0,11,12,1,"ebola",0.822975873589275,1,0.129125,0.22475,-0.155566666666667,1,0.00694444444444444,-0.0833333333333333,2,79,0.4483
"2","147350f3feafae1a2a55c9926e347f19",1,1,1,11,12,2,"ebola",0.425678540207596,1,0.156333333333333,2.72222916666667,-0.462758333333333,0.833333333333333,0.0413773148148148,1.15309418552885e-18,2,79,0.4483
"3","147350f3feafae1a2a55c9926e347f19",1,1,3,11,12,3,"ebola",0.99994635665487,1,0.132875,91.1157833333333,-2.39963333333333,0.5,0.110243055555556,0.166666666666667,2,79,0.4483
"4","147350f3feafae1a2a55c9926e347f19",1,1,4,11,12,4,"ebola",0.999950000000015,1,0.207775,4116.67103472222,-14.284075,0.5,0.177276234567901,0.25,2,79,0.4483
"5","147350f3feafae1a2a55c9926e347f19",2,1,1,23,12,1,"ebola",0.402086524027894,1,-0.06045,0.0648125,0.0594833333333333,0.833333333333333,0.0398582175925926,0.0416666666666667,2,79,0.8608
"6","147350f3feafae1a2a55c9926e347f19",2,1,3,23,12,2,"ebola",0.0168509777917356,1,-0.2181,0.175016666666667,0.210541666666667,0.5,0.116102430555556,0.208333333333333,2,79,0.8608
"7","147350f3feafae1a2a55c9926e347f19",2,1,4,23,12,3,"ebola",0.0325816169406602,1,-0.198958333333333,0.659393055555556,0.223241666666667,0.5,0.184365354938272,0.291666666666667,2,79,0.8608
"8","147350f3feafae1a2a55c9926e347f19",2,1,11,23,12,4,"ebola",0.835774224767983,1,-0.50285,5.39174444444444,0.546158333333333,-0.166666666666667,0.549177758487654,0.875,2,79,0.8608
"9","147350f3feafae1a2a55c9926e347f19",3,2,3,6,12,1,"ebola",0.573055296132478,1,-0.151208333333333,0.2149875,0.143158333333333,0.5,0.113811728395062,0.194444444444444,2,79,0.4391
"10","147350f3feafae1a2a55c9926e347f19",3,2,4,6,12,2,"ebola",0.568890909985082,1,-0.0913416666666666,0.624945833333333,0.0958416666666667,0.5,0.181670096021948,0.277777777777778,2,79,0.4391
"11","147350f3feafae1a2a55c9926e347f19",3,2,11,6,12,3,"ebola",0.57912994301448,1,-0.328983333333333,4.48888402777778,0.2421,-0.166666666666667,0.540616426611797,0.861111111111111,2,79,0.4391
"12","147350f3feafae1a2a55c9926e347f19",3,2,22,6,12,4,"ebola",0.999914811331491,1,-0.487866666666667,78.3057344444444,-0.574291666666667,-0.666666666666667,1.23908607681756,1.77777777777778,2,79,0.4391
"13","147350f3feafae1a2a55c9926e347f19",4,5,4,4,12,1,"ebola",0.603618421373034,1,0.0806083333333333,0.699627777777778,-0.109341666666667,0.5,0.174852912808642,0.229166666666667,2,79,0.0639
"14","147350f3feafae1a2a55c9926e347f19",4,5,11,4,12,2,"ebola",0.98985005074564,0.833333333333333,-0.0772416666666666,1.67420902777778,-0.01785,-0.166666666666667,0.512656129436728,0.8125,2,79,0.0639
"15","147350f3feafae1a2a55c9926e347f19",4,5,22,4,12,3,"ebola",0.999885585842611,0.5,-0.133316666666667,6.80877222222222,-0.469258333333333,-0.666666666666667,1.19056592399691,1.72916666666667,2,79,0.0639
"16","147350f3feafae1a2a55c9926e347f19",4,5,37,4,12,4,"ebola",0.999950000000015,0.375,-0.0975333333333333,62.0664855555556,-3.17244166666667,-0.833333333333333,2.29494116512346,2.97916666666667,2,79,0.0639
"17","147350f3feafae1a2a55c9926e347f19",5,9,11,4,12,1,"ebola",0.464170553950175,1,-0.204083333333333,0.795521527777778,0.340558333333333,-0.166666666666667,0.489149305555556,0.766666666666667,2,79,0.0194
"18","147350f3feafae1a2a55c9926e347f19",5,9,22,4,12,2,"ebola",0.897811767842417,0.625,-0.399633333333333,1.22220027777778,0.892633333333333,-0.666666666666667,1.14682638888889,1.68333333333333,2,79,0.0194
"19","147350f3feafae1a2a55c9926e347f19",5,9,37,4,12,3,"ebola",0.998858093212373,0.5,-0.420008333333333,2.74845694444444,1.33206666666667,-0.833333333333333,2.23886111111111,2.93333333333333,2,79,0.0194
"20","147350f3feafae1a2a55c9926e347f19",6,20,22,0,12,1,"ebola",0.805538525873995,0.541666666666667,-0.173675,1.13906138888889,0.411866666666667,-0.666666666666667,1.03517661179698,1.55555555555556,3,79,0
"21","147350f3feafae1a2a55c9926e347f19",6,20,37,0,12,2,"ebola",0.994522172394751,0.631944444444444,-0.00879999999999999,2.87601166666667,0.0545,-0.833333333333333,2.09015775034294,2.80555555555556,3,79,0
"22","147350f3feafae1a2a55c9926e347f19",7,42,37,0,12,1,"ebola",0.950668728506513,0.733333333333333,0.184491666666667,2.99803972222222,-0.54395,-0.833333333333333,1.85833333333333,2.58333333333333,3,79,0
