"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","157d09e044242896a8dd7893d90994da",1,1,2,11,12,1,"ebola",0.374569090619743,1,-0.0339833333333333,0.273745833333333,0.00924166666666667,0.666666666666667,0.0758101851851852,0.0833333333333333,2,103,0.4467
"2","157d09e044242896a8dd7893d90994da",1,1,1,11,12,2,"ebola",0.666705182449621,1,0.158958333333333,2.77952083333333,-0.478033333333333,0.833333333333333,0.0413773148148148,1.15309418552885e-18,2,103,0.4467
"3","157d09e044242896a8dd7893d90994da",1,1,7,11,12,3,"ebola",0.999949996836306,1,-0.0176833333333333,64.7413444444445,-2.143475,0.166666666666667,0.313175154320988,0.5,2,103,0.4467
"4","157d09e044242896a8dd7893d90994da",1,1,9,11,12,4,"ebola",0.999950000000015,1,0.0593,2990.68920138889,-14.2937333333333,0.166666666666667,0.447241512345679,0.666666666666667,2,103,0.4467
"5","157d09e044242896a8dd7893d90994da",2,3,1,5,12,1,"ebola",0.252473536402429,1,0.176925,0.501458333333333,-0.241516666666667,0.833333333333333,0.0462239583333333,-0.0416666666666667,2,103,0.1446
"6","157d09e044242896a8dd7893d90994da",2,3,7,5,12,2,"ebola",0.488523464784314,1,-0.000675,2.63242361111111,-0.232983333333333,0.166666666666667,0.300130208333333,0.458333333333333,2,103,0.1446
"7","157d09e044242896a8dd7893d90994da",2,3,9,5,12,3,"ebola",0.999949969878229,0.666666666666667,0.143958333333333,62.5426847222222,-1.9315,0.166666666666667,0.431640625,0.625,2,103,0.1446
"8","157d09e044242896a8dd7893d90994da",2,3,17,5,12,4,"ebola",NA,0.486111111111111,0.0497333333333333,1924.71992708333,-9.1677,-0.5,0.834635416666667,1.29166666666667,2,103,0.1446
"9","157d09e044242896a8dd7893d90994da",3,4,7,5,12,1,"ebola",0.999950000000015,1,-0.2779,0.428358333333333,0.40545,0.166666666666667,0.304183813443073,0.472222222222222,2,103,0.3044
"10","157d09e044242896a8dd7893d90994da",3,4,9,5,12,2,"ebola",0.999950000000015,1,-0.255033333333333,0.7157125,0.468475,0.166666666666667,0.436556927297668,0.638888888888889,2,103,0.3044
"11","157d09e044242896a8dd7893d90994da",3,4,17,5,12,3,"ebola",0.999950000000015,1,-0.5078,1.72416458333333,0.859366666666667,-0.5,0.8460219478738,1.30555555555556,2,103,0.3044
"12","157d09e044242896a8dd7893d90994da",3,4,26,5,12,4,"ebola",0.999653775229099,1,-0.532858333333333,6.85700138888889,0.952116666666667,-0.666666666666667,1.47599451303155,2.05555555555556,2,103,0.3044
"13","157d09e044242896a8dd7893d90994da",4,11,9,0,12,1,"ebola",0.963642198586225,0.666666666666667,0.048575,1.29364166666667,-0.0977083333333333,0.166666666666667,0.40382065007716,0.520833333333333,2,103,0.0016
"14","157d09e044242896a8dd7893d90994da",4,11,17,0,12,2,"ebola",0.293359155236875,0.569444444444444,0.0635583333333333,3.05868958333333,-0.443175,-0.5,0.755726755401235,1.1875,2,103,0.0016
"15","157d09e044242896a8dd7893d90994da",4,11,26,0,12,3,"ebola",0.999936386252065,0.511111111111111,0.246391666666667,10.8482625,-1.89993333333333,-0.666666666666667,1.35883849344136,1.9375,2,103,0.0016
"16","157d09e044242896a8dd7893d90994da",4,11,40,0,12,4,"ebola",0.999950000000015,0.390674603174603,0.349408333333333,51.7806154166667,-6.08533333333333,-1,2.29048394097222,3.10416666666667,2,103,0.0016
"17","157d09e044242896a8dd7893d90994da",5,20,17,1,12,1,"ebola",0.999950000000015,0.513888888888889,-0.0419833333333333,1.59020763888889,0.00325833333333332,-0.5,0.688271604938272,1.08333333333333,3,103,0
"18","157d09e044242896a8dd7893d90994da",5,20,26,1,12,2,"ebola",0.971454311513501,0.625,0.0751583333333333,2.89374930555556,-0.37125,-0.666666666666667,1.26543209876543,1.83333333333333,3,103,0
"19","157d09e044242896a8dd7893d90994da",5,20,40,1,12,3,"ebola",0.976667560033503,0.55,0.199516666666667,5.87041,-1.47006666666667,-1,2.15555555555556,3,3,103,0
"20","157d09e044242896a8dd7893d90994da",6,37,26,0,12,1,"ebola",0.808432594880091,0.666666666666667,0.0397666666666667,2.13380347222222,-0.120616666666667,-0.666666666666667,1.12566175840192,1.65277777777778,3,103,0
"21","157d09e044242896a8dd7893d90994da",6,37,40,0,12,2,"ebola",0.999931315338828,0.7,0.0974166666666667,2.10919916666667,-0.304291666666667,-1,1.9358169367284,2.81944444444444,3,103,0
"22","157d09e044242896a8dd7893d90994da",7,63,40,0,12,1,"ebola",0.999365320196539,0.748611111111111,0.0217666666666667,1.50798958333333,0.067975,-1,1.67552083333333,2.58333333333333,3,103,0
