"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","202862e3bdcfedd6fdf6f4ec8e256492",1,1,0,11,12,1,"ebola",0.262129811839411,1,0.132658333333333,0.237558333333333,-0.161625,1,0.00694444444444444,-0.0833333333333333,2,37,0.445
"2","202862e3bdcfedd6fdf6f4ec8e256492",1,1,0,11,12,2,"ebola",0.646942435483885,1,0.233641666666667,3.31405833333333,-0.590025,1,0.00694444444444444,-0.0833333333333333,2,37,0.445
"3","202862e3bdcfedd6fdf6f4ec8e256492",1,1,0,11,12,3,"ebola",0.999896844560778,1,0.3287,117.258416666667,-2.96423333333333,1,0.00694444444444444,-0.0833333333333333,2,37,0.445
"4","202862e3bdcfedd6fdf6f4ec8e256492",1,1,1,11,12,4,"ebola",NA,1,0.330633333333333,5387.06165416667,-16.8781583333333,0.833333333333333,0.0413773148148148,1.15535294005487e-18,2,37,0.445
"5","202862e3bdcfedd6fdf6f4ec8e256492",2,1,0,23,12,1,"ebola",0.0274399685621662,1,0.0217416666666667,0.0242,-0.0225,1,0.00173611111111111,-0.0416666666666667,2,37,0.8659
"6","202862e3bdcfedd6fdf6f4ec8e256492",2,1,0,23,12,2,"ebola",0.913591071335355,1,0.0279583333333334,0.0649833333333333,-0.0364833333333333,1,0.00173611111111111,-0.0416666666666667,2,37,0.8659
"7","202862e3bdcfedd6fdf6f4ec8e256492",2,1,1,23,12,3,"ebola",0.021385014723363,1,-0.0377333333333334,0.729375,-0.0218333333333333,0.833333333333333,0.0398582175925926,0.0416666666666667,2,37,0.8659
"8","202862e3bdcfedd6fdf6f4ec8e256492",2,1,7,23,12,4,"ebola",0.429686572500613,1,-0.424383333333333,10.9760388888889,0.206841666666667,0,0.298731674382716,0.541666666666667,2,37,0.8659
"9","202862e3bdcfedd6fdf6f4ec8e256492",3,1,0,35,12,1,"ebola",0.189124047370909,1,0.00395833333333334,0.004225,-0.00404166666666667,1,0.000771604938271605,-0.0277777777777778,2,37,0.9729
"10","202862e3bdcfedd6fdf6f4ec8e256492",3,1,1,35,12,2,"ebola",0.509009150141843,1,-0.0779083333333333,0.0499041666666667,0.0770166666666667,0.833333333333333,0.0400913065843621,0.0555555555555556,2,37,0.9729
"11","202862e3bdcfedd6fdf6f4ec8e256492",3,1,7,35,12,3,"ebola",0.663578865788731,1,-0.489966666666667,0.356620833333333,0.566316666666667,0,0.305351937585734,0.555555555555556,2,37,0.9729
"12","202862e3bdcfedd6fdf6f4ec8e256492",3,1,7,35,12,4,"ebola",0.000626580916455643,1,-0.401308333333333,0.823130555555556,0.528341666666667,0.166666666666667,0.334694358710562,0.555555555555556,2,37,0.9729
"13","202862e3bdcfedd6fdf6f4ec8e256492",4,1,1,47,12,1,"ebola",0.435475237140581,1,-0.0827916666666667,0.0421708333333333,0.0827833333333333,0.833333333333333,0.0403464988425926,0.0625,2,37,0.9961
"14","202862e3bdcfedd6fdf6f4ec8e256492",4,1,7,47,12,2,"ebola",0.523044494579983,1,-0.499183333333333,0.319794444444444,0.582408333333333,0,0.308768566743827,0.5625,2,37,0.9961
"15","202862e3bdcfedd6fdf6f4ec8e256492",4,1,7,47,12,3,"ebola",0.948167997009582,1,-0.41535,0.3497125,0.581241666666667,0.166666666666667,0.337715808256173,0.5625,2,37,0.9961
"16","202862e3bdcfedd6fdf6f4ec8e256492",4,1,21,47,12,4,"ebola",0.015671329924076,1,-0.831541666666667,1.23041736111111,1.743875,-0.666666666666667,1.18596281828704,1.72916666666667,2,37,0.9961
"17","202862e3bdcfedd6fdf6f4ec8e256492",5,2,7,8,12,1,"ebola",0.999950000000015,1,-0.42165,0.351961111111111,0.492658333333333,0,0.30266975308642,0.55,2,37,0.4964
"18","202862e3bdcfedd6fdf6f4ec8e256492",5,2,7,8,12,2,"ebola",0.999950000000015,1,-0.294241666666667,0.467248611111111,0.412491666666667,0.166666666666667,0.33233024691358,0.55,2,37,0.4964
"19","202862e3bdcfedd6fdf6f4ec8e256492",5,2,21,8,12,3,"ebola",0.999900773972943,1,-0.679183333333333,2.05455138888889,1.33049166666667,-0.666666666666667,1.17273148148148,1.71666666666667,2,37,0.4964
"20","202862e3bdcfedd6fdf6f4ec8e256492",6,9,7,0,12,1,"ebola",0.986018573583993,0.541666666666667,0.299641666666667,1.58426527777778,-0.570858333333333,0.166666666666667,0.300130208333333,0.458333333333333,2,37,2e-04
"21","202862e3bdcfedd6fdf6f4ec8e256492",6,9,21,0,12,2,"ebola",0.999950000000015,0.591666666666667,0.225741666666667,9.34600486111111,-1.56715,-0.666666666666667,1.080078125,1.625,2,37,2e-04
"22","202862e3bdcfedd6fdf6f4ec8e256492",7,16,21,0,12,1,"ebola",0.999950000000015,0.513888888888889,-0.252283333333333,1.4053625,0.458033333333333,-0.666666666666667,1.01861300075586,1.55952380952381,2,37,1e-04
