"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","2405fe8bc5905be414f48a6fe3fd162f",1,1,1,11,12,1,"ebola",0.715793367556143,1,0.0527916666666667,0.262041666666667,-0.08095,0.833333333333333,0.0413773148148148,1.15535294005487e-18,2,83,0.4482
"2","2405fe8bc5905be414f48a6fe3fd162f",1,1,2,11,12,2,"ebola",0.0580239777270981,1,0.102158333333333,2.52164583333333,-0.433341666666667,0.666666666666667,0.0758101851851852,0.0833333333333333,2,83,0.4482
"3","2405fe8bc5905be414f48a6fe3fd162f",1,1,5,11,12,3,"ebola",0.999949999999214,1,0.0286666666666667,69.6265041666667,-2.564425,0.166666666666667,0.179108796296296,0.333333333333333,2,83,0.4482
"4","2405fe8bc5905be414f48a6fe3fd162f",1,1,9,11,12,4,"ebola",NA,1,0.031475,3217.19851527778,-16.0936666666667,0,0.414641203703704,0.666666666666667,2,83,0.4482
"5","2405fe8bc5905be414f48a6fe3fd162f",2,2,2,8,12,1,"ebola",0.52687602563695,1,-0.0303666666666667,0.230875,0.0146666666666667,0.666666666666667,0.0758101851851852,0.0833333333333333,2,83,0.3975
"6","2405fe8bc5905be414f48a6fe3fd162f",2,2,5,8,12,2,"ebola",0.506503683681464,1,-0.179,0.829375,0.06535,0.166666666666667,0.179108796296296,0.333333333333333,2,83,0.3975
"7","2405fe8bc5905be414f48a6fe3fd162f",2,2,9,8,12,3,"ebola",0.641889153524894,1,-0.179158333333333,12.7908791666667,-0.364241666666667,0,0.414641203703704,0.666666666666667,2,83,0.3975
"8","2405fe8bc5905be414f48a6fe3fd162f",2,2,9,8,12,4,"ebola",0.999950000000015,1,-0.10955,348.4916625,-3.49773333333333,-0.166666666666667,0.390190972222222,0.666666666666667,2,83,0.3975
"9","2405fe8bc5905be414f48a6fe3fd162f",3,4,5,0,12,1,"ebola",0.27130059160067,1,-0.195533333333333,0.328133333333333,0.1757,0.166666666666667,0.171810699588477,0.305555555555556,2,83,0.1078
"10","2405fe8bc5905be414f48a6fe3fd162f",3,4,9,0,12,2,"ebola",0.260817972939639,1,-0.13065,1.21567083333333,0.113808333333333,0,0.402263374485597,0.638888888888889,2,83,0.1078
"11","2405fe8bc5905be414f48a6fe3fd162f",3,4,9,0,12,3,"ebola",0.988982095507277,0.708333333333333,0.0642416666666667,9.253975,-0.931775,-0.166666666666667,0.376543209876543,0.638888888888889,2,83,0.1078
"12","2405fe8bc5905be414f48a6fe3fd162f",3,4,17,0,12,4,"ebola",0.999950000000015,0.5,0.0579916666666666,124.697372916667,-3.66804166666667,-0.5,0.878600823045267,1.30555555555556,2,83,0.1078
"13","2405fe8bc5905be414f48a6fe3fd162f",4,9,9,0,12,1,"ebola",0.293522099013355,0.666666666666667,0.0357,1.162975,-0.113566666666667,0,0.373860677083333,0.5625,2,83,0.0037
"14","2405fe8bc5905be414f48a6fe3fd162f",4,9,9,0,12,2,"ebola",0.998158830840062,0.569444444444445,0.444525,5.45124583333333,-1.41755833333333,-0.166666666666667,0.344482421875,0.5625,2,83,0.0037
"15","2405fe8bc5905be414f48a6fe3fd162f",4,9,17,0,12,3,"ebola",0.999950000000015,0.438888888888889,0.532816666666667,38.9303495833333,-4.12775833333333,-0.5,0.823128255208333,1.22916666666667,2,83,0.0037
"16","2405fe8bc5905be414f48a6fe3fd162f",4,9,39,0,12,4,"ebola",NA,0.339799783549784,0.467216666666667,188.879308412698,-11.8825,-1,2.24236808655754,3.0625,2,83,0.0037
"17","2405fe8bc5905be414f48a6fe3fd162f",5,18,9,0,12,1,"ebola",0.97317913481946,0.555555555555556,0.380658333333333,2.33195208333333,-0.825591666666667,-0.166666666666667,0.311875,0.45,2,83,0
"18","2405fe8bc5905be414f48a6fe3fd162f",5,18,17,0,12,2,"ebola",0.999950000000015,0.577777777777778,0.478433333333333,7.69744625,-1.84980833333333,-0.5,0.753208333333333,1.11666666666667,3,83,0
"19","2405fe8bc5905be414f48a6fe3fd162f",5,18,39,0,12,3,"ebola",0.999950000000015,0.536904761904762,0.416266666666667,15.0156979960317,-3.814825,-1,2.09027182539683,2.95,3,83,0
"20","2405fe8bc5905be414f48a6fe3fd162f",6,27,17,0,12,1,"ebola",0.972113386645531,0.5,0.061825,1.685395,-0.0365416666666667,-0.5,0.714388020833333,1.04166666666667,3,83,0
"21","2405fe8bc5905be414f48a6fe3fd162f",6,27,39,0,12,2,"ebola",0.999380760241516,0.666666666666667,-0.414641666666667,1.23221946428571,1.01973333333333,-1,1.99253782242063,2.875,3,83,0
"22","2405fe8bc5905be414f48a6fe3fd162f",7,44,39,0,12,1,"ebola",0.955631626396748,0.666666666666667,-0.441558333333333,1.08499970238095,1.09265,-1,1.80729762804593,2.72619047619048,3,83,0
