"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","245d5dec0a0f9ee0ae6d15f1f6b31b0b",1,2,6,0,12,1,"ebola",0.999847430715412,1,-0.136466666666667,0.5205,0.0692833333333333,0,0.1875,0.333333333333333,2,269,0.0747
"2","245d5dec0a0f9ee0ae6d15f1f6b31b0b",1,2,8,0,12,2,"ebola",0.867626757174629,0.527777777777778,0.213725,11.3836791666667,-1.39143333333333,0,0.316358024691358,0.5,2,269,0.0747
"3","245d5dec0a0f9ee0ae6d15f1f6b31b0b",1,2,9,0,12,3,"ebola",0.999950000000015,0.251388888888889,0.475058333333333,416.39725,-10.3326666666667,-0.166666666666667,0.342978395061728,0.583333333333333,2,269,0.0747
"4","245d5dec0a0f9ee0ae6d15f1f6b31b0b",1,2,20,0,12,4,"ebola",0.999950000000015,0.0920570084656772,0.496908333333333,15501.6348729167,-64.1755833333333,-0.5,1.04224537037037,1.5,2,269,0.0747
"5","245d5dec0a0f9ee0ae6d15f1f6b31b0b",2,8,8,0,12,1,"ebola",0.994164441773822,0.555555555555556,0.3243,3.45147361111111,-0.905341666666667,0,0.283950617283951,0.333333333333333,2,269,3e-04
"6","245d5dec0a0f9ee0ae6d15f1f6b31b0b",2,8,9,0,12,2,"ebola",0.999950000000015,0.51031746031746,0.764225,53.9057527777778,-5.21138333333333,-0.166666666666667,0.29320987654321,0.416666666666667,2,269,3e-04
"7","245d5dec0a0f9ee0ae6d15f1f6b31b0b",2,8,20,0,12,3,"ebola",0.999950000000015,0.374363497543771,0.848591666666667,1221.39923611111,-23.2738583333333,-0.5,0.925925925925926,1.33333333333333,2,269,3e-04
"8","245d5dec0a0f9ee0ae6d15f1f6b31b0b",2,8,38,0,12,4,"ebola",0.999950000000015,0.236838969005905,0.878391666666667,20896.7069065476,-112.301566666667,-1,1.98042328042328,2.83333333333333,2,269,3e-04
"9","245d5dec0a0f9ee0ae6d15f1f6b31b0b",3,16,9,0,12,1,"ebola",0.997383268262585,0.541666666666667,0.362083333333333,2.42639444444444,-0.839075,-0.166666666666667,0.281035665294925,0.305555555555556,3,269,0
"10","245d5dec0a0f9ee0ae6d15f1f6b31b0b",3,16,20,0,12,2,"ebola",0.999949947247201,0.583333333333333,0.342841666666667,7.09043541666667,-1.42971666666667,-0.5,0.864454732510288,1.22222222222222,3,269,0
"11","245d5dec0a0f9ee0ae6d15f1f6b31b0b",3,16,38,0,12,3,"ebola",0.999950000000015,0.551190476190476,0.377233333333333,15.5425055952381,-3.53423333333333,-1,1.84160787771899,2.72222222222222,3,269,0
"12","245d5dec0a0f9ee0ae6d15f1f6b31b0b",3,16,77,0,12,4,"ebola",0.999950000000015,0.460118585118585,0.3054,69.2640591648629,-8.7166,-1,4.83150163451089,5.97222222222222,3,269,0
"13","245d5dec0a0f9ee0ae6d15f1f6b31b0b",4,25,20,0,12,1,"ebola",0.930003299329889,0.5,-0.132333333333333,1.56611944444444,0.377991666666667,-0.5,0.829653139467593,1.14583333333333,3,269,2e-04
"14","245d5dec0a0f9ee0ae6d15f1f6b31b0b",4,25,38,0,12,2,"ebola",0.866796258765081,0.611111111111111,-0.497175,1.27693880952381,1.24459166666667,-1,1.75004288607804,2.64583333333333,2,269,2e-04
"15","245d5dec0a0f9ee0ae6d15f1f6b31b0b",4,25,77,0,12,3,"ebola",0.999639054124824,0.583333333333333,-0.72235,2.64601517676768,3.33329166666667,-1,4.71169794500686,5.89583333333333,2,269,2e-04
"16","245d5dec0a0f9ee0ae6d15f1f6b31b0b",4,25,109,0,12,4,"ebola",0.999950000000015,0.541666666666667,-0.668158333333333,3.96562488425926,4.05341666666667,-1,7.28412701283253,8.5625,2,269,2e-04
"17","245d5dec0a0f9ee0ae6d15f1f6b31b0b",5,45,38,0,12,1,"ebola",0.994285484346921,0.6875,-0.340016666666667,1.10429101190476,0.792308333333333,-1,1.49427083333333,2.41666666666667,3,269,0
"18","245d5dec0a0f9ee0ae6d15f1f6b31b0b",5,45,77,0,12,2,"ebola",0.8543826643187,0.668055555555556,-0.5946,1.868634876443,2.43184166666667,-1,4.36248027146465,5.66666666666667,3,269,0
"19","245d5dec0a0f9ee0ae6d15f1f6b31b0b",5,45,109,0,12,3,"ebola",0.999839803017628,0.668650793650794,-0.487391666666667,2.45702220568783,2.50739166666667,-1,6.90436921296296,8.33333333333333,3,269,0
"20","245d5dec0a0f9ee0ae6d15f1f6b31b0b",6,83,77,0,12,1,"ebola",0.984066562324591,0.723015873015873,-0.368091666666667,1.50677288329726,1.356525,-1,3.78575660464043,5.26388888888889,3,269,0
"21","245d5dec0a0f9ee0ae6d15f1f6b31b0b",6,83,109,0,12,2,"ebola",0.988013827472341,0.741847041847042,-0.110458333333333,1.87742584325397,0.376866666666667,-1,6.26359832502531,7.93055555555556,3,269,0
"22","245d5dec0a0f9ee0ae6d15f1f6b31b0b",7,160,109,0,12,1,"ebola",0.999948152399317,0.81019351019351,0.257191666666667,2.14465244708995,-1.46488333333333,-1,5.15831098753434,7.17857142857143,3,269,0
