"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","293fcfb94ff90e7f4ce105660e7831d5",1,3,2,2,12,1,"ebola",0.530669843089469,0.708333333333333,0.397141666666667,2.03727916666667,-0.75105,0.666666666666667,0.0989583333333333,-0.0833333333333333,2,242,0.0097
"2","293fcfb94ff90e7f4ce105660e7831d5",1,3,7,2,12,2,"ebola",0.999950000000015,0.406944444444444,0.583966666666667,46.06895,-4.139625,0.166666666666667,0.276909722222222,0.333333333333333,2,242,0.0097
"3","293fcfb94ff90e7f4ce105660e7831d5",1,3,13,2,12,3,"ebola",0.999950000000015,0.172545741295741,0.741583333333333,1580.01037569444,-26.0599833333333,-0.166666666666667,0.570746527777778,0.833333333333333,2,242,0.0097
"4","293fcfb94ff90e7f4ce105660e7831d5",1,3,16,2,12,4,"ebola",NA,0.057183757555835,0.815366666666667,54139.4267076389,-166.374275,-0.666666666666667,0.625434027777778,1.08333333333333,2,242,0.0097
"5","293fcfb94ff90e7f4ce105660e7831d5",2,5,7,3,12,1,"ebola",0.999950000000015,1,-0.057275,0.786988888888889,0.07785,0.166666666666667,0.281997492283951,0.375,2,242,0.0493
"6","293fcfb94ff90e7f4ce105660e7831d5",2,5,13,3,12,2,"ebola",0.999939246958645,0.625,-0.06795,2.74154513888889,-0.0831666666666667,-0.166666666666667,0.58934944058642,0.875,2,242,0.0493
"7","293fcfb94ff90e7f4ce105660e7831d5",2,5,16,3,12,3,"ebola",0.508833551884035,0.458333333333333,0.0674083333333333,23.39615,-1.852975,-0.666666666666667,0.656840760030864,1.125,2,242,0.0493
"8","293fcfb94ff90e7f4ce105660e7831d5",2,5,35,3,12,4,"ebola",0.999950000000015,0.291666666666667,0.0298,526.438261111111,-6.92081666666667,-0.666666666666667,2.04361514136905,2.70833333333333,2,242,0.0493
"9","293fcfb94ff90e7f4ce105660e7831d5",3,12,13,1,12,1,"ebola",0.876313899445662,0.5,-0.054625,1.33402847222222,0.0737166666666667,-0.166666666666667,0.540123456790124,0.75,2,242,0.001
"10","293fcfb94ff90e7f4ce105660e7831d5",3,12,16,1,12,2,"ebola",0.999684971811966,0.583333333333333,0.111966666666667,2.511675,-0.586808333333333,-0.666666666666667,0.567901234567901,1,2,242,0.001
"11","293fcfb94ff90e7f4ce105660e7831d5",3,12,35,1,12,3,"ebola",0.999950000000015,0.519444444444444,0.026525,13.5857489484127,-1.11709166666667,-0.666666666666667,1.91190476190476,2.58333333333333,2,242,0.001
"12","293fcfb94ff90e7f4ce105660e7831d5",3,12,52,1,12,4,"ebola",0.999950000000015,0.382837301587302,0.134508333333333,47.8299953075397,-4.57355,-0.833333333333333,3.12610229276896,4,2,242,0.001
"13","293fcfb94ff90e7f4ce105660e7831d5",4,25,16,1,12,1,"ebola",0.97151154299506,0.611111111111111,0.203333333333333,1.8242625,-0.586491666666667,-0.666666666666667,0.464195722415123,0.8125,3,242,0
"14","293fcfb94ff90e7f4ce105660e7831d5",4,25,35,1,12,2,"ebola",0.998965370838789,0.659722222222222,0.127041666666667,6.67251601190476,-0.832025,-0.666666666666667,1.73615490141369,2.39583333333333,3,242,0
"15","293fcfb94ff90e7f4ce105660e7831d5",4,25,52,1,12,3,"ebola",0.999950000000015,0.613921957671958,0.335616666666667,13.6336866964286,-3.12330833333333,-0.833333333333333,2.88940408158344,3.8125,3,242,0
"16","293fcfb94ff90e7f4ce105660e7831d5",4,25,114,1,12,4,"ebola",0.999950000000015,0.513885460944284,0.192458333333333,20.486838991749,-5.72309166666667,-1,7.68509748634532,8.97916666666667,3,242,0
"17","293fcfb94ff90e7f4ce105660e7831d5",5,41,35,0,12,1,"ebola",0.99966913134954,0.680555555555556,-0.203466666666667,2.66118055555556,0.587291666666667,-0.666666666666667,1.60501413690476,2.23333333333333,3,242,0
"18","293fcfb94ff90e7f4ce105660e7831d5",5,41,52,0,12,2,"ebola",0.867001745344561,0.6875,-0.197475,2.90196133928571,0.562725,-0.833333333333333,2.69896398258377,3.65,3,242,0
"19","293fcfb94ff90e7f4ce105660e7831d5",5,41,114,0,12,3,"ebola",0.999924734642728,0.646230158730159,-0.626491666666667,2.58789841968217,3.21878333333333,-1,7.41114559077753,8.81666666666667,3,242,0
"20","293fcfb94ff90e7f4ce105660e7831d5",6,76,52,0,12,1,"ebola",0.99994910379322,0.740277777777778,0.02175,3.33838416666667,-0.233758333333333,-0.833333333333333,2.31417946551048,3.27777777777778,3,242,0
"21","293fcfb94ff90e7f4ce105660e7831d5",6,76,114,0,12,2,"ebola",0.649268397285393,0.736706349206349,-0.482908333333333,1.54685380822881,2.06475833333333,-1,6.80314563979687,8.44444444444444,3,242,0
"22","293fcfb94ff90e7f4ce105660e7831d5",7,128,114,0,12,1,"ebola",0.997216322564254,0.725859788359788,-0.653108333333333,1.55889039002664,2.82944166666667,-1,6.07686925277628,7.97619047619048,3,242,0
