"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","2943460cddcd74baaa0d67f8b525676d",1,1,2,11,12,1,"ebola",0.721526682258898,1,-0.0311,0.271695833333333,0.00665000000000001,0.666666666666667,0.0758101851851852,0.0833333333333333,2,70,0.4359
"2","2943460cddcd74baaa0d67f8b525676d",1,1,0,11,12,2,"ebola",0.128032501903135,1,0.237358333333333,2.85425,-0.565433333333333,1,0.00694444444444444,-0.0833333333333333,2,70,0.4359
"3","2943460cddcd74baaa0d67f8b525676d",1,1,4,11,12,3,"ebola",0.999918629042304,1,0.077575,84.626825,-2.413525,0.333333333333333,0.144675925925926,0.25,2,70,0.4359
"4","2943460cddcd74baaa0d67f8b525676d",1,1,5,11,12,4,"ebola",0.999950000000015,1,0.1186,3226.69035,-14.712125,0.166666666666667,0.179108796296296,0.333333333333333,2,70,0.4359
"5","2943460cddcd74baaa0d67f8b525676d",2,3,0,3,12,1,"ebola",0.942465246388378,1,0.257225,0.518816666666667,-0.328766666666667,1,0.015625,-0.125,2,70,0.1345
"6","2943460cddcd74baaa0d67f8b525676d",2,3,4,3,12,2,"ebola",0.806578617432558,1,0.140758333333333,3.85442916666667,-0.604008333333333,0.333333333333333,0.138020833333333,0.208333333333333,2,70,0.1345
"7","2943460cddcd74baaa0d67f8b525676d",2,3,5,3,12,3,"ebola",0.999950000000015,0.583333333333333,0.275833333333333,78.0523791666667,-2.909325,0.166666666666667,0.168619791666667,0.291666666666667,2,70,0.1345
"8","2943460cddcd74baaa0d67f8b525676d",2,3,7,3,12,4,"ebola",0.999950000000015,0.444444444444444,0.355983333333333,2239.75300833333,-13.5541083333333,0,0.264973958333333,0.458333333333333,2,70,0.1345
"9","2943460cddcd74baaa0d67f8b525676d",3,3,4,15,12,1,"ebola",0.999950000000015,1,-0.250341666666667,0.218791666666667,0.246558333333333,0.333333333333333,0.144675925925926,0.25,2,70,0.6035
"10","2943460cddcd74baaa0d67f8b525676d",3,3,5,15,12,2,"ebola",0.999950000000015,1,-0.323158333333333,0.284808333333333,0.311108333333333,0.166666666666667,0.179108796296296,0.333333333333333,2,70,0.6035
"11","2943460cddcd74baaa0d67f8b525676d",3,3,7,15,12,3,"ebola",0.999950000000015,1,-0.369625,0.582944444444444,0.390741666666667,0,0.280574845679012,0.5,2,70,0.6035
"12","2943460cddcd74baaa0d67f8b525676d",3,3,15,15,12,4,"ebola",0.999842891535666,1,-0.365108333333333,2.78601527777778,0.857591666666667,0,0.865740740740741,1.16666666666667,2,70,0.6035
"13","2943460cddcd74baaa0d67f8b525676d",4,7,5,3,12,1,"ebola",0.452750180973296,1,-0.050425,0.540791666666667,-0.0100583333333333,0.166666666666667,0.164406105324074,0.270833333333333,2,70,0.0522
"14","2943460cddcd74baaa0d67f8b525676d",4,7,7,3,12,2,"ebola",0.562529722171855,0.833333333333333,0.045875,1.29591666666667,-0.232858333333333,0,0.258131992669753,0.4375,2,70,0.0522
"15","2943460cddcd74baaa0d67f8b525676d",4,7,15,3,12,3,"ebola",0.978932703545399,0.5,0.0758333333333333,6.88147013888889,-0.450125,0,0.833622685185185,1.10416666666667,2,70,0.0522
"16","2943460cddcd74baaa0d67f8b525676d",4,7,36,3,12,4,"ebola",0.999950000000015,0.444444444444444,-0.296391666666667,27.4242790079365,-0.881916666666667,-1,2.07772628003748,2.85416666666667,2,70,0.0522
"17","2943460cddcd74baaa0d67f8b525676d",5,12,7,1,12,1,"ebola",0.963497553982054,0.833333333333333,0.00443333333333331,0.756984722222222,-0.069475,0,0.243333333333333,0.383333333333333,2,70,0.0057
"18","2943460cddcd74baaa0d67f8b525676d",5,12,15,1,12,2,"ebola",0.982231620311101,0.5,0.022125,2.06338541666667,0.121941666666667,0,0.81,1.05,2,70,0.0057
"19","2943460cddcd74baaa0d67f8b525676d",5,12,36,1,12,3,"ebola",0.996651521386112,0.513888888888889,-0.435566666666667,2.45888609126984,0.969041666666667,-1,2.00514285714286,2.8,2,70,0.0057
"20","2943460cddcd74baaa0d67f8b525676d",6,19,15,0,12,1,"ebola",0.996688989111647,0.541666666666667,-0.03595,1.47010208333333,0.33495,0,0.787165637860082,0.986111111111111,2,70,1e-04
"21","2943460cddcd74baaa0d67f8b525676d",6,19,36,0,12,2,"ebola",0.990725261381978,0.527777777777778,-0.553758333333333,1.37829813492063,1.46029166666667,-1,1.92165369941701,2.73611111111111,2,70,1e-04
"22","2943460cddcd74baaa0d67f8b525676d",7,34,36,0,12,1,"ebola",0.999820220518724,0.625,-0.374266666666667,1.26409763888889,0.981616666666667,-1,1.74567833747256,2.5952380952381,3,70,0
