"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","2b52b4aa7780a12ba44c30e0c2c61a40",1,1,1,11,12,1,"ebola",0.112494557924376,1,0.0477166666666667,0.2488375,-0.073325,0.833333333333333,0.0413773148148148,1.15535294005487e-18,2,122,0.4392
"2","2b52b4aa7780a12ba44c30e0c2c61a40",1,1,3,11,12,2,"ebola",0.955851028216155,1,0.072775,2.54582222222222,-0.298333333333333,0.666666666666667,0.142843364197531,0.166666666666667,2,122,0.4392
"3","2b52b4aa7780a12ba44c30e0c2c61a40",1,1,4,11,12,3,"ebola",0.999945897335646,1,0.0727583333333333,85.3279625,-2.306675,0.333333333333333,0.144675925925926,0.25,2,122,0.4392
"4","2b52b4aa7780a12ba44c30e0c2c61a40",1,1,11,11,12,4,"ebola",0.999950000000015,1,0.08525,3513.765921875,-13.5962166666667,0.166666666666667,0.642433449074074,0.833333333333333,2,122,0.4392
"5","2b52b4aa7780a12ba44c30e0c2c61a40",2,2,3,7,12,1,"ebola",0.182666452770516,1,-0.0394333333333333,0.312543055555556,0.0925083333333333,0.666666666666667,0.142843364197531,0.166666666666667,2,122,0.3662
"6","2b52b4aa7780a12ba44c30e0c2c61a40",2,2,4,7,12,2,"ebola",0.016781004546801,1,-0.098375,1.27089166666667,-0.049925,0.333333333333333,0.144675925925926,0.25,2,122,0.3662
"7","2b52b4aa7780a12ba44c30e0c2c61a40",2,2,11,7,12,3,"ebola",0.957232243413139,1,-0.07485,23.63015,-0.353241666666667,0.166666666666667,0.642433449074074,0.833333333333333,2,122,0.3662
"8","2b52b4aa7780a12ba44c30e0c2c61a40",2,2,20,7,12,4,"ebola",0.999950000000015,1,-0.362,466.764226388889,-3.56768333333333,-0.666666666666667,1.05420524691358,1.58333333333333,2,122,0.3662
"9","2b52b4aa7780a12ba44c30e0c2c61a40",3,5,4,4,12,1,"ebola",0.997381164625482,1,0.0562666666666667,0.773316666666667,-0.163033333333333,0.333333333333333,0.136445473251029,0.194444444444444,2,122,0.0344
"10","2b52b4aa7780a12ba44c30e0c2c61a40",3,5,11,4,12,2,"ebola",0.576680169016167,0.583333333333333,0.199066666666667,4.01623854166667,-0.334516666666667,0.166666666666667,0.625200938786008,0.777777777777778,2,122,0.0344
"11","2b52b4aa7780a12ba44c30e0c2c61a40",3,5,20,4,12,3,"ebola",0.999946699422914,0.416666666666667,0.0599666666666667,22.3935027777778,-1.85994166666667,-0.666666666666667,1.00139317558299,1.52777777777778,2,122,0.0344
"12","2b52b4aa7780a12ba44c30e0c2c61a40",3,5,24,4,12,4,"ebola",0.999950000000015,0.247222222222222,0.240375,376.383877916667,-9.11950833333333,-0.833333333333333,1.251858281893,1.86111111111111,2,122,0.0344
"13","2b52b4aa7780a12ba44c30e0c2c61a40",4,9,11,5,12,1,"ebola",0.425200249873033,1,0.04275,1.23398333333333,0.281333333333333,0.166666666666667,0.613972981770833,0.729166666666667,2,122,0.026
"14","2b52b4aa7780a12ba44c30e0c2c61a40",4,9,20,5,12,2,"ebola",0.984495867079934,0.541666666666667,-0.346941666666667,1.37901527777778,0.624733333333333,-0.666666666666667,0.957573784722222,1.47916666666667,2,122,0.026
"15","2b52b4aa7780a12ba44c30e0c2c61a40",4,9,24,5,12,3,"ebola",0.998785555351564,0.5,-0.196883333333333,3.75703027777778,-0.0122416666666667,-0.833333333333333,1.20081380208333,1.8125,2,122,0.026
"16","2b52b4aa7780a12ba44c30e0c2c61a40",4,9,58,5,12,4,"ebola",0.999950000000015,0.347222222222222,-0.414266666666667,9.82499496693122,0.70325,-1,3.74344230530754,4.64583333333333,2,122,0.026
"17","2b52b4aa7780a12ba44c30e0c2c61a40",5,20,20,3,12,1,"ebola",0.632843282286888,0.541666666666667,-0.0778666666666667,1.43426527777778,0.123016666666667,-0.666666666666667,0.839506172839506,1.33333333333333,2,122,0
"18","2b52b4aa7780a12ba44c30e0c2c61a40",5,20,24,3,12,2,"ebola",0.997912954919457,0.597222222222222,0.180225,3.21584486111111,-0.806933333333333,-0.833333333333333,1.05925925925926,1.66666666666667,3,122,0
"19","2b52b4aa7780a12ba44c30e0c2c61a40",5,20,58,3,12,3,"ebola",0.999950000000015,0.547619047619048,-0.02795,5.08161216931217,-0.602533333333333,-1,3.52610229276896,4.5,3,122,0
"20","2b52b4aa7780a12ba44c30e0c2c61a40",6,40,24,0,12,1,"ebola",0.999949670816821,0.715277777777778,0.246883333333333,2.61348097222222,-0.829183333333333,-0.833333333333333,0.876954732510288,1.44444444444444,3,122,0
"21","2b52b4aa7780a12ba44c30e0c2c61a40",6,40,58,0,12,2,"ebola",0.999950000000015,0.650793650793651,0.0187916666666667,2.72893351851852,-0.321841666666667,-1,3.21145404663923,4.27777777777778,3,122,0
"22","2b52b4aa7780a12ba44c30e0c2c61a40",7,64,58,0,12,1,"ebola",0.939091244415897,0.766666666666667,-0.348416666666667,1.62463965608466,1.32819166666667,-1,2.93716076377641,4.07142857142857,3,122,0
