"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","30a3dbffd8bb54b378ab12dbf9ea40fd",1,1,1,11,12,1,"ebola",0.870433799101292,1,0.0420333333333333,0.2289375,-0.0643,0.833333333333333,0.0413773148148148,1.15309418552885e-18,2,153,0.4539
"2","30a3dbffd8bb54b378ab12dbf9ea40fd",1,1,7,11,12,2,"ebola",0.0767324487778592,1,-0.23695,1.57083611111111,0.0870666666666667,0,0.280574845679012,0.5,2,153,0.4539
"3","30a3dbffd8bb54b378ab12dbf9ea40fd",1,1,6,11,12,3,"ebola",0.999878231736725,1,-0.0239083333333333,55.0597791666667,-1.80598333333333,0.166666666666667,0.246141975308642,0.416666666666667,2,153,0.4539
"4","30a3dbffd8bb54b378ab12dbf9ea40fd",1,1,17,11,12,4,"ebola",NA,1,-0.279341666666667,1276.3766625,-10.8191416666667,-0.666666666666667,0.836805555555555,1.33333333333333,2,153,0.4539
"5","30a3dbffd8bb54b378ab12dbf9ea40fd",2,2,7,5,12,1,"ebola",0.63827456860294,1,-0.361175,0.378219444444444,0.425291666666667,0,0.280574845679012,0.5,2,153,0.3313
"6","30a3dbffd8bb54b378ab12dbf9ea40fd",2,2,6,5,12,2,"ebola",0.977057733933362,1,-0.158925,1.05465833333333,0.0928833333333333,0.166666666666667,0.246141975308642,0.416666666666667,2,153,0.3313
"7","30a3dbffd8bb54b378ab12dbf9ea40fd",2,2,17,5,12,3,"ebola",0.651308479179723,1,-0.434191666666667,9.25353125,0.08005,-0.666666666666667,0.836805555555555,1.33333333333333,2,153,0.3313
"8","30a3dbffd8bb54b378ab12dbf9ea40fd",2,2,19,5,12,4,"ebola",0.999950000000015,1,-0.271216666666667,261.693370833333,-3.64978333333333,-0.666666666666667,0.987172067901234,1.5,2,153,0.3313
"9","30a3dbffd8bb54b378ab12dbf9ea40fd",3,9,6,0,12,1,"ebola",0.942235415012764,0.527777777777778,0.396308333333333,2.67313888888889,-0.888933333333333,0.166666666666667,0.215277777777778,0.25,2,153,1e-04
"10","30a3dbffd8bb54b378ab12dbf9ea40fd",3,9,17,0,12,2,"ebola",0.999950000000015,0.55,0.5237,14.5116576388889,-2.94045,-0.666666666666667,0.697916666666667,1.16666666666667,2,153,1e-04
"11","30a3dbffd8bb54b378ab12dbf9ea40fd",3,9,19,0,12,3,"ebola",0.999950000000015,0.39278268028268,0.782166666666667,251.331202083333,-13.2061416666667,-0.666666666666667,0.842881944444444,1.33333333333333,3,153,1e-04
"12","30a3dbffd8bb54b378ab12dbf9ea40fd",3,9,33,0,12,4,"ebola",0.999950000000015,0.264963290135235,0.825083333333333,3837.62215702381,-51.9265,-1,1.73952132936508,2.5,2,153,1e-04
"13","30a3dbffd8bb54b378ab12dbf9ea40fd",4,15,17,1,12,1,"ebola",0.950740396837098,0.5,-0.154241666666667,1.0752875,0.194,-0.666666666666667,0.652994791666667,1.10416666666667,3,153,3e-04
"14","30a3dbffd8bb54b378ab12dbf9ea40fd",4,15,19,1,12,2,"ebola",0.7725082291386,0.638888888888889,0.178533333333333,2.91830833333333,-0.713675,-0.666666666666667,0.795735677083333,1.27083333333333,3,153,3e-04
"15","30a3dbffd8bb54b378ab12dbf9ea40fd",4,15,33,1,12,3,"ebola",0.999949999999518,0.508333333333333,0.220616666666667,8.93142615079365,-1.94463333333333,-1,1.664697265625,2.4375,2,153,3e-04
"16","30a3dbffd8bb54b378ab12dbf9ea40fd",4,15,69,1,12,4,"ebola",0.999950000000015,0.422949735449735,0.117508333333333,25.9159790343915,-4.21476666666667,-1,4.41564127604167,5.4375,2,153,3e-04
"17","30a3dbffd8bb54b378ab12dbf9ea40fd",5,32,19,0,12,1,"ebola",0.999949999776143,0.680555555555556,0.301175,2.40037430555556,-0.839225,-0.666666666666667,0.659567901234568,1.05,3,153,0
"18","30a3dbffd8bb54b378ab12dbf9ea40fd",5,32,33,0,12,2,"ebola",0.999950000000015,0.656746031746032,0.4586,5.17869246031746,-2.05741666666667,-1,1.41992151675485,2.21666666666667,3,153,0
"19","30a3dbffd8bb54b378ab12dbf9ea40fd",5,32,69,0,12,3,"ebola",0.999950000000015,0.64455266955267,0.422866666666667,8.83736593253968,-3.703875,-1,4.08000558495003,5.21666666666667,3,153,0
"20","30a3dbffd8bb54b378ab12dbf9ea40fd",6,51,33,0,12,1,"ebola",0.855541469958195,0.729166666666667,0.0549666666666666,1.73569571428571,-0.22905,-1,1.24765039406966,2.04166666666667,3,153,0
"21","30a3dbffd8bb54b378ab12dbf9ea40fd",6,51,69,0,12,2,"ebola",0.999687902710012,0.670634920634921,-0.223258333333333,1.72388115079365,0.847291666666667,-1,3.82571729405497,5.04166666666667,3,153,0
"22","30a3dbffd8bb54b378ab12dbf9ea40fd",7,84,69,0,12,1,"ebola",0.915557488340013,0.754166666666667,-0.387908333333333,1.4720766468254,1.52454166666667,-1,3.42486772486772,4.75,3,153,0
