"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","33b6b5ed0c49f1b0a2fda64147a80574",1,2,5,0,12,1,"ebola",0.0468090280131716,1,-0.0165666666666667,0.666838888888889,-0.0138666666666667,0.333333333333333,0.198688271604938,0.25,2,264,0.0776
"2","33b6b5ed0c49f1b0a2fda64147a80574",1,2,5,0,12,2,"ebola",0.987443135014906,0.569444444444444,0.37065,13.8370069444444,-1.643875,0.5,0.236496913580247,0.25,2,264,0.0776
"3","33b6b5ed0c49f1b0a2fda64147a80574",1,2,14,0,12,3,"ebola",NA,0.255555555555556,0.368291666666667,345.600131944444,-9.98016666666667,-0.333333333333333,0.646219135802469,1,2,264,0.0776
"4","33b6b5ed0c49f1b0a2fda64147a80574",1,2,24,0,12,4,"ebola",0.999950000000015,0.0980711758285288,0.430266666666667,9485.01800708333,-64.3319583333333,-0.833333333333333,1.24513888888889,1.83333333333333,2,264,0.0776
"5","33b6b5ed0c49f1b0a2fda64147a80574",2,7,5,0,12,1,"ebola",0.993565888160611,0.583333333333333,0.433083333333333,3.7441625,-1.00510833333333,0.5,0.246841242283951,0.125,2,264,4e-04
"6","33b6b5ed0c49f1b0a2fda64147a80574",2,7,14,0,12,2,"ebola",0.999950000000015,0.499206349206349,0.584483333333333,39.2405361111111,-4.34185,-0.333333333333333,0.579740547839506,0.875,2,264,4e-04
"7","33b6b5ed0c49f1b0a2fda64147a80574",2,7,24,0,12,3,"ebola",0.999950000000015,0.311659478077822,0.768941666666667,666.7893125,-21.7303833333333,-0.833333333333333,1.12573784722222,1.70833333333333,3,264,4e-04
"8","33b6b5ed0c49f1b0a2fda64147a80574",2,7,38,0,12,4,"ebola",0.999950000000015,0.181591236040567,0.842683333333333,28181.086601542,-109.586816666667,-0.666666666666667,2.27452028183365,2.875,2,264,4e-04
"9","33b6b5ed0c49f1b0a2fda64147a80574",3,12,14,4,12,1,"ebola",0.999950000000015,0.5,-0.07845,1.26149583333333,0.146141666666667,-0.333333333333333,0.561728395061728,0.833333333333333,2,264,0.0029
"10","33b6b5ed0c49f1b0a2fda64147a80574",3,12,24,4,12,2,"ebola",0.999949574867479,0.555555555555556,-0.120816666666667,1.88531375,0.194741666666667,-0.833333333333333,1.08888888888889,1.66666666666667,2,264,0.0029
"11","33b6b5ed0c49f1b0a2fda64147a80574",3,12,38,4,12,3,"ebola",0.767374168791881,0.527777777777778,0.0713166666666667,10.07976872151,-0.466516666666667,-0.666666666666667,2.23649889205445,2.83333333333333,2,264,0.0029
"12","33b6b5ed0c49f1b0a2fda64147a80574",3,12,70,4,12,4,"ebola",0.999949999996136,0.382936507936508,-0.0945416666666666,24.4205074768519,-1.81988333333333,-1,4.49670781893004,5.5,2,264,0.0029
"13","33b6b5ed0c49f1b0a2fda64147a80574",4,26,24,0,12,1,"ebola",0.897809128127768,0.611111111111111,-0.0498083333333333,1.50595333333333,0.133308333333333,-0.833333333333333,0.926779513888889,1.45833333333333,3,264,0
"14","33b6b5ed0c49f1b0a2fda64147a80574",4,26,38,0,12,2,"ebola",0.999937947759168,0.641666666666667,0.141608333333333,5.13537576923077,-0.137508333333333,-0.666666666666667,2.06796905913659,2.625,3,264,0
"15","33b6b5ed0c49f1b0a2fda64147a80574",4,26,70,0,12,3,"ebola",0.999950000000015,0.608829365079365,-0.0268333333333333,5.58362493055556,-0.325183333333333,-1,4.19123665766461,5.29166666666667,3,264,0
"16","33b6b5ed0c49f1b0a2fda64147a80574",4,26,106,0,12,4,"ebola",0.999950000000015,0.521464646464646,0.04035,13.4311927439459,-2.88540833333333,-1,7.01217130830846,8.29166666666667,3,264,0
"17","33b6b5ed0c49f1b0a2fda64147a80574",5,50,38,0,12,1,"ebola",0.999950000000015,0.741666666666667,0.146775,4.25989112179487,-0.0306250000000001,-0.666666666666667,1.89244321779044,2.33333333333333,3,264,0
"18","33b6b5ed0c49f1b0a2fda64147a80574",5,50,70,0,12,2,"ebola",0.999950000000015,0.701984126984127,0.0222333333333333,3.31864143518519,-0.0171083333333333,-1,3.79065072016461,5,3,264,0
"19","33b6b5ed0c49f1b0a2fda64147a80574",5,50,106,0,12,3,"ebola",0.999950000000015,0.678389665889666,0.138308333333333,4.55092006562882,-1.62541666666667,-1,6.53742170894949,8,3,264,0
"20","33b6b5ed0c49f1b0a2fda64147a80574",6,88,70,0,12,1,"ebola",0.99994536582699,0.736904761904762,-0.0480166666666666,2.55122520833333,0.465608333333333,-0.833333333333333,3.30566986739826,4.61111111111111,3,264,0
"21","33b6b5ed0c49f1b0a2fda64147a80574",6,88,106,0,12,2,"ebola",0.792921227835655,0.76725912975913,0.113666666666667,2.46992243106431,-0.822141666666667,-1,5.93361622373968,7.61111111111111,3,264,0
"22","33b6b5ed0c49f1b0a2fda64147a80574",7,158,106,0,12,1,"ebola",0.914385927489447,0.793735431235431,0.158775,2.13110484203297,-0.931566666666667,-1,4.98696653298411,6.95238095238095,3,264,0
