"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","38fdc9230c7a4793ef93afa75633b2ad",1,1,0,11,12,1,"ebola",0.473425158729042,1,0.128291666666667,0.2104,-0.151833333333333,1,0.00694444444444444,-0.0833333333333333,2,5,0.4311
"2","38fdc9230c7a4793ef93afa75633b2ad",1,1,0,11,12,2,"ebola",0.111279226821545,1,0.22955,2.10510833333333,-0.499541666666667,1,0.00694444444444444,-0.0833333333333333,2,5,0.4311
"3","38fdc9230c7a4793ef93afa75633b2ad",1,1,0,11,12,3,"ebola",0.999437713077529,1,0.3319,59.7055666666667,-2.24405,1,0.00694444444444444,-0.0833333333333333,2,5,0.4311
"4","38fdc9230c7a4793ef93afa75633b2ad",1,1,0,11,12,4,"ebola",0.999950000000015,1,0.399916666666667,2399.42725,-11.5621166666667,1,0.00694444444444444,-0.0833333333333333,2,5,0.4311
"5","38fdc9230c7a4793ef93afa75633b2ad",2,1,0,23,12,1,"ebola",0.767245108416377,1,0.0233333333333333,0.027075,-0.0244916666666667,1,0.00173611111111111,-0.0416666666666667,2,5,0.8532
"6","38fdc9230c7a4793ef93afa75633b2ad",2,1,0,23,12,2,"ebola",0.678510365991847,1,0.0323583333333333,0.09295,-0.0430166666666667,1,0.00173611111111111,-0.0416666666666667,2,5,0.8532
"7","38fdc9230c7a4793ef93afa75633b2ad",2,1,0,23,12,3,"ebola",0.542209465259828,1,0.05185,1.44779166666667,-0.123391666666667,1,0.00173611111111111,-0.0416666666666667,2,5,0.8532
"8","38fdc9230c7a4793ef93afa75633b2ad",2,1,0,23,12,4,"ebola",0.139705184981236,1,0.072375,47.2886083333333,-0.450875,1,0.00173611111111111,-0.0416666666666667,2,5,0.8532
"9","38fdc9230c7a4793ef93afa75633b2ad",3,1,0,35,12,1,"ebola",0.641684928372031,1,0.00391666666666668,0.00414166666666667,-0.00399166666666667,1,0.000771604938271605,-0.0277777777777778,2,5,0.9737
"10","38fdc9230c7a4793ef93afa75633b2ad",3,1,0,35,12,2,"ebola",0.421944318911601,1,0.00507500000000003,0.007875,-0.005875,1,0.000771604938271605,-0.0277777777777778,2,5,0.9737
"11","38fdc9230c7a4793ef93afa75633b2ad",3,1,0,35,12,3,"ebola",0.538713936955315,1,0.00891666666666668,0.0753666666666667,-0.01675,1,0.000771604938271605,-0.0277777777777778,2,5,0.9737
"12","38fdc9230c7a4793ef93afa75633b2ad",3,1,2,35,12,4,"ebola",0.870205000069469,1,-0.152858333333333,1.48697916666667,0.10775,0.666666666666667,0.0794110082304527,0.138888888888889,2,5,0.9737
"13","38fdc9230c7a4793ef93afa75633b2ad",4,1,0,47,12,1,"ebola",0.707064955584164,1,0.000599999999999971,0.00065,-0.000616666666666667,1,0.000434027777777778,-0.0208333333333333,2,5,0.9962
"14","38fdc9230c7a4793ef93afa75633b2ad",4,1,0,47,12,2,"ebola",0.0845381958577709,1,0.000574999999999937,9e-04,-0.000666666666666667,1,0.000434027777777778,-0.0208333333333333,2,5,0.9962
"15","38fdc9230c7a4793ef93afa75633b2ad",4,1,2,47,12,3,"ebola",0.766066110058219,1,-0.165416666666667,0.086175,0.164916666666667,0.666666666666667,0.0802589699074074,0.145833333333333,2,5,0.9962
"16","38fdc9230c7a4793ef93afa75633b2ad",4,1,2,47,12,4,"ebola",0.719936683307502,1,-0.164975,0.1050625,0.1622,0.666666666666667,0.0802589699074074,0.145833333333333,2,5,0.9962
"17","38fdc9230c7a4793ef93afa75633b2ad",5,1,0,59,12,1,"ebola",0.767261991515332,1,5.83333333333269e-05,5.83333333333333e-05,-5.83333333333333e-05,1,0.000277777777777778,-0.0166666666666667,2,5,0.9995
"18","38fdc9230c7a4793ef93afa75633b2ad",5,1,2,59,12,2,"ebola",0.431698231091268,1,-0.166608333333333,0.0833541666666667,0.166608333333333,0.666666666666667,0.0808101851851852,0.15,2,5,0.9995
"19","38fdc9230c7a4793ef93afa75633b2ad",5,1,2,59,12,3,"ebola",0.263147713880566,1,-0.16655,0.0834625,0.166533333333333,0.666666666666667,0.0808101851851852,0.15,2,5,0.9995
"20","38fdc9230c7a4793ef93afa75633b2ad",6,1,2,71,12,1,"ebola",0.721291770893832,1,-0.166666666666667,0.0833333333333333,0.166666666666667,0.666666666666667,0.0811953446502058,0.152777777777778,1,5,1
"21","38fdc9230c7a4793ef93afa75633b2ad",6,1,2,71,12,2,"ebola",0.249847104811896,1,-0.166666666666667,0.0833333333333333,0.166666666666667,0.666666666666667,0.0811953446502058,0.152777777777778,1,5,1
"22","38fdc9230c7a4793ef93afa75633b2ad",7,3,2,1,12,1,"ebola",0.841250945034661,1,0.039,0.3303625,-0.0714666666666667,0.666666666666667,0.0785501700680272,0.130952380952381,2,5,0.1702
