"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","3aba7c3928a49d4f49f23a2a289bae02",1,3,4,1,12,1,"ebola",0.997616607510935,0.791666666666667,0.295608333333333,1.72225,-0.47655,0.666666666666667,0.233072916666667,0.0833333333333333,2,390,0.0218
"2","3aba7c3928a49d4f49f23a2a289bae02",1,3,6,1,12,2,"ebola",0.999950000000015,0.343055555555556,0.588591666666667,31.3546666666667,-3.19339166666667,0.5,0.312934027777778,0.25,2,390,0.0218
"3","3aba7c3928a49d4f49f23a2a289bae02",1,3,16,1,12,3,"ebola",0.999950000000015,0.19341514966515,0.60315,733.290999305555,-17.8987083333333,-0.333333333333333,0.723090277777778,1.08333333333333,2,390,0.0218
"4","3aba7c3928a49d4f49f23a2a289bae02",1,3,38,1,12,4,"ebola",0.999950000000015,0.0781110569455427,0.599958333333333,14955.51104,-106.015408333333,-0.833333333333333,2.18998015873016,2.91666666666667,2,390,0.0218
"5","3aba7c3928a49d4f49f23a2a289bae02",2,7,6,2,12,1,"ebola",0.872198978080951,0.666666666666667,0.260275,1.68532152777778,-0.3971,0.5,0.318588445216049,0.208333333333333,2,390,0.005
"6","3aba7c3928a49d4f49f23a2a289bae02",2,7,16,2,12,2,"ebola",0.999850372701466,0.513888888888889,0.223483333333333,8.61535902777778,-1.31928333333333,-0.333333333333333,0.700062692901235,1.04166666666667,2,390,0.005
"7","3aba7c3928a49d4f49f23a2a289bae02",2,7,38,2,12,3,"ebola",0.999950000000015,0.397619047619048,0.249658333333333,76.5662344444444,-5.49663333333333,-0.833333333333333,2.14211585097002,2.875,2,390,0.005
"8","3aba7c3928a49d4f49f23a2a289bae02",2,7,47,2,12,4,"ebola",NA,0.266528147778148,0.4438,2378.71536785714,-28.1854166666667,-1,2.73106863839286,3.625,2,390,0.005
"9","3aba7c3928a49d4f49f23a2a289bae02",3,13,16,1,12,1,"ebola",0.98569781831609,0.5,-0.134516666666667,1.33282916666667,0.22225,-0.333333333333333,0.666077246227709,0.972222222222222,2,390,7e-04
"10","3aba7c3928a49d4f49f23a2a289bae02",3,13,38,1,12,2,"ebola",0.961640010678019,0.625,-0.273116666666667,2.16240130952381,0.889233333333333,-0.833333333333333,2.06492626886145,2.80555555555556,2,390,7e-04
"11","3aba7c3928a49d4f49f23a2a289bae02",3,13,47,1,12,3,"ebola",0.999950000000015,0.475,-0.04005,9.76922631944444,-1.05178333333333,-1,2.63609664351852,3.55555555555556,2,390,7e-04
"12","3aba7c3928a49d4f49f23a2a289bae02",3,13,104,1,12,4,"ebola",0.999950000000015,0.392559523809524,-0.119433333333333,42.8888023025157,-2.84741666666667,-1,7.17484771299521,8.30555555555556,2,390,7e-04
"13","3aba7c3928a49d4f49f23a2a289bae02",4,29,38,0,12,1,"ebola",0.999940651751387,0.694444444444445,-0.184183333333333,1.68133257936508,0.657233333333333,-0.833333333333333,1.82020158179012,2.5625,3,390,0
"14","3aba7c3928a49d4f49f23a2a289bae02",4,29,47,0,12,2,"ebola",0.999950000000015,0.657738095238095,0.195675,3.98780277777778,-1.19325833333333,-1,2.3218017578125,3.3125,3,390,0
"15","3aba7c3928a49d4f49f23a2a289bae02",4,29,104,0,12,3,"ebola",0.999950000000015,0.624596930846931,0.139166666666667,7.32936156262379,-1.86211666666667,-1,6.77837052651163,8.0625,3,390,0
"16","3aba7c3928a49d4f49f23a2a289bae02",4,29,172,0,12,4,"ebola",0.999950000000015,0.563956618243534,0.244475,24.1692436172161,-7.84614166666667,-1,12.3022026098239,13.7291666666667,3,390,0
"17","3aba7c3928a49d4f49f23a2a289bae02",5,67,47,0,12,1,"ebola",0.986890612585339,0.744312169312169,0.432233333333333,4.84789426587302,-2.21340833333333,-0.833333333333333,1.75139955357143,2.8,3,390,0
"18","3aba7c3928a49d4f49f23a2a289bae02",5,67,104,0,12,2,"ebola",0.999950000000015,0.768725120195708,0.56365,7.87606457398742,-4.56370833333333,-1,5.99052731694179,7.55,3,390,0
"19","3aba7c3928a49d4f49f23a2a289bae02",5,67,172,0,12,3,"ebola",NA,0.734687818263257,0.802283333333333,23.4754372990435,-13.7571583333333,-1,11.408514854455,13.2166666666667,3,390,0
"20","3aba7c3928a49d4f49f23a2a289bae02",6,114,104,0,12,1,"ebola",0.999950000000015,0.761640211640212,-0.111208333333333,2.31887467263673,0.972208333333333,-1,5.32996995822389,7.08333333333333,3,390,0
"21","3aba7c3928a49d4f49f23a2a289bae02",6,114,172,0,12,2,"ebola",0.999950000000015,0.789271145521146,-0.320858333333333,1.83376442269536,1.80336666666667,-1,10.6262158872185,12.75,3,390,0
"22","3aba7c3928a49d4f49f23a2a289bae02",7,218,172,0,12,1,"ebola",0.999950000000015,0.822640579664573,-0.146175,1.44401428991148,0.57555,-1,9.0329318335749,11.7380952380952,3,390,0
