"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","444a1915ce92a0a08d51c74e8da3ceb7",1,2,0,2,12,1,"ebola",0.830181431274465,1,0.332641666666667,0.881933333333333,-0.472466666666667,1,0.0277777777777778,-0.166666666666667,2,7,0.0717
"2","444a1915ce92a0a08d51c74e8da3ceb7",1,2,0,2,12,2,"ebola",0.999261765365726,0.513888888888889,0.600575,16.569625,-2.142075,1,0.0277777777777778,-0.166666666666667,2,7,0.0717
"3","444a1915ce92a0a08d51c74e8da3ceb7",1,2,0,2,12,3,"ebola",NA,0.244444444444444,0.745616666666667,604.86035,-11.2182333333333,1,0.0277777777777778,-0.166666666666667,2,7,0.0717
"4","444a1915ce92a0a08d51c74e8da3ceb7",1,2,0,2,12,4,"ebola",0.999950000000015,0.0957185175935176,0.808533333333333,27573.0082083333,-64.405125,1,0.0277777777777778,-0.166666666666667,2,7,0.0717
"5","444a1915ce92a0a08d51c74e8da3ceb7",2,2,0,14,12,1,"ebola",0.93897000583687,1,0.0904583333333333,0.117291666666667,-0.0988083333333333,1,0.00694444444444444,-0.0833333333333333,2,7,0.5592
"6","444a1915ce92a0a08d51c74e8da3ceb7",2,2,0,14,12,2,"ebola",0.326307749010402,1,0.11535,0.326475,-0.159858333333333,1,0.00694444444444444,-0.0833333333333333,2,7,0.5592
"7","444a1915ce92a0a08d51c74e8da3ceb7",2,2,0,14,12,3,"ebola",0.057264197284562,1,0.166866666666667,2.88353333333333,-0.387866666666667,1,0.00694444444444444,-0.0833333333333333,2,7,0.5592
"8","444a1915ce92a0a08d51c74e8da3ceb7",2,2,0,14,12,4,"ebola",0.99187974602517,1,0.213266666666667,51.6535583333333,-1.13360833333333,1,0.00694444444444444,-0.0833333333333333,2,7,0.5592
"9","444a1915ce92a0a08d51c74e8da3ceb7",3,2,0,26,12,1,"ebola",0.81769723581446,1,0.0169166666666667,0.0180333333333333,-0.0172833333333333,1,0.00308641975308642,-0.0555555555555556,2,7,0.898
"10","444a1915ce92a0a08d51c74e8da3ceb7",3,2,0,26,12,2,"ebola",0.920352617357145,1,0.0180916666666667,0.0252083333333333,-0.0201583333333333,1,0.00308641975308642,-0.0555555555555556,2,7,0.898
"11","444a1915ce92a0a08d51c74e8da3ceb7",3,2,0,26,12,3,"ebola",0.880745155284999,1,0.0247833333333333,0.0777333333333333,-0.03545,1,0.00308641975308642,-0.0555555555555556,2,7,0.898
"12","444a1915ce92a0a08d51c74e8da3ceb7",3,2,2,26,12,4,"ebola",0.985083067182759,1,-0.1303,0.531429166666667,0.0903166666666667,0.666666666666667,0.0769032921810699,0.111111111111111,2,7,0.898
"13","444a1915ce92a0a08d51c74e8da3ceb7",4,2,0,38,12,1,"ebola",0.425447057012346,1,0.00238333333333335,0.00243333333333333,-0.0024,1,0.00173611111111111,-0.0416666666666667,2,7,0.9854
"14","444a1915ce92a0a08d51c74e8da3ceb7",4,2,0,38,12,2,"ebola",0.346329763578731,1,0.00244999999999995,0.002875,-0.00259166666666667,1,0.00173611111111111,-0.0416666666666667,2,7,0.9854
"15","444a1915ce92a0a08d51c74e8da3ceb7",4,2,2,38,12,3,"ebola",0.782605668057076,1,-0.163233333333333,0.0885166666666667,0.162525,0.666666666666667,0.0779803240740741,0.125,2,7,0.9854
"16","444a1915ce92a0a08d51c74e8da3ceb7",4,2,3,38,12,4,"ebola",0.304502351583182,1,-0.24515,0.148291666666667,0.242008333333333,0.5,0.116102430555556,0.208333333333333,2,7,0.9854
"17","444a1915ce92a0a08d51c74e8da3ceb7",5,2,0,50,12,1,"ebola",0.634817086809514,1,0.000324999999999964,0.000325,-0.000325,1,0.00111111111111111,-0.0333333333333333,2,7,0.9975
"18","444a1915ce92a0a08d51c74e8da3ceb7",5,2,2,50,12,2,"ebola",0.644868436005111,1,-0.166366666666667,0.0835958333333333,0.166358333333333,0.666666666666667,0.0787962962962963,0.133333333333333,2,7,0.9975
"19","444a1915ce92a0a08d51c74e8da3ceb7",5,2,3,50,12,3,"ebola",0.316892296042506,1,-0.249383333333333,0.125804166666667,0.24925,0.5,0.117638888888889,0.216666666666667,2,7,0.9975
"20","444a1915ce92a0a08d51c74e8da3ceb7",6,2,2,62,12,1,"ebola",0.296242234564158,1,-0.166625,0.08335,0.166625,0.666666666666667,0.0794110082304527,0.138888888888889,2,7,0.9996
"21","444a1915ce92a0a08d51c74e8da3ceb7",6,2,3,62,12,2,"ebola",0.0789922381659643,1,-0.249958333333333,0.125016666666667,0.249958333333333,0.5,0.118730709876543,0.222222222222222,2,7,0.9996
"22","444a1915ce92a0a08d51c74e8da3ceb7",7,4,3,6,12,1,"ebola",0.964829808933809,1,-0.0892833333333334,0.271654166666667,0.0743666666666667,0.5,0.115079365079365,0.202380952380952,2,7,0.2318
