"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","458af46abd0049e3b5e7fbdbc98729d1",1,2,1,2,12,1,"ebola",0.280519682602299,1,0.2539,0.914591666666667,-0.395716666666667,0.833333333333333,0.0543981481481482,-0.0833333333333333,2,221,0.0721
"2","458af46abd0049e3b5e7fbdbc98729d1",1,2,6,2,12,2,"ebola",0.998883000709953,0.527777777777778,0.316975,12.1912027777778,-1.69845833333333,0.166666666666667,0.225308641975309,0.333333333333333,2,221,0.0721
"3","458af46abd0049e3b5e7fbdbc98729d1",1,2,5,2,12,3,"ebola",0.999950000000015,0.255555555555556,0.571483333333333,562.808283333333,-11.3563333333333,0.166666666666667,0.16087962962963,0.25,2,221,0.0721
"4","458af46abd0049e3b5e7fbdbc98729d1",1,2,17,2,12,4,"ebola",0.999950000000015,0.103031806156806,0.510208333333333,19064.30636875,-67.8292166666667,-0.5,0.801697530864197,1.25,2,221,0.0721
"5","458af46abd0049e3b5e7fbdbc98729d1",2,3,6,8,12,1,"ebola",0.999950000000015,1,-0.213291666666667,0.428779166666667,0.254725,0.166666666666667,0.234375,0.375,2,221,0.2607
"6","458af46abd0049e3b5e7fbdbc98729d1",2,3,5,8,12,2,"ebola",0.999950000000015,1,-0.092525,1.20022083333333,-0.0728083333333333,0.166666666666667,0.168619791666667,0.291666666666667,2,221,0.2607
"7","458af46abd0049e3b5e7fbdbc98729d1",2,3,17,8,12,3,"ebola",0.999940237652095,1,-0.355566666666667,9.25062152777778,0.103633333333333,-0.5,0.834635416666667,1.29166666666667,2,221,0.2607
"8","458af46abd0049e3b5e7fbdbc98729d1",2,3,35,8,12,4,"ebola",0.930383528273608,1,-0.514383333333333,85.9036775,-1.1802,-1,2.04032738095238,2.79166666666667,2,221,0.2607
"9","458af46abd0049e3b5e7fbdbc98729d1",3,9,5,0,12,1,"ebola",0.364391812416393,0.708333333333333,0.187608333333333,1.157475,-0.388775,0.166666666666667,0.153645833333333,0.166666666666667,2,221,0.0041
"10","458af46abd0049e3b5e7fbdbc98729d1",3,9,17,0,12,2,"ebola",0.999750687877706,0.555555555555556,0.0370166666666667,3.29221666666667,-0.425933333333333,-0.5,0.741319444444444,1.16666666666667,2,221,0.0041
"11","458af46abd0049e3b5e7fbdbc98729d1",3,9,35,0,12,3,"ebola",0.999950000000015,0.483333333333333,0.025275,11.3967748809524,-1.50745833333333,-1,1.87797619047619,2.66666666666667,2,221,0.0041
"12","458af46abd0049e3b5e7fbdbc98729d1",3,9,53,0,12,4,"ebola",0.999950000000015,0.35,0.173883333333333,106.586220595238,-6.99445,-1,3.2627521494709,4.16666666666667,2,221,0.0041
"13","458af46abd0049e3b5e7fbdbc98729d1",4,14,17,1,12,1,"ebola",0.959233379233241,0.5,-0.323483333333333,1.02684236111111,0.575283333333333,-0.5,0.713879243827161,1.125,2,221,0.0042
"14","458af46abd0049e3b5e7fbdbc98729d1",4,14,35,1,12,2,"ebola",0.989911561128291,0.5,-0.586641666666667,1.40372932539683,1.58010833333333,-1,1.82590939153439,2.625,2,221,0.0042
"15","458af46abd0049e3b5e7fbdbc98729d1",4,14,53,1,12,3,"ebola",0.93215555023673,0.583333333333333,-0.547208333333333,2.45605966269841,2.079225,-1,3.20287572108319,4.125,2,221,0.0042
"16","458af46abd0049e3b5e7fbdbc98729d1",4,14,102,1,12,4,"ebola",0.999949987667975,0.444444444444444,-0.661416666666667,5.21370610424298,4.29560833333333,-1,7.11664837019655,8.20833333333333,2,221,0.0042
"17","458af46abd0049e3b5e7fbdbc98729d1",5,31,35,1,12,1,"ebola",0.75437591617229,0.673611111111111,-0.230258333333333,1.27858077380952,0.629166666666667,-1,1.56246296296296,2.4,3,221,0
"18","458af46abd0049e3b5e7fbdbc98729d1",5,31,53,1,12,2,"ebola",0.9997582468715,0.666666666666667,-0.0615083333333333,2.53987332671958,0.090225,-1,2.89283269032922,3.9,3,221,0
"19","458af46abd0049e3b5e7fbdbc98729d1",5,31,102,1,12,3,"ebola",0.999950000000015,0.601884920634921,-0.125358333333333,5.24076551510989,0.177891666666667,-1,6.74238753858025,7.98333333333333,3,221,0
"20","458af46abd0049e3b5e7fbdbc98729d1",6,66,53,0,12,1,"ebola",0.996265007520279,0.726984126984127,0.163466666666667,2.58854459656085,-0.741033333333333,-1,2.39701875734862,3.5,3,221,0
"21","458af46abd0049e3b5e7fbdbc98729d1",6,66,102,0,12,2,"ebola",0.999950000000015,0.756361693861694,0.149791666666667,3.7871621978022,-1.126875,-1,6.1070009899437,7.58333333333333,3,221,0
"22","458af46abd0049e3b5e7fbdbc98729d1",7,119,102,0,12,1,"ebola",0.984594284669258,0.763492063492064,-0.100141666666667,2.19659648427961,0.657608333333333,-1,5.36670667777439,7.08333333333333,3,221,0
