"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","48d589432b4c214bdab99cb73a92fae9",1,2,6,0,12,1,"ebola",0.999924097089132,1,-0.0233416666666667,0.732972916666667,0.0730333333333333,0.333333333333333,0.272569444444444,0.333333333333333,2,189,0.088
"2","48d589432b4c214bdab99cb73a92fae9",1,2,7,0,12,2,"ebola",0.629883923068853,0.541666666666667,0.31015,10.5475284722222,-1.462225,0.333333333333333,0.336998456790123,0.416666666666667,2,189,0.088
"3","48d589432b4c214bdab99cb73a92fae9",1,2,14,0,12,3,"ebola",0.999950000000015,0.265277777777778,0.380833333333333,365.640895833333,-9.88634166666667,-0.333333333333333,0.665123456790123,1,2,189,0.088
"4","48d589432b4c214bdab99cb73a92fae9",1,2,11,0,12,4,"ebola",0.999950000000015,0.106029965404965,0.5555,16730.0554166667,-64.6463333333333,-0.333333333333333,0.434027777777778,0.75,2,189,0.088
"5","48d589432b4c214bdab99cb73a92fae9",2,8,7,0,12,1,"ebola",0.998161930768196,0.555555555555556,0.452133333333333,3.64363194444444,-1.0639,0.333333333333333,0.33641975308642,0.25,2,189,5e-04
"6","48d589432b4c214bdab99cb73a92fae9",2,8,14,0,12,2,"ebola",0.999950000000015,0.502380952380952,0.697608333333333,48.3895486111111,-4.98799166666667,-0.333333333333333,0.58641975308642,0.833333333333333,2,189,5e-04
"7","48d589432b4c214bdab99cb73a92fae9",2,8,11,0,12,3,"ebola",NA,0.357996837040955,0.911425,1295.35050277778,-24.4682666666667,-0.333333333333333,0.361111111111111,0.583333333333333,2,189,5e-04
"8","48d589432b4c214bdab99cb73a92fae9",2,8,31,0,12,4,"ebola",0.999950000000015,0.228973617611132,0.900216666666667,18668.7926494444,-111.914666666667,-1,1.49938271604938,2.25,2,189,5e-04
"9","48d589432b4c214bdab99cb73a92fae9",3,15,14,0,12,1,"ebola",0.980073624612462,0.5,0.112025,1.74016944444444,-0.148058333333333,-0.333333333333333,0.559799382716049,0.75,3,189,1e-04
"10","48d589432b4c214bdab99cb73a92fae9",3,15,11,0,12,2,"ebola",0.999950000000015,0.625,0.522841666666667,6.56273472222222,-1.798475,-0.333333333333333,0.337673611111111,0.5,3,189,1e-04
"11","48d589432b4c214bdab99cb73a92fae9",3,15,31,0,12,3,"ebola",0.999950000000015,0.527380952380952,0.39775,14.6781020833333,-3.29085,-1,1.40783179012346,2.16666666666667,3,189,1e-04
"12","48d589432b4c214bdab99cb73a92fae9",3,15,42,0,12,4,"ebola",0.999950000000015,0.429656685906686,0.548891666666667,95.2201773015873,-9.861675,-1,2.20105544532628,3.08333333333333,2,189,1e-04
"13","48d589432b4c214bdab99cb73a92fae9",4,29,11,1,12,1,"ebola",0.950361003301597,0.659722222222222,0.50645,3.48150555555556,-1.299325,-0.333333333333333,0.316677517361111,0.3125,3,189,0
"14","48d589432b4c214bdab99cb73a92fae9",4,29,31,1,12,2,"ebola",0.99994722277466,0.686111111111111,0.357541666666667,3.50498847222222,-1.45578333333333,-1,1.2184871720679,1.97916666666667,3,189,0
"15","48d589432b4c214bdab99cb73a92fae9",4,29,42,1,12,3,"ebola",0.999950000000015,0.620271164021164,0.586783333333333,12.5609874801587,-4.152125,-1,1.97687234760802,2.89583333333333,3,189,0
"16","48d589432b4c214bdab99cb73a92fae9",4,29,76,1,12,4,"ebola",0.999950000000015,0.569505800571977,0.583766666666667,30.8793268013468,-8.442125,-1,4.51391139403292,5.72916666666667,3,189,0
"17","48d589432b4c214bdab99cb73a92fae9",5,40,31,0,12,1,"ebola",0.987862234859226,0.569444444444444,-0.361658333333333,1.10512569444444,0.904458333333333,-1,1.16049382716049,1.91666666666667,3,189,0
"18","48d589432b4c214bdab99cb73a92fae9",5,40,42,0,12,2,"ebola",0.773293010859562,0.666666666666667,-0.387358333333333,1.4740130952381,1.1733,-1,1.90630511463845,2.83333333333333,3,189,0
"19","48d589432b4c214bdab99cb73a92fae9",5,40,76,0,12,3,"ebola",0.986235168489352,0.618055555555556,-0.6506,2.26385900613276,2.91243333333333,-1,4.41980653091764,5.66666666666667,3,189,0
"20","48d589432b4c214bdab99cb73a92fae9",6,71,42,0,12,1,"ebola",0.992088884294449,0.752777777777778,-0.0695916666666666,1.55109724206349,0.1332,-1,1.57811573767882,2.51388888888889,3,189,0
"21","48d589432b4c214bdab99cb73a92fae9",6,71,76,0,12,2,"ebola",0.970442305282879,0.695039682539683,-0.176658333333333,1.62508616883117,0.673475,-1,3.95726553824548,5.34722222222222,3,189,0
"22","48d589432b4c214bdab99cb73a92fae9",7,113,76,0,12,1,"ebola",0.738775643279953,0.71984126984127,-0.229425,1.36627853625541,0.883016666666667,-1,3.47409549277463,4.98809523809524,3,189,0
