"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","4be68139549f2e78e992d40f4726f577",1,1,2,11,12,1,"ebola",0.59626142815924,1,-0.029725,0.277304166666667,0.00454166666666667,0.666666666666667,0.0758101851851852,0.0833333333333333,2,11,0.4361
"2","4be68139549f2e78e992d40f4726f577",1,1,1,11,12,2,"ebola",0.988888887089668,1,0.172108333333333,2.96476666666667,-0.505341666666667,0.833333333333333,0.0413773148148148,1.15535294005487e-18,2,11,0.4361
"3","4be68139549f2e78e992d40f4726f577",1,1,2,11,12,3,"ebola",0.999863998486654,1,0.216291666666667,95.0105833333333,-2.74305833333333,0.666666666666667,0.0758101851851852,0.0833333333333333,2,11,0.4361
"4","4be68139549f2e78e992d40f4726f577",1,1,2,11,12,4,"ebola",0.999950000000015,1,0.3349,5116.56034444444,-16.2067,0.833333333333333,0.108410493827161,0.0833333333333333,2,11,0.4361
"5","4be68139549f2e78e992d40f4726f577",2,3,1,3,12,1,"ebola",0.708612682046991,1,0.187866666666667,0.534770833333333,-0.259591666666667,0.833333333333333,0.0462239583333333,-0.0416666666666667,2,11,0.1304
"6","4be68139549f2e78e992d40f4726f577",2,3,2,3,12,2,"ebola",0.931043872994419,0.958333333333333,0.298983333333333,4.2052875,-0.819266666666667,0.666666666666667,0.0768229166666667,0.0416666666666667,2,11,0.1304
"7","4be68139549f2e78e992d40f4726f577",2,3,2,3,12,3,"ebola",0.999950000000015,0.5,0.477908333333333,118.812347222222,-3.39425833333333,0.833333333333333,0.111979166666667,0.0416666666666667,2,11,0.1304
"8","4be68139549f2e78e992d40f4726f577",2,3,1,3,12,4,"ebola",0.999950000000015,0.402777777777778,0.600375,3939.9270375,-15.1263583333333,0.833333333333333,0.0462239583333333,-0.0416666666666667,2,11,0.1304
"9","4be68139549f2e78e992d40f4726f577",3,4,2,3,12,1,"ebola",0.0545056652080419,1,0.00809166666666666,0.278608333333333,-0.0286916666666667,0.666666666666667,0.0761316872427984,0.0555555555555556,2,11,0.2479
"10","4be68139549f2e78e992d40f4726f577",3,4,2,3,12,2,"ebola",0.0690233614533941,1,0.148175,0.776952777777778,-0.185008333333333,0.833333333333333,0.11042524005487,0.0555555555555556,2,11,0.2479
"11","4be68139549f2e78e992d40f4726f577",3,4,1,3,12,3,"ebola",0.637113353421395,1,0.261558333333333,3.68324583333333,-0.661558333333333,0.833333333333333,0.044238683127572,-0.0277777777777778,2,11,0.2479
"12","4be68139549f2e78e992d40f4726f577",3,4,1,3,12,4,"ebola",0.988241790311582,1,0.337908333333333,41.5469333333333,-1.71510833333333,0.833333333333333,0.044238683127572,-0.0277777777777778,2,11,0.2479
"13","4be68139549f2e78e992d40f4726f577",4,6,2,0,12,1,"ebola",0.0627886071624774,1,0.0970583333333333,0.364875,-0.0554416666666667,0.833333333333333,0.111979166666667,0.0416666666666667,2,11,0.174
"14","4be68139549f2e78e992d40f4726f577",4,6,1,0,12,2,"ebola",0.713019296392748,1,0.194108333333333,0.6305625,-0.284233333333333,0.833333333333333,0.0462239583333333,-0.0416666666666667,2,11,0.174
"15","4be68139549f2e78e992d40f4726f577",4,6,1,0,12,3,"ebola",0.844509007363536,1,0.27545,2.5927,-0.573758333333333,0.833333333333333,0.0462239583333333,-0.0416666666666667,2,11,0.174
"16","4be68139549f2e78e992d40f4726f577",4,6,1,0,12,4,"ebola",0.96533906499205,1,0.353441666666667,20.1371708333333,-1.23573333333333,0.833333333333333,0.0462239583333333,-0.0416666666666667,2,11,0.174
"17","4be68139549f2e78e992d40f4726f577",5,8,1,10,12,1,"ebola",0.854620605479568,1,0.1431,0.3497125,-0.177116666666667,0.833333333333333,0.0475925925925926,-0.05,2,11,0.1833
"18","4be68139549f2e78e992d40f4726f577",5,8,1,10,12,2,"ebola",0.75802251517349,1,0.168408333333333,0.4890375,-0.23235,0.833333333333333,0.0475925925925926,-0.05,2,11,0.1833
"19","4be68139549f2e78e992d40f4726f577",5,8,1,10,12,3,"ebola",0.883306892002707,1,0.225566666666667,1.01224583333333,-0.385158333333333,0.833333333333333,0.0475925925925926,-0.05,2,11,0.1833
"20","4be68139549f2e78e992d40f4726f577",6,9,1,0,12,1,"ebola",0.491635201107223,1,0.0199083333333333,0.150995833333333,-0.0260583333333333,0.833333333333333,0.0462239583333333,-0.0416666666666667,2,11,0.3087
"21","4be68139549f2e78e992d40f4726f577",6,9,1,0,12,2,"ebola",0.641411757473128,1,0.0511,0.210658333333333,-0.06705,0.833333333333333,0.0462239583333333,-0.0416666666666667,2,11,0.3087
"22","4be68139549f2e78e992d40f4726f577",7,10,1,4,12,1,"ebola",0.822220422320063,1,0.032375,0.164504166666667,-0.0396666666666667,0.833333333333333,0.0453278533635676,-0.0357142857142857,2,11,0.2834
