"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","4c7a4953c600cd9971cf93c2f1d3e940",1,2,2,2,12,1,"ebola",0.348990928645891,1,0.181958333333333,0.893745833333333,-0.318383333333333,0.666666666666667,0.0810185185185185,1.38777878078145e-17,2,116,0.0761
"2","4c7a4953c600cd9971cf93c2f1d3e940",1,2,1,2,12,2,"ebola",0.999634150618494,0.513888888888889,0.556816666666667,17.4488291666667,-2.15985,0.833333333333333,0.0543981481481482,-0.0833333333333333,2,116,0.0761
"3","4c7a4953c600cd9971cf93c2f1d3e940",1,2,8,2,12,3,"ebola",NA,0.241666666666667,0.541783333333333,507.428559166667,-11.3738083333333,0.166666666666667,0.376851851851852,0.5,2,116,0.0761
"4","4c7a4953c600cd9971cf93c2f1d3e940",1,2,6,2,12,4,"ebola",0.999950000000015,0.0905523788360476,0.666366666666667,20770.4137,-70.5225083333333,0,0.1875,0.333333333333333,2,116,0.0761
"5","4c7a4953c600cd9971cf93c2f1d3e940",2,4,1,5,12,1,"ebola",0.846874281539858,1,0.25245,0.689304166666667,-0.351916666666667,0.833333333333333,0.0543981481481482,-0.0833333333333333,2,116,0.0812
"6","4c7a4953c600cd9971cf93c2f1d3e940",2,4,8,5,12,2,"ebola",0.999105719349535,0.833333333333333,0.0875416666666667,2.90350416666667,-0.327633333333333,0.166666666666667,0.376851851851852,0.5,2,116,0.0812
"7","4c7a4953c600cd9971cf93c2f1d3e940",2,4,6,5,12,3,"ebola",0.999950000000015,0.5,0.315925,33.3443583333333,-2.33026666666667,0,0.1875,0.333333333333333,2,116,0.0812
"8","4c7a4953c600cd9971cf93c2f1d3e940",2,4,23,5,12,4,"ebola",0.999950000000015,0.354166666666667,0.080925,488.336923611111,-7.30024166666667,-0.666666666666667,1.18638117283951,1.75,2,116,0.0812
"9","4c7a4953c600cd9971cf93c2f1d3e940",3,5,8,3,12,1,"ebola",0.999950000000015,1,-0.2625,0.5180825,0.483783333333333,0.166666666666667,0.383307613168724,0.527777777777778,2,116,0.2654
"10","4c7a4953c600cd9971cf93c2f1d3e940",3,5,6,3,12,2,"ebola",0.999949948044137,1,-0.261316666666667,0.422183333333333,0.22575,0,0.195023148148148,0.361111111111111,2,116,0.2654
"11","4c7a4953c600cd9971cf93c2f1d3e940",3,5,23,3,12,3,"ebola",0.999727813474759,1,-0.6515,1.39755611111111,1.44595,-0.666666666666667,1.21356202846365,1.77777777777778,2,116,0.2654
"12","4c7a4953c600cd9971cf93c2f1d3e940",3,5,25,3,12,4,"ebola",0.991869228710706,1,-0.59475,3.26275916666667,1.19485,-0.833333333333333,1.34419903120713,1.94444444444444,2,116,0.2654
"13","4c7a4953c600cd9971cf93c2f1d3e940",4,13,6,0,12,1,"ebola",0.951237602654253,0.625,0.203816666666667,1.0781625,-0.412091666666667,0,0.169596354166667,0.229166666666667,2,116,6e-04
"14","4c7a4953c600cd9971cf93c2f1d3e940",4,13,23,0,12,2,"ebola",0.99959145046679,0.597222222222222,-0.035925,2.47705333333333,-0.139366666666667,-0.666666666666667,1.09054241415895,1.64583333333333,3,116,6e-04
"15","4c7a4953c600cd9971cf93c2f1d3e940",4,13,25,0,12,3,"ebola",0.999950000000015,0.527777777777778,0.329241666666667,14.5813594444444,-2.35588333333333,-0.833333333333333,1.21234748746142,1.8125,2,116,6e-04
"16","4c7a4953c600cd9971cf93c2f1d3e940",4,13,49,0,12,4,"ebola",0.999950000000015,0.428505291005291,0.293991666666667,49.7296546130952,-6.050725,-1,2.90648755270337,3.8125,2,116,6e-04
"17","4c7a4953c600cd9971cf93c2f1d3e940",5,19,23,0,12,1,"ebola",0.999950000000015,0.5,-0.390991666666667,1.14781416666667,0.852258333333333,-0.666666666666667,1.05141936728395,1.6,3,116,4e-04
"18","4c7a4953c600cd9971cf93c2f1d3e940",5,19,25,0,12,2,"ebola",0.999950000000015,0.569444444444444,-0.134625,1.82047388888889,0.328333333333333,-0.833333333333333,1.16993016975309,1.76666666666667,3,116,4e-04
"19","4c7a4953c600cd9971cf93c2f1d3e940",5,19,49,0,12,3,"ebola",0.999536429370564,0.611111111111111,-0.376466666666667,2.21332676587302,1.06605,-1,2.84161036706349,3.76666666666667,2,116,4e-04
"20","4c7a4953c600cd9971cf93c2f1d3e940",6,42,25,0,12,1,"ebola",0.997682938369384,0.730555555555556,0.315825,3.43353263888889,-0.988941666666667,-0.833333333333333,0.957744984567901,1.5,3,116,0
"21","4c7a4953c600cd9971cf93c2f1d3e940",6,42,49,0,12,2,"ebola",0.972594665711206,0.675793650793651,0.357858333333333,3.44274383928571,-1.73095833333333,-1,2.48296750992063,3.5,3,116,0
"22","4c7a4953c600cd9971cf93c2f1d3e940",7,67,49,0,12,1,"ebola",0.999950000000015,0.770833333333333,-0.155741666666667,1.39862295634921,0.417891666666667,-1,2.21805315132005,3.28571428571429,3,116,0
