"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","53ac9245b9c2c4a7dcc5dbb499b0ee4b",1,2,3,2,12,1,"ebola",0.701058095019294,1,0.11705,0.824725,-0.241883333333333,0.5,0.107638888888889,0.0833333333333333,2,370,0.0743
"2","53ac9245b9c2c4a7dcc5dbb499b0ee4b",1,2,6,2,12,2,"ebola",0.99990069410381,0.513888888888889,0.375491666666667,13.75901875,-1.81385,0.333333333333333,0.272569444444444,0.333333333333333,2,370,0.0743
"3","53ac9245b9c2c4a7dcc5dbb499b0ee4b",1,2,12,2,12,3,"ebola",0.999950000000015,0.23968253968254,0.463758333333333,394.141629166667,-11.6061333333333,-0.166666666666667,0.558950617283951,0.833333333333333,2,370,0.0743
"4","53ac9245b9c2c4a7dcc5dbb499b0ee4b",1,2,28,2,12,4,"ebola",0.999950000000015,0.0905523788360476,0.419466666666667,12939.0614777778,-73.3308833333333,-0.666666666666667,1.56145833333333,2.16666666666667,2,370,0.0743
"5","53ac9245b9c2c4a7dcc5dbb499b0ee4b",2,5,6,2,12,1,"ebola",0.93837550124559,0.833333333333333,0.13085,1.05865833333333,-0.175216666666667,0.333333333333333,0.269639756944444,0.291666666666667,2,370,0.0149
"6","53ac9245b9c2c4a7dcc5dbb499b0ee4b",2,5,12,2,12,2,"ebola",0.996349158613437,0.458333333333333,0.21425,5.28570416666667,-0.9142,-0.166666666666667,0.540489969135802,0.791666666666667,2,370,0.0149
"7","53ac9245b9c2c4a7dcc5dbb499b0ee4b",2,5,28,2,12,3,"ebola",0.999950000000015,0.313888888888889,0.163716666666667,64.8803151388889,-3.98140833333333,-0.666666666666667,1.5189453125,2.125,2,370,0.0149
"8","53ac9245b9c2c4a7dcc5dbb499b0ee4b",2,5,53,2,12,4,"ebola",0.999950000000015,0.26494708994709,0.225933333333333,1036.50485130952,-19.060075,-0.833333333333333,3.39727021788654,4.20833333333333,2,370,0.0149
"9","53ac9245b9c2c4a7dcc5dbb499b0ee4b",3,11,12,0,12,1,"ebola",0.977758856783852,0.5,0.05375,1.34596472222222,-0.083675,-0.166666666666667,0.506267146776406,0.694444444444444,2,370,0.0011
"10","53ac9245b9c2c4a7dcc5dbb499b0ee4b",3,11,28,0,12,2,"ebola",0.999674839654067,0.611111111111111,-0.0477083333333333,3.71248125,-0.249658333333333,-0.666666666666667,1.42531828703704,2.02777777777778,2,370,0.0011
"11","53ac9245b9c2c4a7dcc5dbb499b0ee4b",3,11,53,0,12,3,"ebola",0.999950000000015,0.446825396825397,0.041525,18.2013900925926,-2.116375,-0.833333333333333,3.26932615210007,4.11111111111111,2,370,0.0011
"12","53ac9245b9c2c4a7dcc5dbb499b0ee4b",3,11,94,0,12,4,"ebola",0.999950000000015,0.346519452769453,0.109925,135.719585778889,-10.0168916666667,-1,6.44930085999444,7.52777777777778,2,370,0.0011
"13","53ac9245b9c2c4a7dcc5dbb499b0ee4b",4,23,28,0,12,1,"ebola",0.999907629353065,0.618055555555556,-0.163333333333333,1.7486925,0.352383333333333,-0.666666666666667,1.27752278645833,1.85416666666667,3,370,0
"14","53ac9245b9c2c4a7dcc5dbb499b0ee4b",4,23,53,0,12,2,"ebola",0.867162198939459,0.679166666666667,-0.0746666666666667,3.48535920634921,0.0773583333333333,-0.833333333333333,3.05364818718768,3.9375,3,370,0
"15","53ac9245b9c2c4a7dcc5dbb499b0ee4b",4,23,94,0,12,3,"ebola",0.999950000000015,0.579978354978355,0.057125,7.66940627673983,-1.58260833333333,-1,6.16648740145676,7.35416666666667,3,370,0
"16","53ac9245b9c2c4a7dcc5dbb499b0ee4b",4,23,172,0,12,4,"ebola",NA,0.519727973041003,0.116366666666667,30.3986459846982,-6.76510833333333,-1,12.5303237969752,13.8541666666667,3,370,0
"17","53ac9245b9c2c4a7dcc5dbb499b0ee4b",5,51,53,0,12,1,"ebola",0.999926391575834,0.732936507936508,0.0369333333333333,3.19459863756614,-0.262708333333333,-0.833333333333333,2.64789451058201,3.56666666666667,3,370,0
"18","53ac9245b9c2c4a7dcc5dbb499b0ee4b",5,51,94,0,12,2,"ebola",0.999950000000015,0.736327098827099,0.254283333333333,4.18221456675147,-1.77696666666667,-1,5.58929572471267,6.98333333333333,3,370,0
"19","53ac9245b9c2c4a7dcc5dbb499b0ee4b",5,51,172,0,12,3,"ebola",NA,0.709017799808115,0.374516666666667,9.9574950532374,-5.64824166666667,-1,11.8763003005263,13.4833333333333,3,370,0
"20","53ac9245b9c2c4a7dcc5dbb499b0ee4b",6,104,94,0,12,1,"ebola",0.971555761967732,0.772342472342472,0.0692166666666667,2.33436252534746,-0.31565,-1,4.74050463951374,6.38888888888889,3,370,0
"21","53ac9245b9c2c4a7dcc5dbb499b0ee4b",6,104,172,0,12,2,"ebola",0.999950000000015,0.793916119641739,0.160541666666667,2.85681993470372,-1.49980833333333,-1,10.8686380511013,12.8888888888889,3,370,0
"22","53ac9245b9c2c4a7dcc5dbb499b0ee4b",7,198,172,0,12,1,"ebola",0.543520948686755,0.829855586879581,-0.0897416666666667,1.76399010029497,0.435866666666667,-1,9.41914605307419,11.9761904761905,3,370,0
