"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","53e78fc36891c72ef1b79d5848cafd2e",1,2,5,1,12,1,"ebola",0.710592225589779,1,-0.0325333333333333,0.532566666666667,-0.0454083333333333,0.166666666666667,0.16087962962963,0.25,2,629,0.0661
"2","53e78fc36891c72ef1b79d5848cafd2e",1,2,11,1,12,2,"ebola",0.999367446454529,0.513888888888889,0.125475,9.46477777777778,-1.25688333333333,-0.333333333333333,0.434027777777778,0.75,2,629,0.0661
"3","53e78fc36891c72ef1b79d5848cafd2e",1,2,22,1,12,3,"ebola",0.999950000000015,0.244444444444444,0.234941666666667,281.378347638889,-9.94274166666667,-0.833333333333333,1.07091049382716,1.66666666666667,2,629,0.0661
"4","53e78fc36891c72ef1b79d5848cafd2e",1,2,44,1,12,4,"ebola",0.999950000000015,0.0959419053169053,0.327183333333333,6899.77337262626,-66.407275,-0.833333333333333,2.73307379349046,3.5,2,629,0.0661
"5","53e78fc36891c72ef1b79d5848cafd2e",2,7,11,0,12,1,"ebola",0.626070741414587,0.625,0.132291666666667,1.96528055555556,-0.46745,-0.333333333333333,0.376085069444444,0.625,2,629,2e-04
"6","53e78fc36891c72ef1b79d5848cafd2e",2,7,22,0,12,2,"ebola",0.999950000000015,0.508234126984127,0.499558333333333,27.3616795833333,-3.98210833333333,-0.833333333333333,0.949802276234568,1.54166666666667,2,629,2e-04
"7","53e78fc36891c72ef1b79d5848cafd2e",2,7,44,0,12,3,"ebola",0.999950000000015,0.359762357942631,0.692633333333333,481.182083737374,-22.35345,-0.833333333333333,2.57332132084736,3.375,2,629,2e-04
"8","53e78fc36891c72ef1b79d5848cafd2e",2,7,94,0,12,4,"ebola",0.999950000000015,0.214072330620949,0.728483333333333,9314.67863297946,-120.36185,-1,6.45382354826225,7.54166666666667,2,629,2e-04
"9","53e78fc36891c72ef1b79d5848cafd2e",3,18,22,1,12,1,"ebola",0.897329235279448,0.666666666666667,0.174725,2.34449638888889,-0.660808333333333,-0.833333333333333,0.777083333333333,1.33333333333333,3,629,0
"10","53e78fc36891c72ef1b79d5848cafd2e",3,18,44,1,12,2,"ebola",0.999950000000015,0.61792328042328,0.438791666666667,9.25772970959596,-2.82081666666667,-0.833333333333333,2.32746212121212,3.16666666666667,3,629,0
"11","53e78fc36891c72ef1b79d5848cafd2e",3,18,94,1,12,3,"ebola",0.999950000000015,0.549781811111145,0.538483333333333,35.6145417519558,-9.84586666666667,-1,6.10820879488159,7.33333333333333,3,629,0
"12","53e78fc36891c72ef1b79d5848cafd2e",3,18,159,1,12,4,"ebola",NA,0.454697303586579,0.684008333333333,290.186220907092,-36.73875,-1,11.415667309664,12.75,3,629,0
"13","53e78fc36891c72ef1b79d5848cafd2e",4,40,44,0,12,1,"ebola",0.733312037042751,0.740277777777778,0.111033333333333,2.78113119949495,-0.298633333333333,-0.833333333333333,1.98711419753086,2.83333333333333,3,629,0
"14","53e78fc36891c72ef1b79d5848cafd2e",4,40,94,0,12,2,"ebola",0.999950000000015,0.701866883116883,-0.0464833333333333,2.28447838125654,-0.102,-1,5.57728309688073,7,3,629,0
"15","53e78fc36891c72ef1b79d5848cafd2e",4,40,159,0,12,3,"ebola",0.999950000000015,0.664592677489349,0.175225,7.78771518654043,-3.48161666666667,-1,10.8308116601154,12.4166666666667,3,629,0
"16","53e78fc36891c72ef1b79d5848cafd2e",4,40,292,0,12,4,"ebola",NA,0.609405559230828,0.2685,33.853669281923,-11.567575,-1,21.8102107683689,23.5,3,629,0
"17","53e78fc36891c72ef1b79d5848cafd2e",5,84,94,0,12,1,"ebola",0.326370065492744,0.725066137566138,-0.2777,1.35212151424964,1.15244166666667,-1,4.73701451489687,6.43333333333333,3,629,0
"18","53e78fc36891c72ef1b79d5848cafd2e",5,84,159,0,12,2,"ebola",0.999950000000015,0.763873027843616,-0.0998666666666667,1.89326065781988,0.24335,-1,9.87410831273989,11.85,3,629,0
"19","53e78fc36891c72ef1b79d5848cafd2e",5,84,292,0,12,3,"ebola",0.999950000000015,0.747708143783582,-0.0254,5.00870578967504,-0.827541666666667,-1,20.7793275889447,22.9333333333333,3,629,0
"20","53e78fc36891c72ef1b79d5848cafd2e",6,178,159,0,12,1,"ebola",0.807846056856141,0.8270282059272,0.124708333333333,1.53136251309363,-0.9357,-1,8.19326190449256,10.7777777777778,3,629,0
"21","53e78fc36891c72ef1b79d5848cafd2e",6,178,292,0,12,2,"ebola",0.999950000000015,0.842036294202555,0.278275,3.64653809718041,-3.3214,-1,18.9037825043842,21.8611111111111,3,629,0
"22","53e78fc36891c72ef1b79d5848cafd2e",7,337,292,0,12,1,"ebola",0.999620457571521,0.857519388756594,-0.1221,2.1151583425132,0.625391666666667,-1,16.3822974699136,20.3214285714286,3,629,0
