"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","54a83a384acedc8d783e380dbe84aae3",1,1,6,11,12,1,"ebola",0.119192611731774,1,-0.286483333333333,0.371743055555556,0.342541666666667,0.166666666666667,0.246141975308642,0.416666666666667,2,278,0.4515
"2","54a83a384acedc8d783e380dbe84aae3",1,1,6,11,12,2,"ebola",0.814703375392485,1,-0.147075,2.02840277777778,-0.0655666666666667,0.166666666666667,0.246141975308642,0.416666666666667,2,278,0.4515
"3","54a83a384acedc8d783e380dbe84aae3",1,1,11,11,12,3,"ebola",0.999948050401911,1,-0.2197,63.7115569444444,-1.85963333333333,-0.333333333333333,0.491657021604938,0.833333333333333,2,278,0.4515
"4","54a83a384acedc8d783e380dbe84aae3",1,1,22,11,12,4,"ebola",0.999950000000015,1,-0.339916666666667,1848.45386916667,-13.727475,-0.833333333333333,1.15893132716049,1.75,2,278,0.4515
"5","54a83a384acedc8d783e380dbe84aae3",2,7,6,0,12,1,"ebola",0.916330800719017,0.597222222222222,0.493758333333333,3.49753888888889,-1.21319166666667,0.166666666666667,0.214313271604938,0.208333333333333,2,278,1e-04
"6","54a83a384acedc8d783e380dbe84aae3",2,7,11,0,12,2,"ebola",0.999950000000015,0.480435305435305,0.806166666666667,81.3476548611111,-7.03715,-0.333333333333333,0.387671199845679,0.625,2,278,1e-04
"7","54a83a384acedc8d783e380dbe84aae3",2,7,22,0,12,3,"ebola",0.999950000000015,0.329993152115689,0.88925,1877.68351138889,-38.2610083333333,-0.833333333333333,0.949802276234568,1.54166666666667,2,278,1e-04
"8","54a83a384acedc8d783e380dbe84aae3",2,7,40,0,12,4,"ebola",0.999950000000015,0.192916582984685,0.914675,48671.4742168452,-215.501058333333,-1,2.18927985835538,3.04166666666667,2,278,1e-04
"9","54a83a384acedc8d783e380dbe84aae3",3,13,11,0,12,1,"ebola",0.870646838429451,0.513888888888889,0.158041666666667,1.63192916666667,-0.389108333333333,-0.333333333333333,0.365199545610425,0.555555555555556,2,278,1e-04
"10","54a83a384acedc8d783e380dbe84aae3",3,13,22,0,12,2,"ebola",0.991125843526687,0.597222222222222,0.224441666666667,4.14657638888889,-1.12260833333333,-0.833333333333333,0.888183727709191,1.47222222222222,3,278,1e-04
"11","54a83a384acedc8d783e380dbe84aae3",3,13,40,0,12,3,"ebola",0.999950000000015,0.507142857142857,0.322741666666667,18.8677260119048,-3.72475833333333,-1,2.09889510459534,2.97222222222222,2,278,1e-04
"12","54a83a384acedc8d783e380dbe84aae3",3,13,64,0,12,4,"ebola",0.999950000000015,0.385489047989048,0.43445,138.521925566979,-12.4574416666667,-1,3.94151344982749,4.97222222222222,2,278,1e-04
"13","54a83a384acedc8d783e380dbe84aae3",4,24,22,0,12,1,"ebola",0.797538067478262,0.597222222222222,-0.0465833333333333,1.2718975,0.0299166666666667,-0.833333333333333,0.777083333333333,1.33333333333333,3,278,0
"14","54a83a384acedc8d783e380dbe84aae3",4,24,40,0,12,2,"ebola",0.999742949970522,0.641666666666667,-0.0791333333333333,1.84723515873016,0.05155,-1,1.92574404761905,2.83333333333333,3,278,0
"15","54a83a384acedc8d783e380dbe84aae3",4,24,64,0,12,3,"ebola",0.999950000000015,0.576587301587302,0.0271166666666667,4.83270769901395,-0.946675,-1,3.73460497835498,4.83333333333333,3,278,0
"16","54a83a384acedc8d783e380dbe84aae3",4,24,128,0,12,4,"ebola",0.999950000000015,0.51042476042476,-0.0667,24.4778637280702,-1.62235,-1,8.94441252278423,10.1666666666667,3,278,0
"17","54a83a384acedc8d783e380dbe84aae3",5,46,40,0,12,1,"ebola",0.997574612520819,0.720833333333333,-0.0837333333333333,1.34086875,0.206175,-1,1.62176873897707,2.56666666666667,3,278,0
"18","54a83a384acedc8d783e380dbe84aae3",5,46,64,0,12,2,"ebola",0.863564446027266,0.685515873015873,-0.0113416666666667,2.18325440897066,-0.167266666666667,-1,3.35662817326706,4.56666666666667,3,278,0
"19","54a83a384acedc8d783e380dbe84aae3",5,46,128,0,12,3,"ebola",0.999950000000015,0.654671717171717,-0.177266666666667,9.21269920786816,0.805383333333333,-1,8.51861141226382,9.9,3,278,0
"20","54a83a384acedc8d783e380dbe84aae3",6,86,64,0,12,1,"ebola",0.996004749502181,0.72281746031746,0.018875,1.71984127044252,-0.15535,-1,2.80327034862143,4.13888888888889,3,278,0
"21","54a83a384acedc8d783e380dbe84aae3",6,86,128,0,12,2,"ebola",0.999950000000015,0.763092463092463,-0.213733333333333,6.75119413657249,1.150725,-0.833333333333333,7.87222629904998,9.47222222222222,3,278,0
"22","54a83a384acedc8d783e380dbe84aae3",7,150,128,0,12,1,"ebola",0.999950000000015,0.787752525252525,-0.326275,5.62837260435654,1.88148333333333,-0.833333333333333,7.0531778847048,8.88095238095238,3,278,0
