"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","56f3d0031c810868b57f0c1421124cd9",1,3,5,3,12,1,"ebola",0.478078294054351,0.708333333333333,0.277216666666667,2.07891875,-0.507916666666667,0.5,0.251302083333333,0.166666666666667,2,251,0.015
"2","56f3d0031c810868b57f0c1421124cd9",1,3,9,3,12,2,"ebola",0.999950000000015,0.381944444444444,0.52545,33.6415347222222,-3.752325,-0.166666666666667,0.313368055555556,0.5,2,251,0.015
"3","56f3d0031c810868b57f0c1421124cd9",1,3,14,3,12,3,"ebola",NA,0.18373469853733,0.693658333333333,1144.34820138889,-23.6895333333333,-0.333333333333333,0.588975694444444,0.916666666666667,2,251,0.015
"4","56f3d0031c810868b57f0c1421124cd9",1,3,18,3,12,4,"ebola",0.999950000000015,0.0568787995868856,0.776341666666667,55554.3341395833,-146.548075,-0.666666666666667,0.770399305555556,1.25,2,251,0.015
"5","56f3d0031c810868b57f0c1421124cd9",2,8,9,4,12,1,"ebola",0.520324339509688,0.5,0.184641666666667,1.7555375,-0.471641666666667,-0.166666666666667,0.29320987654321,0.416666666666667,2,251,0.0014
"6","56f3d0031c810868b57f0c1421124cd9",2,8,14,4,12,2,"ebola",0.999949999763773,0.575,0.427833333333333,12.1607611111111,-2.17360833333333,-0.333333333333333,0.549382716049383,0.833333333333333,2,251,0.0014
"7","56f3d0031c810868b57f0c1421124cd9",2,8,18,4,12,3,"ebola",0.999950000000015,0.388392857142857,0.6721,174.636373611111,-8.87626666666667,-0.666666666666667,0.709876543209877,1.16666666666667,2,251,0.0014
"8","56f3d0031c810868b57f0c1421124cd9",2,8,35,4,12,4,"ebola",0.999950000000015,0.272891426026101,0.682141666666667,2062.03288138889,-32.2278,-1,1.7462962962963,2.58333333333333,2,251,0.0014
"9","56f3d0031c810868b57f0c1421124cd9",3,17,14,0,12,1,"ebola",0.945170434632459,0.527777777777778,0.112383333333333,1.83712638888889,-0.325666666666667,-0.333333333333333,0.501612868655693,0.694444444444444,3,251,1e-04
"10","56f3d0031c810868b57f0c1421124cd9",3,17,18,0,12,2,"ebola",0.999310537389807,0.583333333333333,0.362658333333333,5.51873333333333,-1.43555,-0.666666666666667,0.624223036694101,1.02777777777778,3,251,1e-04
"11","56f3d0031c810868b57f0c1421124cd9",3,17,35,0,12,3,"ebola",0.999950000000015,0.521428571428571,0.357433333333333,15.8042972222222,-3.30593333333333,-1,1.57729873971193,2.44444444444444,2,251,1e-04
"12","56f3d0031c810868b57f0c1421124cd9",3,17,59,0,12,4,"ebola",0.999950000000015,0.4377331002331,0.442866666666667,65.6765254761905,-8.7903,-1,3.40613992381932,4.44444444444444,2,251,1e-04
"13","56f3d0031c810868b57f0c1421124cd9",4,31,18,0,12,1,"ebola",0.985319111157155,0.638888888888889,0.147941666666667,2.02430555555556,-0.459925,-0.666666666666667,0.543906129436728,0.854166666666667,3,251,0
"14","56f3d0031c810868b57f0c1421124cd9",4,31,35,0,12,2,"ebola",0.901217579068481,0.690277777777778,0.0326916666666666,2.18376875,-0.424683333333333,-1,1.38119755497685,2.27083333333333,3,251,0
"15","56f3d0031c810868b57f0c1421124cd9",4,31,59,0,12,3,"ebola",0.999950000000015,0.618253968253968,0.108725,4.29983493055556,-0.956491666666667,-1,3.16729092606371,4.27083333333333,3,251,0
"16","56f3d0031c810868b57f0c1421124cd9",4,31,108,0,12,4,"ebola",0.999950000000015,0.569381313131313,0.00334166666666666,8.41704728389666,-1.52388333333333,-1,7.01825377333732,8.35416666666667,3,251,0
"17","56f3d0031c810868b57f0c1421124cd9",5,49,35,1,12,1,"ebola",0.931140669452222,0.6875,-0.240366666666667,1.17786944444444,0.483991666666667,-1,1.20466087962963,2.1,3,251,0
"18","56f3d0031c810868b57f0c1421124cd9",5,49,59,1,12,2,"ebola",0.971600943644669,0.6875,-0.279966666666667,1.78068000992064,1.15173333333333,-1,2.94404370590829,4.1,3,251,0
"19","56f3d0031c810868b57f0c1421124cd9",5,49,108,1,12,3,"ebola",0.999950000000003,0.649702380952381,-0.512508333333333,2.78988969646095,3.054325,-1,6.74426407710088,8.18333333333333,3,251,0
"20","56f3d0031c810868b57f0c1421124cd9",6,84,59,0,12,1,"ebola",0.983055443791466,0.751388888888889,-0.108816666666667,1.70286268849206,0.52695,-1,2.52315365961199,3.75,3,251,0
"21","56f3d0031c810868b57f0c1421124cd9",6,84,108,0,12,2,"ebola",0.999949977684415,0.728835978835979,-0.399291666666667,2.07960186674437,2.20455833333333,-1,6.20377602078991,7.83333333333333,3,251,0
"22","56f3d0031c810868b57f0c1421124cd9",7,143,108,0,12,1,"ebola",0.999387345553228,0.742261904761905,-0.366125,1.76264224148537,1.84573333333333,-1,5.43078657696182,7.29761904761905,3,251,0
