"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","58d340c28554538129d32e228353d797",1,2,3,3,12,1,"ebola",0.280156672865281,1,0.175191666666667,0.810695833333333,-0.246258333333333,0.666666666666667,0.145447530864198,0.0833333333333333,2,247,0.0878
"2","58d340c28554538129d32e228353d797",1,2,3,3,12,2,"ebola",0.999635911545747,0.527777777777778,0.463675,16.3444277777778,-2.01366666666667,0.666666666666667,0.145447530864198,0.0833333333333333,2,247,0.0878
"3","58d340c28554538129d32e228353d797",1,2,5,3,12,3,"ebola",0.999950000000015,0.258333333333333,0.563425,476.017575,-11.6856166666667,0.166666666666667,0.16087962962963,0.25,2,247,0.0878
"4","58d340c28554538129d32e228353d797",1,2,12,3,12,4,"ebola",NA,0.10401276963777,0.5627,15995.1217270833,-69.8308916666667,-0.166666666666667,0.545717592592593,0.833333333333333,2,247,0.0878
"5","58d340c28554538129d32e228353d797",2,5,3,0,12,1,"ebola",0.99984386090777,0.833333333333333,0.265608333333333,1.24801944444444,-0.4285,0.666666666666667,0.151451581790123,0.0416666666666667,2,247,0.0107
"6","58d340c28554538129d32e228353d797",2,5,5,0,12,2,"ebola",0.844867725617481,0.430555555555556,0.513033333333333,10.8984791666667,-1.970775,0.166666666666667,0.155888310185185,0.208333333333333,2,247,0.0107
"7","58d340c28554538129d32e228353d797",2,5,12,0,12,3,"ebola",0.999950000000015,0.386309523809524,0.5818,198.940634722222,-8.23203333333333,-0.166666666666667,0.526294849537037,0.791666666666667,2,247,0.0107
"8","58d340c28554538129d32e228353d797",2,5,40,0,12,4,"ebola",0.999950000000015,0.20218438968439,0.4661,3362.5143572601,-37.1055416666667,-1,2.36372075792649,3.125,2,247,0.0107
"9","58d340c28554538129d32e228353d797",3,8,5,1,12,1,"ebola",0.355451400658881,1,0.0682333333333333,0.703595833333333,-0.170633333333333,0.166666666666667,0.154835390946502,0.194444444444444,2,247,0.0217
"10","58d340c28554538129d32e228353d797",3,8,12,1,12,2,"ebola",0.956981910990515,0.5,0.0133833333333333,1.81308541666667,-0.161691666666667,-0.166666666666667,0.520318930041152,0.777777777777778,2,247,0.0217
"11","58d340c28554538129d32e228353d797",3,8,40,1,12,3,"ebola",0.999905887616344,0.430555555555556,-0.321991666666667,4.35456148989899,0.830216666666667,-1,2.34627914951989,3.11111111111111,2,247,0.0217
"12","58d340c28554538129d32e228353d797",3,8,58,1,12,4,"ebola",0.999950000000015,0.298611111111111,-0.297791666666667,22.1168804563492,-0.986891666666667,-1,3.68054085831864,4.61111111111111,2,247,0.0217
"13","58d340c28554538129d32e228353d797",4,13,12,0,12,1,"ebola",0.999950000000015,0.791666666666667,-0.167858333333333,0.870483333333333,0.308733333333333,-0.166666666666667,0.501365379050926,0.729166666666667,2,247,0.0062
"14","58d340c28554538129d32e228353d797",4,13,40,0,12,2,"ebola",0.999706145532472,0.5,-0.576658333333333,1.87618137626263,2.0703,-1,2.28616377534021,3.0625,2,247,0.0062
"15","58d340c28554538129d32e228353d797",4,13,58,0,12,3,"ebola",0.875696237287095,0.513888888888889,-0.639425,2.66374898809524,2.51441666666667,-1,3.60697958002645,4.5625,2,247,0.0062
"16","58d340c28554538129d32e228353d797",4,13,124,0,12,4,"ebola",0.998856052843654,0.409722222222222,-0.746533333333333,6.42371891074204,5.87086666666667,-1,8.94626400487132,10.0625,2,247,0.0062
"17","58d340c28554538129d32e228353d797",5,25,40,0,12,1,"ebola",0.872259490055057,0.569444444444444,-0.465583333333333,1.62767840909091,1.74345833333333,-1,2.11450003507295,2.91666666666667,3,247,0
"18","58d340c28554538129d32e228353d797",5,25,58,0,12,2,"ebola",0.999123120114012,0.668055555555556,-0.463808333333333,1.87683021825397,1.71390833333333,-1,3.39183201058201,4.41666666666667,3,247,0
"19","58d340c28554538129d32e228353d797",5,25,124,0,12,3,"ebola",0.999950000000015,0.592857142857143,-0.656283333333333,3.95384918042606,4.45281666666667,-1,8.69211451003986,9.91666666666667,3,247,0
"20","58d340c28554538129d32e228353d797",6,65,58,0,12,1,"ebola",0.999950000000015,0.751455026455026,0.327275,3.69227666666667,-1.79778333333333,-1,2.73464965461493,3.93055555555556,3,247,0
"21","58d340c28554538129d32e228353d797",6,65,124,0,12,2,"ebola",0.999950000000015,0.767863116702126,0.495525,7.30093905578218,-4.80599166666667,-1,7.87435575153192,9.43055555555556,3,247,0
"22","58d340c28554538129d32e228353d797",7,123,124,0,12,1,"ebola",0.99994999933523,0.789355089355089,-0.108891666666667,1.85084932336182,0.705575,-1,6.98607075588102,8.86904761904762,3,247,0
