"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","5b2c256692b583bb03d2d7996fba1b4c",1,2,2,2,12,1,"ebola",0.744240280004118,1,0.226066666666667,0.871344444444444,-0.30135,0.833333333333333,0.118827160493827,2.31070588010973e-18,2,49,0.0772
"2","5b2c256692b583bb03d2d7996fba1b4c",1,2,2,2,12,2,"ebola",0.999949946269961,0.527777777777778,0.491833333333333,14.81955,-1.94479166666667,0.666666666666667,0.0810185185185185,1.38777878078145e-17,2,49,0.0772
"3","5b2c256692b583bb03d2d7996fba1b4c",1,2,3,2,12,3,"ebola",NA,0.265277777777778,0.630016666666667,562.406558333333,-10.8228166666667,0.5,0.107638888888889,0.0833333333333333,2,49,0.0772
"4","5b2c256692b583bb03d2d7996fba1b4c",1,2,3,2,12,4,"ebola",0.999950000000015,0.107405326155326,0.723191666666667,24396.6029333333,-63.7293,0.5,0.107638888888889,0.0833333333333333,2,49,0.0772
"5","5b2c256692b583bb03d2d7996fba1b4c",2,4,2,3,12,1,"ebola",0.821800741892052,1,0.19145,0.734529166666667,-0.300208333333333,0.666666666666667,0.0810185185185185,1.38777878078145e-17,2,49,0.0624
"6","5b2c256692b583bb03d2d7996fba1b4c",2,4,3,3,12,2,"ebola",0.671881937398221,0.625,0.374316666666667,5.724,-1.13114166666667,0.5,0.107638888888889,0.0833333333333333,2,49,0.0624
"7","5b2c256692b583bb03d2d7996fba1b4c",2,4,3,3,12,3,"ebola",0.999950000000015,0.402777777777778,0.5644,96.0615416666667,-4.41876666666667,0.5,0.107638888888889,0.0833333333333333,2,49,0.0624
"8","5b2c256692b583bb03d2d7996fba1b4c",2,4,6,3,12,4,"ebola",NA,0.226388888888889,0.593375,2564.01135138889,-17.3622166666667,0.333333333333333,0.263117283950617,0.333333333333333,2,49,0.0624
"9","5b2c256692b583bb03d2d7996fba1b4c",3,6,3,1,12,1,"ebola",0.977567464464605,1,0.06155,0.511933333333333,-0.119616666666667,0.5,0.107638888888889,0.0833333333333333,2,49,0.0805
"10","5b2c256692b583bb03d2d7996fba1b4c",3,6,3,1,12,2,"ebola",0.71120979460788,1,0.214325,1.34032083333333,-0.43825,0.5,0.107638888888889,0.0833333333333333,2,49,0.0805
"11","5b2c256692b583bb03d2d7996fba1b4c",3,6,6,1,12,3,"ebola",0.997312374852901,0.583333333333333,0.237641666666667,7.53965138888889,-0.9494,0.333333333333333,0.263117283950617,0.333333333333333,2,49,0.0805
"12","5b2c256692b583bb03d2d7996fba1b4c",3,6,11,1,12,4,"ebola",0.999950000000015,0.5,0.132033333333333,59.3837847222222,-2.45196666666667,-0.5,0.396219135802469,0.75,2,49,0.0805
"13","5b2c256692b583bb03d2d7996fba1b4c",4,9,3,1,12,1,"ebola",0.707411995739462,1,0.0907,0.5339875,-0.153325,0.5,0.10888671875,0.0625,2,49,0.0609
"14","5b2c256692b583bb03d2d7996fba1b4c",4,9,6,1,12,2,"ebola",0.875972696794284,1,0.0676916666666666,1.13769583333333,-0.131925,0.333333333333333,0.260959201388889,0.3125,2,49,0.0609
"15","5b2c256692b583bb03d2d7996fba1b4c",4,9,11,1,12,3,"ebola",0.86613504827641,0.708333333333333,-0.11925,2.44461527777778,-0.184175,-0.5,0.383843315972222,0.729166666666667,2,49,0.0609
"16","5b2c256692b583bb03d2d7996fba1b4c",4,9,20,1,12,4,"ebola",0.999253761633488,0.5,-0.110316666666667,10.2723993055556,-0.363591666666667,-0.333333333333333,1.05941840277778,1.47916666666667,2,49,0.0609
"17","5b2c256692b583bb03d2d7996fba1b4c",5,12,6,1,12,1,"ebola",0.999950000000015,1,-0.0566333333333334,0.595205555555556,0.126408333333333,0.333333333333333,0.26,0.3,2,49,0.0414
"18","5b2c256692b583bb03d2d7996fba1b4c",5,12,11,1,12,2,"ebola",0.999950000000015,1,-0.326158333333333,0.709508333333333,0.353391666666667,-0.5,0.376666666666667,0.716666666666667,2,49,0.0414
"19","5b2c256692b583bb03d2d7996fba1b4c",5,12,20,1,12,3,"ebola",0.999949999999885,0.958333333333333,-0.323816666666667,1.72426222222222,0.816416666666667,-0.333333333333333,1.05066666666667,1.46666666666667,2,49,0.0414
"20","5b2c256692b583bb03d2d7996fba1b4c",6,18,11,2,12,1,"ebola",0.989661128835846,0.875,-0.240308333333333,0.6978375,0.251433333333333,-0.5,0.349826388888889,0.666666666666667,2,49,0.0032
"21","5b2c256692b583bb03d2d7996fba1b4c",6,18,20,2,12,2,"ebola",0.93199686855537,0.5,-0.273908333333333,1.52630666666667,0.719358333333333,-0.333333333333333,1.01736111111111,1.41666666666667,2,49,0.0032
"22","5b2c256692b583bb03d2d7996fba1b4c",7,29,20,2,12,1,"ebola",0.999693276151531,0.5,-0.149175,1.70349402777778,0.398966666666667,-0.333333333333333,0.961452821869488,1.32142857142857,3,49,0
