"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","61281cca09e2092efa4f6193d165a0a7",1,2,1,8,12,1,"ebola",0.593544553429587,1,0.22635,0.763170833333333,-0.341333333333333,0.833333333333333,0.0543981481481482,-0.0833333333333333,2,66,0.147
"2","61281cca09e2092efa4f6193d165a0a7",1,2,2,8,12,2,"ebola",0.991639415500108,0.791666666666667,0.358733333333333,10.6629541666667,-1.35260833333333,0.666666666666667,0.0810185185185185,1.38777878078145e-17,2,66,0.147
"3","61281cca09e2092efa4f6193d165a0a7",1,2,3,8,12,3,"ebola",0.999950000000015,0.444444444444444,0.476075,322.952333333333,-6.82985,0.5,0.107638888888889,0.0833333333333333,2,66,0.147
"4","61281cca09e2092efa4f6193d165a0a7",1,2,11,8,12,4,"ebola",0.999950000000015,0.265277777777778,0.361141666666667,8807.38555,-36.5048333333333,-0.333333333333333,0.434027777777778,0.75,2,66,0.147
"5","61281cca09e2092efa4f6193d165a0a7",2,3,2,7,12,1,"ebola",0.0717620860194058,1,-0.00730833333333334,0.264575,-0.0117833333333333,0.666666666666667,0.0768229166666667,0.0416666666666667,2,66,0.3264
"6","61281cca09e2092efa4f6193d165a0a7",2,3,3,7,12,2,"ebola",0.92075562315879,1,-0.0189083333333333,0.626429166666667,-0.064725,0.5,0.107421875,0.125,2,66,0.3264
"7","61281cca09e2092efa4f6193d165a0a7",2,3,11,7,12,3,"ebola",0.687480379400507,1,-0.333508333333333,2.54040694444444,0.207533333333333,-0.333333333333333,0.457682291666667,0.791666666666667,2,66,0.3264
"8","61281cca09e2092efa4f6193d165a0a7",2,3,8,7,12,4,"ebola",0.999945651513046,1,-0.106741666666667,35.4942402777778,-1.17048333333333,-0.166666666666667,0.295572916666667,0.541666666666667,2,66,0.3264
"9","61281cca09e2092efa4f6193d165a0a7",3,5,3,6,12,1,"ebola",0.999949998098701,1,-0.027225,0.358591666666667,-0.00154166666666667,0.5,0.107156635802469,0.111111111111111,2,66,0.1752
"10","61281cca09e2092efa4f6193d165a0a7",3,5,11,6,12,2,"ebola",0.999915527787349,1,-0.385108333333333,0.709823611111111,0.500533333333333,-0.333333333333333,0.449556327160494,0.777777777777778,2,66,0.1752
"11","61281cca09e2092efa4f6193d165a0a7",3,5,8,6,12,3,"ebola",0.963341612155889,1,-0.123616666666667,2.08998055555556,-0.134425,-0.166666666666667,0.28963048696845,0.527777777777778,2,66,0.1752
"12","61281cca09e2092efa4f6193d165a0a7",3,5,14,6,12,4,"ebola",0.282194468442205,1,-0.227925,8.70538541666667,-0.520558333333333,-0.666666666666667,0.582459919410151,1.02777777777778,2,66,0.1752
"13","61281cca09e2092efa4f6193d165a0a7",4,8,11,1,12,1,"ebola",0.999950000000015,1,-0.425958333333333,0.579520833333333,0.583291666666667,-0.333333333333333,0.434027777777778,0.75,2,66,0.093
"14","61281cca09e2092efa4f6193d165a0a7",4,8,8,1,12,2,"ebola",0.999950000000015,1,-0.179391666666667,0.764077777777778,0.134291666666667,-0.166666666666667,0.278549382716049,0.5,2,66,0.093
"15","61281cca09e2092efa4f6193d165a0a7",4,8,14,1,12,3,"ebola",0.999949911642391,1,-0.31265,1.53220277777778,0.260316666666667,-0.666666666666667,0.561149691358025,1,2,66,0.093
"16","61281cca09e2092efa4f6193d165a0a7",4,8,25,1,12,4,"ebola",0.987733042623065,0.5,-0.347383333333333,5.43620694444444,0.402283333333333,-0.833333333333333,1.32091049382716,1.91666666666667,2,66,0.093
"17","61281cca09e2092efa4f6193d165a0a7",5,19,8,0,12,1,"ebola",0.96629942444281,0.527777777777778,0.30835,2.03940833333333,-0.708558333333333,-0.166666666666667,0.237229938271605,0.35,3,66,2e-04
"18","61281cca09e2092efa4f6193d165a0a7",5,19,14,0,12,2,"ebola",0.999949999999961,0.611111111111111,0.477408333333333,4.98908125,-1.60256666666667,-0.666666666666667,0.460333719135803,0.85,3,66,2e-04
"19","61281cca09e2092efa4f6193d165a0a7",5,19,25,0,12,3,"ebola",0.999950000000015,0.547619047619048,0.533241666666667,18.4850391666667,-3.49631666666667,-0.833333333333333,1.17715354938272,1.76666666666667,2,66,2e-04
"20","61281cca09e2092efa4f6193d165a0a7",6,27,14,2,12,1,"ebola",0.857347185590354,0.5,0.0468583333333333,1.21086180555556,-0.192358333333333,-0.666666666666667,0.427625868055556,0.791666666666667,3,66,0
"21","61281cca09e2092efa4f6193d165a0a7",6,27,25,2,12,2,"ebola",0.769702536292353,0.625,-0.0368916666666667,1.9768575,0.123658333333333,-0.833333333333333,1.12634548611111,1.70833333333333,3,66,0
"22","61281cca09e2092efa4f6193d165a0a7",7,41,25,0,12,1,"ebola",0.885071435624698,0.541666666666667,-0.154258333333333,1.41118888888889,0.50655,-0.833333333333333,1.03597214348702,1.5952380952381,3,66,0
