"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","6738679d20e4a2d827b92a00d9437d4d",1,1,1,11,12,1,"ebola",0.203005072507716,1,0.0445,0.243458333333333,-0.069125,0.833333333333333,0.0413773148148148,1.15535294005487e-18,2,12,0.4455
"2","6738679d20e4a2d827b92a00d9437d4d",1,1,1,11,12,2,"ebola",0.314685004865742,1,0.146858333333333,2.6054875,-0.438333333333333,0.833333333333333,0.0413773148148148,1.15987044910689e-18,2,12,0.4455
"3","6738679d20e4a2d827b92a00d9437d4d",1,1,0,11,12,3,"ebola",0.998879576803189,1,0.321708333333333,85.198875,-2.47400833333333,1,0.00694444444444444,-0.0833333333333333,2,12,0.4455
"4","6738679d20e4a2d827b92a00d9437d4d",1,1,1,11,12,4,"ebola",NA,1,0.327316666666667,3654.38192083333,-13.3857166666667,0.833333333333333,0.0413773148148148,1.15535294005487e-18,2,12,0.4455
"5","6738679d20e4a2d827b92a00d9437d4d",2,2,1,7,12,1,"ebola",0.999950000000015,1,0.0492583333333334,0.222416666666667,-0.0677166666666667,0.833333333333333,0.0413773148148148,1.15987044910689e-18,2,12,0.379
"6","6738679d20e4a2d827b92a00d9437d4d",2,2,0,7,12,2,"ebola",0.999938216152916,1,0.208925,1.02905,-0.345683333333333,1,0.00694444444444444,-0.0833333333333333,2,12,0.379
"7","6738679d20e4a2d827b92a00d9437d4d",2,2,1,7,12,3,"ebola",0.957646930571725,1,0.228258333333333,19.4521041666667,-0.9766,0.833333333333333,0.0413773148148148,1.15535294005487e-18,2,12,0.379
"8","6738679d20e4a2d827b92a00d9437d4d",2,2,1,7,12,4,"ebola",0.999638306710726,1,0.304916666666667,779.8669125,-3.87298333333333,0.833333333333333,0.0413773148148148,1.15535294005487e-18,2,12,0.379
"9","6738679d20e4a2d827b92a00d9437d4d",3,3,0,11,12,1,"ebola",0.642653609444609,1,0.115133333333333,0.152875,-0.126908333333333,1,0.00694444444444444,-0.0833333333333333,2,12,0.462
"10","6738679d20e4a2d827b92a00d9437d4d",3,3,1,11,12,2,"ebola",0.889132749094519,1,0.0609583333333333,0.341729166666667,-0.103125,0.833333333333333,0.0413773148148148,1.15535294005487e-18,2,12,0.462
"11","6738679d20e4a2d827b92a00d9437d4d",3,3,1,11,12,3,"ebola",0.54265471000701,1,0.118275,1.54262083333333,-0.295841666666667,0.833333333333333,0.0413773148148148,1.15535294005487e-18,2,12,0.462
"12","6738679d20e4a2d827b92a00d9437d4d",3,3,3,11,12,4,"ebola",0.820999308370675,1,0.030425,11.6698291666667,-0.633941666666667,0.5,0.110243055555556,0.166666666666667,2,12,0.462
"13","6738679d20e4a2d827b92a00d9437d4d",4,3,1,23,12,1,"ebola",0.0538280704556575,1,-0.0562083333333333,0.0675583333333333,0.055575,0.833333333333333,0.0402018229166667,0.0208333333333333,2,12,0.8474
"14","6738679d20e4a2d827b92a00d9437d4d",4,3,1,23,12,2,"ebola",0.674470873801303,1,-0.05785,0.0716125,0.055625,0.833333333333333,0.0402018229166667,0.0208333333333333,2,12,0.8474
"15","6738679d20e4a2d827b92a00d9437d4d",4,3,3,23,12,3,"ebola",0.26157253442776,1,-0.212666666666667,0.175325,0.205066666666667,0.5,0.11279296875,0.1875,2,12,0.8474
"16","6738679d20e4a2d827b92a00d9437d4d",4,3,4,23,12,4,"ebola",0.716189407515372,1,-0.282316666666667,0.33275,0.255908333333333,0.333333333333333,0.149088541666667,0.270833333333333,2,12,0.8474
"17","6738679d20e4a2d827b92a00d9437d4d",5,4,1,7,12,1,"ebola",0.886447101319104,1,-0.0137166666666667,0.1132,0.0106333333333333,0.833333333333333,0.0403703703703704,0.0166666666666667,2,12,0.5302
"18","6738679d20e4a2d827b92a00d9437d4d",5,4,3,7,12,2,"ebola",0.459886488590377,1,-0.158133333333333,0.211704166666667,0.148866666666667,0.5,0.112222222222222,0.183333333333333,2,12,0.5302
"19","6738679d20e4a2d827b92a00d9437d4d",5,4,4,7,12,3,"ebola",0.446046460513854,1,-0.207733333333333,0.368491666666667,0.174175,0.333333333333333,0.148148148148148,0.266666666666667,2,12,0.5302
"20","6738679d20e4a2d827b92a00d9437d4d",6,5,3,9,12,1,"ebola",0.0731589165811092,1,-0.15605,0.197016666666667,0.151316666666667,0.5,0.111858603395062,0.180555555555556,2,12,0.4583
"21","6738679d20e4a2d827b92a00d9437d4d",6,5,4,9,12,2,"ebola",0.446464274912556,1,-0.226983333333333,0.2608625,0.215175,0.333333333333333,0.147537294238683,0.263888888888889,2,12,0.4583
"22","6738679d20e4a2d827b92a00d9437d4d",7,8,4,0,12,1,"ebola",0.151357286443225,1,-0.113525,0.354675,0.0895416666666667,0.333333333333333,0.142479213907785,0.238095238095238,2,12,0.1065
