"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","67c8eb82a8d8d196cdd51a72e41780f1",1,1,2,11,12,1,"ebola",0.333108754728216,1,-0.0364166666666667,0.239045833333333,0.0177666666666667,0.666666666666667,0.0758101851851852,0.0833333333333333,2,40,0.4522
"2","67c8eb82a8d8d196cdd51a72e41780f1",1,1,2,11,12,2,"ebola",0.0952781536388997,1,0.0768,1.94102083333333,-0.332908333333333,0.666666666666667,0.0758101851851852,0.0833333333333333,2,40,0.4522
"3","67c8eb82a8d8d196cdd51a72e41780f1",1,1,4,11,12,3,"ebola",0.998974695587619,1,0.103166666666667,68.5001986111111,-2.00776666666667,0.5,0.177276234567901,0.25,2,40,0.4522
"4","67c8eb82a8d8d196cdd51a72e41780f1",1,1,2,11,12,4,"ebola",0.999950000000015,1,0.260308333333333,2944.06369166667,-12.462025,0.666666666666667,0.0758101851851852,0.0833333333333333,2,40,0.4522
"5","67c8eb82a8d8d196cdd51a72e41780f1",2,3,2,1,12,1,"ebola",0.48477368354785,1,0.109625,0.460408333333333,-0.1679,0.666666666666667,0.0768229166666667,0.0416666666666667,2,40,0.0751
"6","67c8eb82a8d8d196cdd51a72e41780f1",2,3,4,1,12,2,"ebola",0.949845697242112,0.75,0.282833333333333,5.32239583333333,-0.882016666666667,0.5,0.173177083333333,0.208333333333333,2,40,0.0751
"7","67c8eb82a8d8d196cdd51a72e41780f1",2,3,2,1,12,3,"ebola",0.999950000000015,0.430555555555556,0.570925,134.638720833333,-4.65785,0.666666666666667,0.0768229166666667,0.0416666666666667,2,40,0.0751
"8","67c8eb82a8d8d196cdd51a72e41780f1",2,3,6,1,12,4,"ebola",0.999950000000015,0.230555555555556,0.551683333333333,4689.39948333333,-21.662925,0,0.19921875,0.375,2,40,0.0751
"9","67c8eb82a8d8d196cdd51a72e41780f1",3,5,4,1,12,1,"ebola",0.538020650928443,1,0.0714666666666667,0.713841666666667,-0.100566666666667,0.5,0.172475137174211,0.194444444444444,2,40,0.0428
"10","67c8eb82a8d8d196cdd51a72e41780f1",3,5,2,1,12,2,"ebola",0.882895147822816,0.666666666666667,0.399491666666667,3.94933333333333,-0.946633333333333,0.666666666666667,0.0778677983539095,0.0277777777777778,2,40,0.0428
"11","67c8eb82a8d8d196cdd51a72e41780f1",3,5,6,1,12,3,"ebola",0.999950000000015,0.458333333333333,0.378866666666667,49.6439208333333,-2.634325,0,0.195023148148148,0.361111111111111,2,40,0.0428
"12","67c8eb82a8d8d196cdd51a72e41780f1",3,5,9,1,12,4,"ebola",0.999950000000015,0.298611111111111,0.456808333333333,997.385529166667,-9.52425833333333,-0.166666666666667,0.354948988340192,0.611111111111111,2,40,0.0428
"13","67c8eb82a8d8d196cdd51a72e41780f1",4,9,2,3,12,1,"ebola",0.978104033139633,0.916666666666667,0.330858333333333,1.0877,-0.509991666666667,0.666666666666667,0.0843098958333333,-0.0208333333333333,2,40,0.0173
"14","67c8eb82a8d8d196cdd51a72e41780f1",4,9,6,3,12,2,"ebola",0.911630442392682,0.5,0.252191666666667,2.66653333333333,-0.719708333333333,0,0.1826171875,0.3125,2,40,0.0173
"15","67c8eb82a8d8d196cdd51a72e41780f1",4,9,9,3,12,3,"ebola",0.999948245815556,0.430555555555556,0.350191666666667,12.6928833333333,-1.74646666666667,-0.166666666666667,0.334689670138889,0.5625,2,40,0.0173
"16","67c8eb82a8d8d196cdd51a72e41780f1",4,9,14,3,12,4,"ebola",0.999950000000015,0.333333333333333,0.397333333333333,79.3842638888889,-4.32716666666667,-0.5,0.584879557291667,0.979166666666667,2,40,0.0173
"17","67c8eb82a8d8d196cdd51a72e41780f1",5,11,6,1,12,1,"ebola",0.176430448927271,1,-0.203591666666667,0.4296625,0.173066666666667,0,0.183541666666667,0.316666666666667,2,40,0.0977
"18","67c8eb82a8d8d196cdd51a72e41780f1",5,11,9,1,12,2,"ebola",0.675282092205547,1,-0.273041666666667,0.633602777777778,0.336741666666667,-0.166666666666667,0.336300154320988,0.566666666666667,2,40,0.0977
"19","67c8eb82a8d8d196cdd51a72e41780f1",5,11,14,1,12,3,"ebola",0.497613580096498,1,-0.392358333333333,0.957985416666667,0.574183333333333,-0.5,0.58765625,0.983333333333333,2,40,0.0977
"20","67c8eb82a8d8d196cdd51a72e41780f1",6,17,9,3,12,1,"ebola",0.997663670992268,0.958333333333333,-0.117191666666667,0.766869444444444,0.122883333333333,-0.166666666666667,0.317646712105624,0.513888888888889,2,40,0.005
"21","67c8eb82a8d8d196cdd51a72e41780f1",6,17,14,3,12,2,"ebola",0.926314929545855,0.5,-0.200741666666667,1.0647,0.261158333333333,-0.5,0.553927951388889,0.930555555555555,2,40,0.005
"22","67c8eb82a8d8d196cdd51a72e41780f1",7,26,14,0,12,1,"ebola",0.99750840417528,0.5,-0.134,1.00404722222222,0.174941666666667,-0.5,0.512223639455782,0.857142857142857,3,40,0
