"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","68cdc3c57b5d8498e0d0fb5b895841ca",1,2,3,7,12,1,"ebola",0.348912759944377,1,0.0860333333333333,0.7359375,-0.193166666666667,0.5,0.107638888888889,0.0833333333333333,2,98,0.1425
"2","68cdc3c57b5d8498e0d0fb5b895841ca",1,2,6,7,12,2,"ebola",0.993016865856377,0.75,0.197991666666667,7.9595125,-1.193225,0.166666666666667,0.225308641975309,0.333333333333333,2,98,0.1425
"3","68cdc3c57b5d8498e0d0fb5b895841ca",1,2,5,7,12,3,"ebola",0.999950000000015,0.430555555555556,0.4171,365.9731125,-7.82946666666667,0.166666666666667,0.16087962962963,0.25,2,98,0.1425
"4","68cdc3c57b5d8498e0d0fb5b895841ca",1,2,8,7,12,4,"ebola",0.999950000000015,0.230555555555556,0.469408333333333,14758.1129819444,-44.629525,0,0.316358024691358,0.5,2,98,0.1425
"5","68cdc3c57b5d8498e0d0fb5b895841ca",2,5,6,1,12,1,"ebola",0.999762848885159,1,-0.0391666666666667,0.659408333333333,0.00434166666666667,0.166666666666667,0.218942901234568,0.291666666666667,2,98,0.0501
"6","68cdc3c57b5d8498e0d0fb5b895841ca",2,5,5,1,12,2,"ebola",0.895835275370019,0.625,0.239133333333333,3.71631666666667,-0.810666666666667,0.166666666666667,0.155888310185185,0.208333333333333,2,98,0.0501
"7","68cdc3c57b5d8498e0d0fb5b895841ca",2,5,8,1,12,3,"ebola",0.999191488822074,0.458333333333333,0.34615,41.0831611111111,-2.86156666666667,0,0.304494598765432,0.458333333333333,2,98,0.0501
"8","68cdc3c57b5d8498e0d0fb5b895841ca",2,5,11,1,12,4,"ebola",0.999950000000015,0.291666666666667,0.397133333333333,567.490438888889,-10.4448833333333,-0.5,0.371985918209877,0.708333333333333,2,98,0.0501
"9","68cdc3c57b5d8498e0d0fb5b895841ca",3,11,5,0,12,1,"ebola",0.701457803162824,0.625,0.242191666666667,1.36036666666667,-0.492291666666667,0.166666666666667,0.154931841563786,0.111111111111111,2,98,9e-04
"10","68cdc3c57b5d8498e0d0fb5b895841ca",3,11,8,0,12,2,"ebola",0.999719920456801,0.597222222222222,0.469891666666667,5.75543472222222,-1.45203333333333,0,0.286565500685871,0.361111111111111,2,98,9e-04
"11","68cdc3c57b5d8498e0d0fb5b895841ca",3,11,11,0,12,3,"ebola",0.999950000000015,0.472222222222222,0.645566666666667,32.0491569444444,-4.06614166666667,-0.5,0.323506087105624,0.611111111111111,2,98,9e-04
"12","68cdc3c57b5d8498e0d0fb5b895841ca",3,11,22,0,12,4,"ebola",0.999950000000015,0.392559523809524,0.656258333333333,208.097045,-10.6418583333333,-0.833333333333333,0.937154921124829,1.52777777777778,2,98,9e-04
"13","68cdc3c57b5d8498e0d0fb5b895841ca",4,16,8,0,12,1,"ebola",0.943532331880421,0.5,0.124625,1.22610555555556,-0.262483333333333,0,0.283950617283951,0.333333333333333,2,98,0.0027
"14","68cdc3c57b5d8498e0d0fb5b895841ca",4,16,11,0,12,2,"ebola",0.986374395895607,0.5,0.160308333333333,1.87202638888889,-0.5322,-0.5,0.311728395061728,0.583333333333333,2,98,0.0027
"15","68cdc3c57b5d8498e0d0fb5b895841ca",4,16,22,0,12,3,"ebola",0.999944011485366,0.625,0.053275,3.96170638888889,-0.66465,-0.833333333333333,0.912345679012346,1.5,2,98,0.0027
"16","68cdc3c57b5d8498e0d0fb5b895841ca",4,16,41,0,12,4,"ebola",0.999950000000015,0.472222222222222,-0.0477916666666666,9.93608634920635,-1.03705,-1,2.23183421516755,3.08333333333333,2,98,0.0027
"17","68cdc3c57b5d8498e0d0fb5b895841ca",5,24,11,0,12,1,"ebola",0.97992732203534,0.5,-0.0134833333333333,0.941994444444444,-0.0939166666666667,-0.5,0.287222222222222,0.516666666666667,2,98,5e-04
"18","68cdc3c57b5d8498e0d0fb5b895841ca",5,24,22,0,12,2,"ebola",0.855988059134253,0.5,-0.22645,1.23583125,0.357208333333333,-0.833333333333333,0.855444444444445,1.43333333333333,2,98,5e-04
"19","68cdc3c57b5d8498e0d0fb5b895841ca",5,24,41,0,12,3,"ebola",0.914881566441108,0.652777777777778,-0.395675,1.82983888888889,1.16334166666667,-1,2.14788888888889,3.01666666666667,2,98,5e-04
"20","68cdc3c57b5d8498e0d0fb5b895841ca",6,35,22,0,12,1,"ebola",0.999551520672648,0.5,-0.313,0.999615277777778,0.563808333333333,-0.833333333333333,0.787465170610425,1.34722222222222,3,98,0
"21","68cdc3c57b5d8498e0d0fb5b895841ca",6,35,41,0,12,2,"ebola",0.99540884017533,0.597222222222222,-0.519016666666667,1.4776475,1.60011666666667,-1,2.0430251659563,2.93055555555556,3,98,0
"22","68cdc3c57b5d8498e0d0fb5b895841ca",7,57,41,0,12,1,"ebola",0.845117446296065,0.6875,-0.347916666666667,1.32926166666667,1.025425,-1,1.82318341026887,2.73809523809524,3,98,0
