"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","6a15c413b3c8b83bca2f25fd182ebd29",1,1,0,11,12,1,"ebola",0.365613541536985,1,0.128975,0.222133333333333,-0.154683333333333,1,0.00694444444444444,-0.0833333333333333,2,1,0.4346
"2","6a15c413b3c8b83bca2f25fd182ebd29",1,1,0,11,12,2,"ebola",0.937005434634996,1,0.22895,2.70116666666667,-0.531866666666667,1,0.00694444444444444,-0.0833333333333333,2,1,0.4346
"3","6a15c413b3c8b83bca2f25fd182ebd29",1,1,0,11,12,3,"ebola",0.999677172449117,1,0.327608333333333,91.2685583333333,-2.527275,1,0.00694444444444444,-0.0833333333333333,2,1,0.4346
"4","6a15c413b3c8b83bca2f25fd182ebd29",1,1,0,11,12,4,"ebola",NA,1,0.391258333333333,4175.203625,-13.887325,1,0.00694444444444444,-0.0833333333333333,2,1,0.4346
"5","6a15c413b3c8b83bca2f25fd182ebd29",2,1,0,23,12,1,"ebola",0.285697778247627,1,0.02085,0.0232583333333333,-0.0216083333333333,1,0.00173611111111111,-0.0416666666666667,2,1,0.8707
"6","6a15c413b3c8b83bca2f25fd182ebd29",2,1,0,23,12,2,"ebola",0.14656001544836,1,0.0275333333333333,0.0565333333333333,-0.03465,1,0.00173611111111111,-0.0416666666666667,2,1,0.8707
"7","6a15c413b3c8b83bca2f25fd182ebd29",2,1,0,23,12,3,"ebola",0.169598754421137,1,0.04525,0.511483333333333,-0.09495,1,0.00173611111111111,-0.0416666666666667,2,1,0.8707
"8","6a15c413b3c8b83bca2f25fd182ebd29",2,1,0,23,12,4,"ebola",0.549207016671535,1,0.062025,9.50741666666667,-0.31245,1,0.00173611111111111,-0.0416666666666667,2,1,0.8707
"9","6a15c413b3c8b83bca2f25fd182ebd29",3,1,0,35,12,1,"ebola",0.981713913967456,1,0.00356666666666664,0.00366666666666667,-0.0036,1,0.000771604938271605,-0.0277777777777778,2,1,0.9741
"10","6a15c413b3c8b83bca2f25fd182ebd29",3,1,0,35,12,2,"ebola",0.410830457685596,1,0.00461666666666666,0.00725833333333333,-0.00534166666666667,1,0.000771604938271605,-0.0277777777777778,2,1,0.9741
"11","6a15c413b3c8b83bca2f25fd182ebd29",3,1,0,35,12,3,"ebola",0.151944027624964,1,0.00727499999999999,0.0489166666666667,-0.0130166666666667,1,0.000771604938271605,-0.0277777777777778,2,1,0.9741
"12","6a15c413b3c8b83bca2f25fd182ebd29",3,1,0,35,12,4,"ebola",0.0671461209280278,1,0.010325,0.929516666666667,-0.0429,1,0.000771604938271605,-0.0277777777777778,2,1,0.9741
"13","6a15c413b3c8b83bca2f25fd182ebd29",4,1,0,47,12,1,"ebola",0.216741011949446,1,0.000541666666666607,0.000541666666666667,-0.000541666666666667,1,0.000434027777777778,-0.0208333333333333,2,1,0.9957
"14","6a15c413b3c8b83bca2f25fd182ebd29",4,1,0,47,12,2,"ebola",0.603665991631038,1,0.000633333333333264,0.000758333333333333,-0.000675,1,0.000434027777777778,-0.0208333333333333,2,1,0.9957
"15","6a15c413b3c8b83bca2f25fd182ebd29",4,1,0,47,12,3,"ebola",0.34306567229604,1,0.00125833333333338,0.00381666666666667,-0.00185,1,0.000434027777777778,-0.0208333333333333,2,1,0.9957
"16","6a15c413b3c8b83bca2f25fd182ebd29",4,1,0,47,12,4,"ebola",0.390690391912551,1,0.00186666666666668,0.032825,-0.005525,1,0.000434027777777778,-0.0208333333333333,2,1,0.9957
"17","6a15c413b3c8b83bca2f25fd182ebd29",5,1,0,59,12,1,"ebola",0.432655203780046,1,4.16666666666621e-05,4.16666666666667e-05,-4.16666666666667e-05,1,0.000277777777777778,-0.0166666666666667,2,1,0.9999
"18","6a15c413b3c8b83bca2f25fd182ebd29",5,1,0,59,12,2,"ebola",0.64732958306123,1,8.33333333333242e-06,8.33333333333333e-06,-8.33333333333333e-06,1,0.000277777777777778,-0.0166666666666667,2,1,0.9999
"19","6a15c413b3c8b83bca2f25fd182ebd29",5,1,0,59,12,3,"ebola",0.851180501567178,1,8.33333333333242e-06,8.33333333333333e-06,-8.33333333333333e-06,1,0.000277777777777778,-0.0166666666666667,2,1,0.9999
"20","6a15c413b3c8b83bca2f25fd182ebd29",6,1,0,71,12,1,"ebola",0.372927620764048,1,0,0,0,1,0.000192901234567901,-0.0138888888888889,1,1,1
"21","6a15c413b3c8b83bca2f25fd182ebd29",6,1,0,71,12,2,"ebola",0.226190212615373,1,0,0,0,1,0.000192901234567901,-0.0138888888888889,1,1,1
"22","6a15c413b3c8b83bca2f25fd182ebd29",7,1,0,83,12,1,"ebola",0.149898734981447,1,0,0,0,1,0.00014172335600907,-0.0119047619047619,1,1,1
