"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","6f6f6c1d09923e793d575fb5914e4a55",1,4,5,3,12,1,"ebola",0.952623467228911,0.597222222222222,0.40065,2.8099625,-0.852766666666667,0.5,0.256172839506173,0.0833333333333334,2,380,0.0075
"2","6f6f6c1d09923e793d575fb5914e4a55",1,4,8,3,12,2,"ebola",0.999950000000015,0.40297619047619,0.676683333333333,59.9792958333333,-5.31576666666667,-0.166666666666667,0.234567901234568,0.333333333333333,2,380,0.0075
"3","6f6f6c1d09923e793d575fb5914e4a55",1,4,15,3,12,3,"ebola",0.999950000000015,0.188491512986398,0.791825,1718.20172361111,-31.174175,-0.166666666666667,0.669753086419753,0.916666666666667,2,380,0.0075
"4","6f6f6c1d09923e793d575fb5914e4a55",1,4,25,3,12,4,"ebola",0.999950000000015,0.0862860136042479,0.827575,66662.4797376389,-187.707708333333,-0.5,1.24135802469136,1.75,2,380,0.0075
"5","6f6f6c1d09923e793d575fb5914e4a55",2,9,8,1,12,1,"ebola",0.849362732019805,0.583333333333333,0.140941666666667,1.36761805555556,-0.372708333333333,-0.166666666666667,0.229600694444444,0.291666666666667,2,380,9e-04
"6","6f6f6c1d09923e793d575fb5914e4a55",2,9,15,1,12,2,"ebola",0.999950000000015,0.597222222222222,0.371916666666667,7.44305833333333,-1.56895,-0.166666666666667,0.655381944444444,0.875,2,380,9e-04
"7","6f6f6c1d09923e793d575fb5914e4a55",2,9,25,1,12,3,"ebola",0.999950000000015,0.420039682539683,0.5087,68.3532958333333,-5.91795,-0.5,1.21037326388889,1.70833333333333,2,380,9e-04
"8","6f6f6c1d09923e793d575fb5914e4a55",2,9,57,1,12,4,"ebola",0.999950000000015,0.303528089557501,0.457,551.785660476191,-19.9184166666667,-1,3.35899367559524,4.375,2,380,9e-04
"9","6f6f6c1d09923e793d575fb5914e4a55",3,17,15,0,12,1,"ebola",0.984988029017853,0.527777777777778,0.078675,1.87874861111111,-0.212508333333333,-0.166666666666667,0.630101165980796,0.777777777777778,2,380,0
"10","6f6f6c1d09923e793d575fb5914e4a55",3,17,25,0,12,2,"ebola",0.999950000000015,0.597222222222222,0.146283333333333,4.35345541666667,-0.769383333333333,-0.5,1.14433942043896,1.61111111111111,3,380,0
"11","6f6f6c1d09923e793d575fb5914e4a55",3,17,57,0,12,3,"ebola",0.999950000000015,0.535714285714286,-0.0329166666666667,7.89427884920635,-1.19866666666667,-1,3.21711079879483,4.27777777777778,2,380,0
"12","6f6f6c1d09923e793d575fb5914e4a55",3,17,94,0,12,4,"ebola",0.999950000000015,0.443019480519481,0.04535,35.6770314727633,-5.16861666666667,-1,6.14442167718113,7.36111111111111,3,380,0
"13","6f6f6c1d09923e793d575fb5914e4a55",4,32,25,0,12,1,"ebola",0.999722362833935,0.645833333333333,-0.00499166666666666,2.22316888888889,-0.0555,-0.5,1.03858024691358,1.41666666666667,3,380,0
"14","6f6f6c1d09923e793d575fb5914e4a55",4,32,57,0,12,2,"ebola",0.999950000000015,0.680555555555556,-0.286466666666667,1.79529898809524,0.768375,-1,2.94411375661376,4.08333333333333,3,380,0
"15","6f6f6c1d09923e793d575fb5914e4a55",4,32,94,0,12,3,"ebola",0.999950000000015,0.617890211640212,-0.2262,2.87403406355219,0.474883333333333,-1,5.82748951151729,7.16666666666667,3,380,0
"16","6f6f6c1d09923e793d575fb5914e4a55",4,32,172,0,12,4,"ebola",NA,0.564382839382839,-0.211683333333333,8.6666862882896,0.41795,-1,12.1999373062486,13.6666666666667,3,380,0
"17","6f6f6c1d09923e793d575fb5914e4a55",5,57,57,0,12,1,"ebola",0.972950757631809,0.758333333333333,-0.353483333333333,1.37360188492064,1.044325,-1,2.57202232142857,3.8,3,380,0
"18","6f6f6c1d09923e793d575fb5914e4a55",5,57,94,0,12,2,"ebola",0.99890654388203,0.699404761904762,-0.395625,1.48398516203704,1.49396666666667,-1,5.38163372564935,6.88333333333333,3,380,0
"19","6f6f6c1d09923e793d575fb5914e4a55",5,57,172,0,12,3,"ebola",0.999950000000015,0.693342768342768,-0.428291666666667,3.45228456376548,3.27588333333333,-1,11.707027511857,13.3833333333333,3,380,0
"20","6f6f6c1d09923e793d575fb5914e4a55",6,114,94,0,12,1,"ebola",0.822754014341155,0.763882876382876,-0.0288666666666667,1.18248532467532,-0.035975,-1,4.45346021808695,6.25,3,380,0
"21","6f6f6c1d09923e793d575fb5914e4a55",6,114,172,0,12,2,"ebola",0.999950000000015,0.780170598736775,-0.0773083333333333,2.37918609289199,0.476566666666667,-1,10.6470160449289,12.75,3,380,0
"22","6f6f6c1d09923e793d575fb5914e4a55",7,208,172,0,12,1,"ebola",0.999950000000015,0.820050925381808,-0.188291666666667,1.89115867646991,1.29768333333333,-1,9.25072046666559,11.8571428571429,3,380,0
