"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","70a0a3a81cc0f4dbb99300e053cfcfd3",1,1,4,11,12,1,"ebola",0.999950000000015,1,-0.128125,0.342538888888889,0.179158333333333,0.5,0.177276234567901,0.25,2,102,0.4401
"2","70a0a3a81cc0f4dbb99300e053cfcfd3",1,1,4,11,12,2,"ebola",0.996256639768257,1,-0.00341666666666669,2.18441666666667,-0.192975,0.5,0.177276234567901,0.25,2,102,0.4401
"3","70a0a3a81cc0f4dbb99300e053cfcfd3",1,1,3,11,12,3,"ebola",0.885485584050542,1,0.144716666666667,62.6597458333333,-2.20615,0.5,0.110243055555556,0.166666666666667,2,102,0.4401
"4","70a0a3a81cc0f4dbb99300e053cfcfd3",1,1,7,11,12,4,"ebola",NA,1,0.046525,2161.63416944444,-12.6059166666667,0,0.280574845679012,0.5,2,102,0.4401
"5","70a0a3a81cc0f4dbb99300e053cfcfd3",2,5,4,3,12,1,"ebola",0.937909228268044,0.75,0.267666666666667,1.52308055555556,-0.477791666666667,0.5,0.173948688271605,0.125,2,102,0.0116
"6","70a0a3a81cc0f4dbb99300e053cfcfd3",2,5,3,3,12,2,"ebola",0.999883487759598,0.416666666666667,0.610316666666667,16.9674666666667,-2.37330833333333,0.5,0.110894097222222,0.0416666666666667,2,102,0.0116
"7","70a0a3a81cc0f4dbb99300e053cfcfd3",2,5,7,3,12,3,"ebola",0.999950000000015,0.336309523809524,0.6831,321.935713888889,-9.41154166666667,0,0.241440007716049,0.375,2,102,0.0116
"8","70a0a3a81cc0f4dbb99300e053cfcfd3",2,5,12,3,12,4,"ebola",NA,0.197945572945573,0.722158333333333,12647.4815916667,-42.2656333333333,-0.333333333333333,0.485737364969136,0.791666666666667,2,102,0.0116
"9","70a0a3a81cc0f4dbb99300e053cfcfd3",3,9,3,2,12,1,"ebola",0.661038889561755,0.75,0.299383333333333,1.11778333333333,-0.490258333333333,0.5,0.1171875,0,2,102,0.0099
"10","70a0a3a81cc0f4dbb99300e053cfcfd3",3,9,7,2,12,2,"ebola",0.965583330770114,0.5,0.308308333333333,2.84820277777778,-0.849008333333333,0,0.233506944444444,0.333333333333333,2,102,0.0099
"11","70a0a3a81cc0f4dbb99300e053cfcfd3",3,9,12,2,12,3,"ebola",0.999949999991214,0.444444444444444,0.3618,15.4668916666667,-2.07578333333333,-0.333333333333333,0.465711805555556,0.75,2,102,0.0099
"12","70a0a3a81cc0f4dbb99300e053cfcfd3",3,9,24,2,12,4,"ebola",0.999950000000015,0.416666666666667,0.312808333333333,60.3060527777778,-5.02195833333333,-0.833333333333333,1.12934027777778,1.75,2,102,0.0099
"13","70a0a3a81cc0f4dbb99300e053cfcfd3",4,12,7,0,12,1,"ebola",0.997510900128822,1,-0.116591666666667,0.589625,0.107516666666667,0,0.233506944444444,0.333333333333333,2,102,0.0329
"14","70a0a3a81cc0f4dbb99300e053cfcfd3",4,12,12,0,12,2,"ebola",0.998143880242254,0.930555555555556,-0.21475,1.00771041666667,0.29285,-0.333333333333333,0.465711805555556,0.75,2,102,0.0329
"15","70a0a3a81cc0f4dbb99300e053cfcfd3",4,12,24,0,12,3,"ebola",0.961115427135958,0.5,-0.460508333333333,1.45916666666667,0.885775,-0.833333333333333,1.12934027777778,1.75,2,102,0.0329
"16","70a0a3a81cc0f4dbb99300e053cfcfd3",4,12,47,0,12,4,"ebola",0.778819736414304,0.5,-0.65005,2.66343862103175,2.06861666666667,-1,2.77179439484127,3.66666666666667,2,102,0.0329
"17","70a0a3a81cc0f4dbb99300e053cfcfd3",5,19,12,0,12,1,"ebola",0.998375209461455,0.708333333333333,-0.172458333333333,0.9496875,0.2442,-0.333333333333333,0.438134645061728,0.683333333333333,2,102,0.0017
"18","70a0a3a81cc0f4dbb99300e053cfcfd3",5,19,24,0,12,2,"ebola",0.775758954023995,0.5,-0.3828,1.18526180555556,0.753341666666667,-0.833333333333333,1.06492669753086,1.68333333333333,2,102,0.0017
"19","70a0a3a81cc0f4dbb99300e053cfcfd3",5,19,47,0,12,3,"ebola",0.699276277287708,0.583333333333333,-0.602866666666667,1.86475472222222,1.93983333333333,-1,2.6773514936067,3.6,2,102,0.0017
"20","70a0a3a81cc0f4dbb99300e053cfcfd3",6,31,24,2,12,1,"ebola",0.999949964947892,0.541666666666667,-0.249558333333333,1.17044027777778,0.459966666666667,-0.833333333333333,0.963169260116598,1.56944444444444,3,102,0
"21","70a0a3a81cc0f4dbb99300e053cfcfd3",6,31,47,2,12,2,"ebola",0.990501720168665,0.666666666666667,-0.506125,1.46741288690476,1.58896666666667,-1,2.52068519360548,3.48611111111111,3,102,0
"22","70a0a3a81cc0f4dbb99300e053cfcfd3",7,55,47,0,12,1,"ebola",0.933615398892999,0.715277777777778,-0.322466666666667,1.25566407738095,1.02895,-1,2.22949413479016,3.26190476190476,3,102,0
