"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","75f6d4d6cf5a296d9f92a029d007db29",1,1,0,11,12,1,"ebola",0.470018781530594,1,0.12345,0.213033333333333,-0.148233333333333,1,0.00694444444444444,-0.0833333333333333,2,26,0.4702
"2","75f6d4d6cf5a296d9f92a029d007db29",1,1,0,11,12,2,"ebola",0.722816213299493,1,0.217066666666667,2.790925,-0.523641666666667,1,0.00694444444444444,-0.0833333333333333,2,26,0.4702
"3","75f6d4d6cf5a296d9f92a029d007db29",1,1,1,11,12,3,"ebola",0.999201342894578,1,0.2446,100.014429166667,-2.51535833333333,0.833333333333333,0.0413773148148148,1.15309418552885e-18,2,26,0.4702
"4","75f6d4d6cf5a296d9f92a029d007db29",1,1,2,11,12,4,"ebola",0.999950000000015,1,0.253516666666667,4356.61662083333,-14.6815416666667,0.666666666666667,0.0758101851851852,0.0833333333333333,2,26,0.4702
"5","75f6d4d6cf5a296d9f92a029d007db29",2,1,0,23,12,1,"ebola",0.408971242347184,1,0.0248,0.0280333333333333,-0.0258333333333333,1,0.00173611111111111,-0.0416666666666667,2,26,0.8477
"6","75f6d4d6cf5a296d9f92a029d007db29",2,1,1,23,12,2,"ebola",0.222959716257266,1,-0.0486916666666667,0.126,0.0372083333333333,0.833333333333333,0.0398582175925926,0.0416666666666667,2,26,0.8477
"7","75f6d4d6cf5a296d9f92a029d007db29",2,1,2,23,12,3,"ebola",0.534463806005557,1,-0.108475,1.5109875,0.0169416666666667,0.666666666666667,0.0779803240740741,0.125,2,26,0.8477
"8","75f6d4d6cf5a296d9f92a029d007db29",2,1,3,23,12,4,"ebola",0.724627425390696,1,-0.166408333333333,54.5237916666667,-0.379716666666667,0.5,0.116102430555556,0.208333333333333,2,26,0.8477
"9","75f6d4d6cf5a296d9f92a029d007db29",3,1,1,35,12,1,"ebola",0.962925965379786,1,-0.079375,0.045425,0.0793333333333333,0.833333333333333,0.0400913065843621,0.0555555555555556,2,26,0.9745
"10","75f6d4d6cf5a296d9f92a029d007db29",3,1,2,35,12,2,"ebola",0.630463905126185,1,-0.161866666666667,0.0887,0.161283333333333,0.666666666666667,0.0794110082304527,0.138888888888889,2,26,0.9745
"11","75f6d4d6cf5a296d9f92a029d007db29",3,1,3,35,12,3,"ebola",0.182364987103669,1,-0.241558333333333,0.155058333333333,0.236766666666667,0.5,0.118730709876543,0.222222222222222,2,26,0.9745
"12","75f6d4d6cf5a296d9f92a029d007db29",3,1,8,35,12,4,"ebola",0.479217592742804,1,-0.404766666666667,0.591055555555556,0.631966666666667,0.166666666666667,0.403356481481482,0.638888888888889,2,26,0.9745
"13","75f6d4d6cf5a296d9f92a029d007db29",4,2,2,6,12,1,"ebola",0.893309213147708,1,-0.0802583333333333,0.166504166666667,0.0735083333333333,0.666666666666667,0.0779803240740741,0.125,2,26,0.481
"14","75f6d4d6cf5a296d9f92a029d007db29",4,2,3,6,12,2,"ebola",0.660044671963445,1,-0.0975583333333333,0.520241666666667,0.0376666666666667,0.5,0.116102430555556,0.208333333333333,2,26,0.481
"15","75f6d4d6cf5a296d9f92a029d007db29",4,2,8,6,12,3,"ebola",0.198537528787515,1,-0.201591666666667,4.66153472222222,0.0506166666666667,0.166666666666667,0.397135416666667,0.625,2,26,0.481
"16","75f6d4d6cf5a296d9f92a029d007db29",4,2,11,6,12,4,"ebola",0.999800705898732,1,-0.193275,111.285854861111,-1.34353333333333,0,0.586853780864198,0.875,2,26,0.481
"17","75f6d4d6cf5a296d9f92a029d007db29",5,4,3,1,12,1,"ebola",0.999950000000019,1,-0.0209583333333333,0.396425,-0.0155083333333333,0.5,0.112222222222222,0.183333333333333,2,26,0.1064
"18","75f6d4d6cf5a296d9f92a029d007db29",5,4,8,1,12,2,"ebola",0.993499231752387,1,-0.06125,1.21029027777778,0.0416583333333334,0.166666666666667,0.386666666666667,0.6,2,26,0.1064
"19","75f6d4d6cf5a296d9f92a029d007db29",5,4,11,1,12,3,"ebola",0.841915365446305,0.75,0.0456916666666667,7.6658125,-0.661616666666667,0,0.573456790123457,0.85,2,26,0.1064
"20","75f6d4d6cf5a296d9f92a029d007db29",6,7,8,3,12,1,"ebola",0.999950000000015,1,-0.118725,0.6986875,0.219091666666667,0.166666666666667,0.375144675925926,0.569444444444444,2,26,0.0391
"21","75f6d4d6cf5a296d9f92a029d007db29",6,7,11,3,12,2,"ebola",0.999950000000015,0.958333333333333,-0.0756916666666667,1.3352625,0.147458333333333,0,0.558261531207133,0.819444444444444,2,26,0.0391
"22","75f6d4d6cf5a296d9f92a029d007db29",7,15,11,0,12,1,"ebola",0.99472731591951,0.583333333333333,0.03885,1.23058402777778,-0.0259,0,0.524128401360544,0.738095238095238,2,26,4e-04
