"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","7b0f2b690c563aaa951215276f7ff24c",1,1,5,11,12,1,"ebola",0.57174345146872,1,-0.276583333333333,0.320825,0.258591666666667,0.166666666666667,0.179108796296296,0.333333333333333,2,238,0.4408
"2","7b0f2b690c563aaa951215276f7ff24c",1,1,3,11,12,2,"ebola",0.23984677475771,1,0.0175916666666666,2.409475,-0.317858333333333,0.5,0.110243055555556,0.166666666666667,2,238,0.4408
"3","7b0f2b690c563aaa951215276f7ff24c",1,1,9,11,12,3,"ebola",0.999049289892994,1,-0.0379916666666667,78.1093041666667,-2.00219166666667,0.166666666666667,0.455391589506173,0.666666666666667,2,238,0.4408
"4","7b0f2b690c563aaa951215276f7ff24c",1,1,22,11,12,4,"ebola",0.999950000000015,1,-0.221925,1454.40173944444,-13.4373666666667,-0.5,1.23228202160494,1.75,2,238,0.4408
"5","7b0f2b690c563aaa951215276f7ff24c",2,6,3,1,12,1,"ebola",0.955278729238955,0.583333333333333,0.42545,2.32448333333333,-0.849841666666667,0.5,0.1171875,0,2,238,0.0036
"6","7b0f2b690c563aaa951215276f7ff24c",2,6,9,1,12,2,"ebola",0.999950000000015,0.525,0.539208333333333,30.8995638888889,-3.09865,0.166666666666667,0.411024305555556,0.5,2,238,0.0036
"7","7b0f2b690c563aaa951215276f7ff24c",2,6,22,1,12,3,"ebola",0.999950000000015,0.329978354978355,0.627641666666667,321.590570138889,-13.4280666666667,-0.5,1.08637152777778,1.58333333333333,2,238,0.0036
"8","7b0f2b690c563aaa951215276f7ff24c",2,6,42,1,12,4,"ebola",0.999950000000015,0.188329762656276,0.6719,7344.97024964286,-63.2530666666667,-1,2.43433779761905,3.25,2,238,0.0036
"9","7b0f2b690c563aaa951215276f7ff24c",3,9,9,1,12,1,"ebola",0.999950000000015,1,-0.0243916666666667,1.03020069444444,0.122,0.166666666666667,0.411024305555556,0.5,2,238,0.023
"10","7b0f2b690c563aaa951215276f7ff24c",3,9,22,1,12,2,"ebola",0.999931385048871,0.5,-0.333883333333333,1.53196958333333,0.726883333333333,-0.5,1.08637152777778,1.58333333333333,2,238,0.023
"11","7b0f2b690c563aaa951215276f7ff24c",3,9,42,1,12,3,"ebola",0.913345257744571,0.472222222222222,-0.444083333333333,3.74863773809524,1.28935,-1,2.43433779761905,3.25,2,238,0.023
"12","7b0f2b690c563aaa951215276f7ff24c",3,9,53,1,12,4,"ebola",0.996988971929506,0.319444444444444,-0.303683333333333,17.9284432440476,-0.297458333333333,-1,3.26745411706349,4.16666666666667,2,238,0.023
"13","7b0f2b690c563aaa951215276f7ff24c",4,18,22,2,12,1,"ebola",0.983252588679548,0.5,-0.305083333333333,1.31076736111111,0.672408333333333,-0.5,0.994509548611111,1.45833333333333,3,238,4e-04
"14","7b0f2b690c563aaa951215276f7ff24c",4,18,42,2,12,2,"ebola",0.99891002422201,0.569444444444444,-0.478358333333333,1.83392128968254,1.691475,-1,2.27554873511905,3.125,3,238,4e-04
"15","7b0f2b690c563aaa951215276f7ff24c",4,18,53,2,12,3,"ebola",0.999950000000015,0.597222222222222,-0.371433333333333,2.82718469246032,1.26509166666667,-1,3.09111948164683,4.04166666666667,2,238,4e-04
"16","7b0f2b690c563aaa951215276f7ff24c",4,18,103,2,12,4,"ebola",0.999950000000015,0.466666666666667,-0.544941666666667,5.81562628968254,2.951475,-1,7.04984240658069,8.20833333333333,2,238,4e-04
"17","7b0f2b690c563aaa951215276f7ff24c",5,40,42,0,12,1,"ebola",0.999861552892385,0.7125,-0.16215,1.81334529761905,0.6725,-1,1.93882275132275,2.83333333333333,3,238,0
"18","7b0f2b690c563aaa951215276f7ff24c",5,40,53,0,12,2,"ebola",0.84286053746979,0.669543650793651,0.1852,3.51847540674603,-1.00621666666667,-1,2.70695546737213,3.75,3,238,0
"19","7b0f2b690c563aaa951215276f7ff24c",5,40,103,0,12,3,"ebola",0.999950000000015,0.647620435120435,0.122183333333333,5.53658413029101,-1.711775,-1,6.56810332157554,7.91666666666667,3,238,0
"20","7b0f2b690c563aaa951215276f7ff24c",6,82,53,0,12,1,"ebola",0.999950000000015,0.729034391534392,0.411791666666667,4.00714672619048,-1.891075,-0.833333333333333,2.16595989797668,3.27777777777778,3,238,0
"21","7b0f2b690c563aaa951215276f7ff24c",6,82,103,0,12,2,"ebola",0.999950000000015,0.771374921374921,0.448316666666667,4.87977168650794,-3.29220833333333,-1,5.82945405378372,7.44444444444444,3,238,0
"22","7b0f2b690c563aaa951215276f7ff24c",7,135,103,0,12,1,"ebola",0.999949829922259,0.763492063492064,-0.124916666666667,1.71048320436508,0.730208333333333,-1,5.14744320099071,6.97619047619048,3,238,0
