"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","7bea1e0a49808e5a0cf6a6666129da31",1,3,1,0,12,1,"ebola",0.967487043125112,0.75,0.416708333333333,1.86615416666667,-0.735691666666667,0.833333333333333,0.0807291666666667,-0.166666666666667,2,54,0.0099
"2","7bea1e0a49808e5a0cf6a6666129da31",1,3,2,0,12,2,"ebola",0.999950000000015,0.430753968253968,0.758958333333333,43.070325,-4.33240833333333,0.666666666666667,0.0989583333333333,-0.0833333333333333,2,54,0.0099
"3","7bea1e0a49808e5a0cf6a6666129da31",1,3,2,0,12,3,"ebola",0.999950000000015,0.18239220787974,0.885408333333333,1772.23987083333,-26.087925,0.666666666666667,0.0989583333333333,-0.0833333333333333,2,54,0.0099
"4","7bea1e0a49808e5a0cf6a6666129da31",1,3,3,0,12,4,"ebola",0.999950000000015,0.0626921472758048,0.9153,93337.4552708333,-163.487533333333,0.5,0.1171875,0,2,54,0.0099
"5","7bea1e0a49808e5a0cf6a6666129da31",2,4,2,5,12,1,"ebola",0.775988930538743,1,0.133408333333333,0.526858333333333,-0.199791666666667,0.666666666666667,0.0810185185185185,1.38777878078145e-17,2,54,0.1234
"6","7bea1e0a49808e5a0cf6a6666129da31",2,4,2,5,12,2,"ebola",0.478532791590456,1,0.2693,2.01171666666667,-0.583083333333333,0.666666666666667,0.0810185185185185,1.38777878078145e-17,2,54,0.1234
"7","7bea1e0a49808e5a0cf6a6666129da31",2,4,3,5,12,3,"ebola",0.994755007616673,0.625,0.3418,19.7148875,-1.65756666666667,0.5,0.107638888888889,0.0833333333333333,2,54,0.1234
"8","7bea1e0a49808e5a0cf6a6666129da31",2,4,7,5,12,4,"ebola",0.999950000000015,0.5,0.276333333333333,303.586970833333,-4.967925,0,0.251929012345679,0.416666666666667,2,54,0.1234
"9","7bea1e0a49808e5a0cf6a6666129da31",3,6,2,0,12,1,"ebola",0.57691554402932,1,0.0565083333333333,0.340625,-0.086175,0.666666666666667,0.0810185185185185,1.38777878078145e-17,2,54,0.1358
"10","7bea1e0a49808e5a0cf6a6666129da31",3,6,3,0,12,2,"ebola",0.288801487648402,1,0.076,0.7143375,-0.177183333333333,0.5,0.107638888888889,0.0833333333333333,2,54,0.1358
"11","7bea1e0a49808e5a0cf6a6666129da31",3,6,7,0,12,3,"ebola",0.878566146662054,1,-0.0548666666666667,2.21105833333333,-0.19255,0,0.251929012345679,0.416666666666667,2,54,0.1358
"12","7bea1e0a49808e5a0cf6a6666129da31",3,6,12,0,12,4,"ebola",0.954708313384449,0.916666666666667,-0.111891666666667,8.24283194444445,-0.54095,-0.333333333333333,0.498456790123457,0.833333333333333,2,54,0.1358
"13","7bea1e0a49808e5a0cf6a6666129da31",4,8,3,0,12,1,"ebola",0.796673702572781,1,-0.0143166666666667,0.3714875,-0.016325,0.5,0.107638888888889,0.0833333333333333,2,54,0.1169
"14","7bea1e0a49808e5a0cf6a6666129da31",4,8,7,0,12,2,"ebola",0.712651794092127,1,-0.170975,0.7058375,0.147791666666667,0,0.251929012345679,0.416666666666667,2,54,0.1169
"15","7bea1e0a49808e5a0cf6a6666129da31",4,8,12,0,12,3,"ebola",0.541291852966572,1,-0.265116666666667,1.3253875,0.282566666666667,-0.333333333333333,0.498456790123457,0.833333333333333,2,54,0.1169
"16","7bea1e0a49808e5a0cf6a6666129da31",4,8,24,0,12,4,"ebola",0.985903737788313,0.958333333333333,-0.475983333333333,3.75336708333333,0.721608333333333,-0.833333333333333,1.21300154320988,1.83333333333333,2,54,0.1169
"17","7bea1e0a49808e5a0cf6a6666129da31",5,11,7,2,12,1,"ebola",0.999939017636405,1,-0.196883333333333,0.5282125,0.213775,0,0.247426697530864,0.4,2,54,0.0619
"18","7bea1e0a49808e5a0cf6a6666129da31",5,11,12,2,12,2,"ebola",0.997765626759772,1,-0.3371,0.748230555555556,0.482641666666667,-0.333333333333333,0.489058641975309,0.816666666666667,2,54,0.0619
"19","7bea1e0a49808e5a0cf6a6666129da31",5,11,24,2,12,3,"ebola",0.993148776029344,1,-0.593791666666667,1.25988347222222,1.215925,-0.833333333333333,1.19538927469136,1.81666666666667,2,54,0.0619
"20","7bea1e0a49808e5a0cf6a6666129da31",6,18,12,4,12,1,"ebola",0.702865154427425,0.625,-0.173241666666667,0.843747222222222,0.226508333333333,-0.333333333333333,0.454861111111111,0.75,2,54,0.0019
"21","7bea1e0a49808e5a0cf6a6666129da31",6,18,24,4,12,2,"ebola",0.901856797479992,0.5,-0.442733333333333,1.08035333333333,0.902475,-0.833333333333333,1.12717013888889,1.75,2,54,0.0019
"22","7bea1e0a49808e5a0cf6a6666129da31",7,30,24,0,12,1,"ebola",0.743351707856697,0.513888888888889,-0.301333333333333,1.01678694444444,0.603158333333333,-0.833333333333333,1.0250070861678,1.64285714285714,3,54,0
