"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","7e619a18ac4271e68f7de1536834f9fe",1,1,3,11,12,1,"ebola",0.577104191267245,1,-0.0479583333333334,0.319458333333333,0.0979166666666667,0.666666666666667,0.142843364197531,0.166666666666667,2,31,0.4468
"2","7e619a18ac4271e68f7de1536834f9fe",1,1,1,11,12,2,"ebola",0.523833014508287,1,0.1504,2.8493875,-0.458825,0.833333333333333,0.0413773148148148,1.15535294005487e-18,2,31,0.4468
"3","7e619a18ac4271e68f7de1536834f9fe",1,1,2,11,12,3,"ebola",0.999802056028523,1,0.186808333333333,101.2400375,-2.48040833333333,0.666666666666667,0.0758101851851852,0.0833333333333333,2,31,0.4468
"4","7e619a18ac4271e68f7de1536834f9fe",1,1,4,11,12,4,"ebola",0.999950000000015,1,0.198066666666667,4338.009725,-14.6016,0.5,0.177276234567901,0.25,2,31,0.4468
"5","7e619a18ac4271e68f7de1536834f9fe",2,4,1,3,12,1,"ebola",0.632045318987112,0.833333333333333,0.365516666666667,1.48167083333333,-0.612875,0.833333333333333,0.0543981481481482,-0.0833333333333333,2,31,0.0141
"6","7e619a18ac4271e68f7de1536834f9fe",2,4,2,3,12,2,"ebola",0.999949998748608,0.430555555555556,0.624683333333333,25.3035833333333,-2.688075,0.666666666666667,0.0810185185185185,1.38777878078145e-17,2,31,0.0141
"7","7e619a18ac4271e68f7de1536834f9fe",2,4,4,3,12,3,"ebola",NA,0.245899470899471,0.751258333333333,780.702375,-12.7971083333333,0.5,0.172067901234568,0.166666666666667,2,31,0.0141
"8","7e619a18ac4271e68f7de1536834f9fe",2,4,4,3,12,4,"ebola",0.999950000000015,0.143254119069336,0.844033333333333,34226.4568583333,-67.8552916666667,0.5,0.172067901234568,0.166666666666667,2,31,0.0141
"9","7e619a18ac4271e68f7de1536834f9fe",3,5,2,7,12,1,"ebola",0.766017891604319,1,0.105516666666667,0.4619125,-0.1572,0.666666666666667,0.0778677983539095,0.0277777777777778,2,31,0.1545
"10","7e619a18ac4271e68f7de1536834f9fe",3,5,4,7,12,2,"ebola",0.633478505935997,1,0.0836666666666667,1.19940138888889,-0.190375,0.5,0.172475137174211,0.194444444444444,2,31,0.1545
"11","7e619a18ac4271e68f7de1536834f9fe",3,5,4,7,12,3,"ebola",0.915560577242519,1,0.202483333333333,8.03320833333333,-0.774633333333333,0.5,0.172475137174211,0.194444444444444,2,31,0.1545
"12","7e619a18ac4271e68f7de1536834f9fe",3,5,6,7,12,4,"ebola",0.999940753111767,0.75,0.1873,92.5840444444444,-2.16193333333333,0.166666666666667,0.231052812071331,0.361111111111111,2,31,0.1545
"13","7e619a18ac4271e68f7de1536834f9fe",4,7,4,8,12,1,"ebola",0.953332633248828,1,-0.0537,0.392945833333333,0.093675,0.5,0.172248746141975,0.1875,2,31,0.2284
"14","7e619a18ac4271e68f7de1536834f9fe",4,7,4,8,12,2,"ebola",0.717795530952436,1,-0.020925,0.545875,0.02845,0.5,0.172248746141975,0.1875,2,31,0.2284
"15","7e619a18ac4271e68f7de1536834f9fe",4,7,6,8,12,3,"ebola",0.398768308990033,1,-0.102475,1.08608194444444,0.0162333333333333,0.166666666666667,0.229504243827161,0.354166666666667,2,31,0.2284
"16","7e619a18ac4271e68f7de1536834f9fe",4,7,10,8,12,4,"ebola",0.952782924745296,1,-0.207125,3.14805694444444,0.00765000000000001,-0.166666666666667,0.416956018518519,0.6875,2,31,0.2284
"17","7e619a18ac4271e68f7de1536834f9fe",5,11,4,2,12,1,"ebola",0.211023361788092,1,0.0519666666666667,0.569233333333333,-0.0507666666666667,0.5,0.172461419753086,0.15,2,31,0.0586
"18","7e619a18ac4271e68f7de1536834f9fe",5,11,6,2,12,2,"ebola",0.879292888891103,1,-0.018725,0.817405555555556,-0.036525,0.166666666666667,0.222438271604938,0.316666666666667,2,31,0.0586
"19","7e619a18ac4271e68f7de1536834f9fe",5,11,10,2,12,3,"ebola",0.925351701797629,1,-0.102583333333333,1.44377361111111,0.00638333333333334,-0.166666666666667,0.400185185185185,0.65,2,31,0.0586
"20","7e619a18ac4271e68f7de1536834f9fe",6,15,6,2,12,1,"ebola",0.999950000000015,1,-0.0491916666666667,0.616320833333333,0.0417083333333333,0.166666666666667,0.218942901234568,0.291666666666667,2,31,0.0215
"21","7e619a18ac4271e68f7de1536834f9fe",6,15,10,2,12,2,"ebola",0.999950000000015,1,-0.177983333333333,0.819198611111111,0.227,-0.166666666666667,0.390046296296296,0.625,2,31,0.0215
"22","7e619a18ac4271e68f7de1536834f9fe",7,21,10,0,12,1,"ebola",0.999950000000015,1,-0.172483333333333,0.74075,0.237608333333333,-0.166666666666667,0.375,0.583333333333333,2,31,0.0046
