"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","8c1bb055d470e4d1c1827cae3875e745",1,1,7,11,12,1,"ebola",0.941288599305939,1,-0.367191666666667,0.399252777777778,0.425408333333333,0,0.280574845679012,0.5,2,166,0.44
"2","8c1bb055d470e4d1c1827cae3875e745",1,1,6,11,12,2,"ebola",0.918774916934184,1,-0.097125,2.66245277777778,-0.062275,0.333333333333333,0.278742283950617,0.416666666666667,2,166,0.44
"3","8c1bb055d470e4d1c1827cae3875e745",1,1,6,11,12,3,"ebola",0.999945002655075,1,-0.00886666666666665,79.385925,-2.2717,0.166666666666667,0.246141975308642,0.416666666666667,2,166,0.44
"4","8c1bb055d470e4d1c1827cae3875e745",1,1,16,11,12,4,"ebola",0.999950000000015,1,-0.0848416666666666,2247.77599375,-14.3370166666667,-0.166666666666667,0.883873456790123,1.25,2,166,0.44
"5","8c1bb055d470e4d1c1827cae3875e745",2,8,6,0,12,1,"ebola",0.666878144171117,0.569444444444444,0.4565,4.51187361111111,-1.19053333333333,0.333333333333333,0.265432098765432,0.166666666666667,2,166,5e-04
"6","8c1bb055d470e4d1c1827cae3875e745",2,8,6,0,12,2,"ebola",0.999950000000015,0.494345238095238,0.834425,67.4251652777778,-5.86288333333333,0.166666666666667,0.216049382716049,0.166666666666667,2,166,5e-04
"7","8c1bb055d470e4d1c1827cae3875e745",2,8,16,0,12,3,"ebola",NA,0.337732923394688,0.880666666666667,1127.02707708333,-25.3135666666667,-0.166666666666667,0.753086419753086,1,2,166,5e-04
"8","8c1bb055d470e4d1c1827cae3875e745",2,8,23,0,12,4,"ebola",0.999950000000015,0.206689144921059,0.926558333333333,29190.0468816667,-120.035266666667,-1,0.951234567901235,1.58333333333333,2,166,5e-04
"9","8c1bb055d470e4d1c1827cae3875e745",3,14,6,2,12,1,"ebola",0.951541523089314,0.5,0.336975,1.85267638888889,-0.66815,0.166666666666667,0.222565157750343,0.111111111111111,2,166,0.0013
"10","8c1bb055d470e4d1c1827cae3875e745",3,14,16,2,12,2,"ebola",0.999667246043052,0.611111111111111,0.241333333333333,4.00028402777778,-0.791866666666667,-0.166666666666667,0.734396433470508,0.944444444444444,2,166,0.0013
"11","8c1bb055d470e4d1c1827cae3875e745",3,14,23,2,12,3,"ebola",0.999950000000015,0.502777777777778,0.355891666666667,10.6105636111111,-2.346875,-1,0.899777091906722,1.52777777777778,2,166,0.0013
"12","8c1bb055d470e4d1c1827cae3875e745",3,14,34,2,12,4,"ebola",0.999950000000015,0.424801587301587,0.435533333333333,45.5729130555556,-6.13953333333333,-1,1.63425925925926,2.44444444444444,2,166,0.0013
"13","8c1bb055d470e4d1c1827cae3875e745",4,20,16,1,12,1,"ebola",0.878922935185918,0.5,-0.175608333333333,1.23218055555556,0.488158333333333,-0.166666666666667,0.726466049382716,0.916666666666667,2,166,0.004
"14","8c1bb055d470e4d1c1827cae3875e745",4,20,23,1,12,2,"ebola",0.897351516977615,0.5,-0.330991666666667,1.03565166666667,0.683525,-1,0.874961419753086,1.5,2,166,0.004
"15","8c1bb055d470e4d1c1827cae3875e745",4,20,34,1,12,3,"ebola",0.999601651445697,0.555555555555556,-0.402125,1.48829597222222,0.949716666666667,-1,1.60208333333333,2.41666666666667,2,166,0.004
"16","8c1bb055d470e4d1c1827cae3875e745",4,20,73,1,12,4,"ebola",0.999950000000015,0.555555555555556,-0.644316666666667,3.36761382305195,3.11408333333333,-1,4.59060859086901,5.66666666666667,2,166,0.004
"17","8c1bb055d470e4d1c1827cae3875e745",5,36,23,0,12,1,"ebola",0.999950000000015,0.597222222222222,-0.0541083333333333,1.15281805555556,0.116966666666667,-1,0.726444444444444,1.31666666666667,3,166,0
"18","8c1bb055d470e4d1c1827cae3875e745",5,36,34,0,12,2,"ebola",0.995017212671761,0.716666666666667,0.057475,1.70318291666667,-0.315558333333333,-1,1.40133333333333,2.23333333333333,3,166,0
"19","8c1bb055d470e4d1c1827cae3875e745",5,36,73,0,12,3,"ebola",0.806725972108501,0.617460317460317,-0.237266666666667,2.87857859217172,0.830716666666667,-1,4.31780375180375,5.48333333333333,3,166,0
"20","8c1bb055d470e4d1c1827cae3875e745",6,59,34,0,12,1,"ebola",0.999042348217795,0.733333333333333,0.06235,1.42489027777778,-0.2428,-1,1.18755787037037,2.01388888888889,3,166,0
"21","8c1bb055d470e4d1c1827cae3875e745",6,59,73,0,12,2,"ebola",0.999950000000015,0.670634920634921,-0.299908333333333,2.05752201298701,1.20375,-1,4.00626528526557,5.26388888888889,3,166,0
"22","8c1bb055d470e4d1c1827cae3875e745",7,93,73,0,12,1,"ebola",0.999950000000015,0.758333333333333,-0.442708333333333,1.81562713474026,1.78281666666667,-0.833333333333333,3.62259091001119,4.97619047619048,3,166,0
