"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","9101feb87ec9f064b53f16761b84e8bf",1,2,1,3,12,1,"ebola",0.135290142508067,1,0.257466666666667,0.9109125,-0.399591666666667,0.833333333333333,0.0543981481481482,-0.0833333333333333,2,50,0.0729
"2","9101feb87ec9f064b53f16761b84e8bf",1,2,3,3,12,2,"ebola",0.999670423656748,0.527777777777778,0.435233333333333,14.366525,-1.884825,0.5,0.107638888888889,0.0833333333333333,2,50,0.0729
"3","9101feb87ec9f064b53f16761b84e8bf",1,2,3,3,12,3,"ebola",0.999950000000015,0.265277777777778,0.655483333333333,488.652272222222,-10.8793416666667,0.666666666666667,0.145447530864198,0.0833333333333333,2,50,0.0729
"4","9101feb87ec9f064b53f16761b84e8bf",1,2,4,3,12,4,"ebola",NA,0.107602766242472,0.69755,25654.5040916667,-63.5325416666667,0.333333333333333,0.134259259259259,0.166666666666667,2,50,0.0729
"5","9101feb87ec9f064b53f16761b84e8bf",2,3,3,8,12,1,"ebola",0.157800067379656,1,-0.0525,0.33315,0.0258833333333333,0.5,0.107421875,0.125,2,50,0.2729
"6","9101feb87ec9f064b53f16761b84e8bf",2,3,3,8,12,2,"ebola",0.260963084021541,1,0.093975,1.00282361111111,-0.179525,0.666666666666667,0.142578125,0.125,2,50,0.2729
"7","9101feb87ec9f064b53f16761b84e8bf",2,3,4,8,12,3,"ebola",0.780230897832444,1,0.0762166666666667,9.541225,-0.767258333333333,0.333333333333333,0.138020833333333,0.208333333333333,2,50,0.2729
"8","9101feb87ec9f064b53f16761b84e8bf",2,3,5,8,12,4,"ebola",0.999949999983455,1,0.121933333333333,146.756,-2.88363333333333,0.166666666666667,0.168619791666667,0.291666666666667,2,50,0.2729
"9","9101feb87ec9f064b53f16761b84e8bf",3,6,3,1,12,1,"ebola",0.507677564465469,1,0.113333333333333,0.535147222222222,-0.116533333333333,0.666666666666667,0.145447530864198,0.0833333333333333,2,50,0.0613
"10","9101feb87ec9f064b53f16761b84e8bf",3,6,4,1,12,2,"ebola",0.529006454854511,1,0.15645,1.388075,-0.38545,0.333333333333333,0.134259259259259,0.166666666666667,2,50,0.0613
"11","9101feb87ec9f064b53f16761b84e8bf",3,6,5,1,12,3,"ebola",0.879379485188938,0.5,0.279441666666667,6.07955,-1.09341666666667,0.166666666666667,0.16087962962963,0.25,2,50,0.0613
"12","9101feb87ec9f064b53f16761b84e8bf",3,6,13,1,12,4,"ebola",0.99994999961376,0.472222222222222,0.163475,35.7694430555556,-2.3496,-0.333333333333333,0.572337962962963,0.916666666666667,2,50,0.0613
"13","9101feb87ec9f064b53f16761b84e8bf",4,9,4,0,12,1,"ebola",0.732434731107099,1,-0.001625,0.530495833333333,-0.055825,0.333333333333333,0.133463541666667,0.145833333333333,2,50,0.0355
"14","9101feb87ec9f064b53f16761b84e8bf",4,9,5,0,12,2,"ebola",0.732104465616975,0.916666666666667,0.122766666666667,1.13453333333333,-0.31455,0.166666666666667,0.158040364583333,0.229166666666667,2,50,0.0355
"15","9101feb87ec9f064b53f16761b84e8bf",4,9,13,0,12,3,"ebola",0.852317138598147,0.5,-0.041875,3.03421319444444,-0.232508333333333,-0.333333333333333,0.560302734375,0.895833333333333,2,50,0.0355
"16","9101feb87ec9f064b53f16761b84e8bf",4,9,19,0,12,4,"ebola",0.999949510686293,0.5,-0.0791416666666667,9.09536875,-0.945541666666667,-1,0.7958984375,1.39583333333333,2,50,0.0355
"17","9101feb87ec9f064b53f16761b84e8bf",5,13,5,2,12,1,"ebola",0.324953566523867,1,0.070725,0.729204166666667,-0.172708333333333,0.166666666666667,0.155219907407407,0.2,2,50,0.0152
"18","9101feb87ec9f064b53f16761b84e8bf",5,13,13,2,12,2,"ebola",0.384734415431188,0.625,-0.166316666666667,1.19915486111111,0.224483333333333,-0.333333333333333,0.544334490740741,0.866666666666667,2,50,0.0152
"19","9101feb87ec9f064b53f16761b84e8bf",5,13,19,2,12,3,"ebola",0.967897905483,0.5,-0.270441666666667,1.52152430555556,0.207108333333333,-1,0.766782407407407,1.36666666666667,2,50,0.0152
"20","9101feb87ec9f064b53f16761b84e8bf",6,18,13,1,12,1,"ebola",0.999950000000015,1,-0.28245,0.833320833333333,0.472858333333333,-0.333333333333333,0.52734375,0.833333333333333,2,50,0.0049
"21","9101feb87ec9f064b53f16761b84e8bf",6,18,19,1,12,2,"ebola",0.999949999999951,0.583333333333333,-0.478641666666667,0.769297916666667,0.734308333333333,-1,0.734375,1.33333333333333,2,50,0.0049
"22","9101feb87ec9f064b53f16761b84e8bf",7,31,19,1,12,1,"ebola",0.834671949754941,0.5,-0.168591666666667,0.803573611111111,0.216541666666667,-1,0.62619283824641,1.21428571428571,3,50,0
