"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","93930d4b4650c36514b44785e205b3a7",1,1,1,11,12,1,"ebola",0.530501410386613,1,0.049075,0.245925,-0.0739333333333333,0.833333333333333,0.0413773148148148,1.15535294005487e-18,2,63,0.4381
"2","93930d4b4650c36514b44785e205b3a7",1,1,3,11,12,2,"ebola",0.781956717890413,1,0.070525,2.69709305555556,-0.306783333333333,0.666666666666667,0.142843364197531,0.166666666666667,2,63,0.4381
"3","93930d4b4650c36514b44785e205b3a7",1,1,7,11,12,3,"ebola",0.99987266046548,1,0.0474,56.1616069444444,-2.12660833333333,0.333333333333333,0.345775462962963,0.5,2,63,0.4381
"4","93930d4b4650c36514b44785e205b3a7",1,1,6,11,12,4,"ebola",0.999950000000015,1,0.103408333333333,3671.08176805556,-14.55275,0.166666666666667,0.246141975308642,0.416666666666667,2,63,0.4381
"5","93930d4b4650c36514b44785e205b3a7",2,2,3,9,12,1,"ebola",0.914984257437643,1,-0.0483583333333333,0.293365277777778,0.106675,0.666666666666667,0.142843364197531,0.166666666666667,2,63,0.4057
"6","93930d4b4650c36514b44785e205b3a7",2,2,7,9,12,2,"ebola",0.950332594392492,1,-0.162091666666667,0.872333333333333,0.275875,0.333333333333333,0.345775462962963,0.5,2,63,0.4057
"7","93930d4b4650c36514b44785e205b3a7",2,2,6,9,12,3,"ebola",0.806098129790498,1,-0.1046,18.3949069444444,-0.4312,0.166666666666667,0.246141975308642,0.416666666666667,2,63,0.4057
"8","93930d4b4650c36514b44785e205b3a7",2,2,10,9,12,4,"ebola",0.999949999999916,1,-0.0906333333333333,702.772581666667,-2.75295833333333,0,0.501234567901235,0.75,2,63,0.4057
"9","93930d4b4650c36514b44785e205b3a7",3,5,7,6,12,1,"ebola",0.999950000000015,1,-0.0588083333333333,0.688430555555556,0.165633333333333,0.333333333333333,0.332400977366255,0.444444444444444,2,63,0.0869
"10","93930d4b4650c36514b44785e205b3a7",3,5,6,6,12,2,"ebola",0.999949999974562,0.916666666666667,0.0763,2.11405138888889,-0.347133333333333,0.166666666666667,0.231052812071331,0.361111111111111,2,63,0.0869
"11","93930d4b4650c36514b44785e205b3a7",3,5,10,6,12,3,"ebola",0.916175824057546,0.5,0.163533333333333,14.8201675,-1.23105,0,0.477914951989026,0.694444444444444,2,63,0.0869
"12","93930d4b4650c36514b44785e205b3a7",3,5,14,6,12,4,"ebola",0.999945716173203,0.458333333333333,0.157433333333333,161.824601388889,-4.44678333333333,-0.5,0.631099965706447,1.02777777777778,2,63,0.0869
"13","93930d4b4650c36514b44785e205b3a7",4,12,6,0,12,1,"ebola",0.809295696435669,0.666666666666667,0.181941666666667,1.42915833333333,-0.395183333333333,0.166666666666667,0.215277777777778,0.25,2,63,7e-04
"14","93930d4b4650c36514b44785e205b3a7",4,12,10,0,12,2,"ebola",0.99905482165639,0.597222222222222,0.415766666666667,5.4598275,-1.23123333333333,0,0.444444444444444,0.583333333333333,2,63,7e-04
"15","93930d4b4650c36514b44785e205b3a7",4,12,14,0,12,3,"ebola",0.999950000000015,0.494444444444444,0.54725,27.3732427777778,-3.43849166666667,-0.5,0.560763888888889,0.916666666666667,2,63,7e-04
"16","93930d4b4650c36514b44785e205b3a7",4,12,21,0,12,4,"ebola",0.999950000000015,0.414781746031746,0.644558333333333,135.832215972222,-9.20695833333333,-0.833333333333333,0.901041666666667,1.5,2,63,7e-04
"17","93930d4b4650c36514b44785e205b3a7",5,18,10,3,12,1,"ebola",0.746255555302813,0.5,0.17295,1.63012888888889,-0.2581,0,0.435111111111111,0.533333333333333,2,63,2e-04
"18","93930d4b4650c36514b44785e205b3a7",5,18,14,3,12,2,"ebola",0.370032843748107,0.555555555555556,0.176683333333333,2.57862055555556,-0.538866666666667,-0.5,0.533722222222222,0.866666666666667,2,63,2e-04
"19","93930d4b4650c36514b44785e205b3a7",5,18,21,3,12,3,"ebola",0.997363989121046,0.625,0.206,4.22102569444444,-1.18935833333333,-0.833333333333333,0.854166666666667,1.45,2,63,2e-04
"20","93930d4b4650c36514b44785e205b3a7",6,28,14,1,12,1,"ebola",0.999747029852634,0.5,0.0442,1.37717277777778,-0.0827583333333333,-0.5,0.492712620027435,0.777777777777778,3,63,1e-04
"21","93930d4b4650c36514b44785e205b3a7",6,28,21,1,12,2,"ebola",0.984137189221741,0.597222222222222,-0.0349666666666667,1.34336041666667,-0.110641666666667,-0.833333333333333,0.775977366255144,1.36111111111111,2,63,1e-04
"22","93930d4b4650c36514b44785e205b3a7",7,42,21,1,12,1,"ebola",0.988243594677538,0.583333333333333,-0.088775,1.09163819444444,0.0543833333333334,-0.833333333333333,0.6875,1.25,3,63,0
