"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","97a374ff239aa2f47223a18be3e0a043",1,1,1,11,12,1,"ebola",0.995155457035022,1,0.0442166666666667,0.2333,-0.0674333333333333,0.833333333333333,0.0413773148148148,1.15309418552885e-18,2,77,0.4642
"2","97a374ff239aa2f47223a18be3e0a043",1,1,2,11,12,2,"ebola",0.682870627948626,1,0.0671,2.47437083333333,-0.349408333333333,0.666666666666667,0.0758101851851852,0.0833333333333333,2,77,0.4642
"3","97a374ff239aa2f47223a18be3e0a043",1,1,6,11,12,3,"ebola",0.999216675898617,1,-0.0745166666666667,67.7135583333333,-1.88788333333333,0,0.213541666666667,0.416666666666667,2,77,0.4642
"4","97a374ff239aa2f47223a18be3e0a043",1,1,7,11,12,4,"ebola",0.999950000000015,1,0.07245,2910.16485833333,-12.077975,0.166666666666667,0.313175154320988,0.5,2,77,0.4642
"5","97a374ff239aa2f47223a18be3e0a043",2,2,2,5,12,1,"ebola",0.999950000000015,1,-0.0237833333333333,0.267579166666667,0.00328333333333334,0.666666666666667,0.0758101851851852,0.0833333333333333,2,77,0.3196
"6","97a374ff239aa2f47223a18be3e0a043",2,2,6,5,12,2,"ebola",0.999943235730239,1,-0.2215,1.17825416666667,0.081325,0,0.213541666666667,0.416666666666667,2,77,0.3196
"7","97a374ff239aa2f47223a18be3e0a043",2,2,7,5,12,3,"ebola",0.741701632640316,1,-0.0236833333333334,21.4799263888889,-0.807991666666667,0.166666666666667,0.313175154320988,0.5,2,77,0.3196
"8","97a374ff239aa2f47223a18be3e0a043",2,2,12,5,12,4,"ebola",0.999950000000015,1,-0.0915583333333333,536.934966666667,-4.572625,-0.333333333333333,0.55054012345679,0.916666666666667,2,77,0.3196
"9","97a374ff239aa2f47223a18be3e0a043",3,4,6,10,12,1,"ebola",0.999949954204643,1,-0.272025,0.386833333333333,0.2492,0,0.203703703703704,0.388888888888889,2,77,0.2349
"10","97a374ff239aa2f47223a18be3e0a043",3,4,7,10,12,2,"ebola",0.999757304098066,1,-0.1556,0.871670833333333,0.180041666666667,0.166666666666667,0.304183813443073,0.472222222222222,2,77,0.2349
"11","97a374ff239aa2f47223a18be3e0a043",3,4,12,10,12,3,"ebola",0.985676470831713,1,-0.277766666666667,3.90880416666667,0.129016666666667,-0.333333333333333,0.532235939643347,0.888888888888889,2,77,0.2349
"12","97a374ff239aa2f47223a18be3e0a043",3,4,20,10,12,4,"ebola",0.95651148324015,1,-0.355758333333333,51.1921034722222,-0.49895,-0.666666666666667,1.01886145404664,1.55555555555556,2,77,0.2349
"13","97a374ff239aa2f47223a18be3e0a043",4,10,7,4,12,1,"ebola",0.993305999601969,0.666666666666667,0.106591666666667,1.18818333333333,-0.2139,0.166666666666667,0.281997492283951,0.375,2,77,0.0075
"14","97a374ff239aa2f47223a18be3e0a043",4,10,12,4,12,2,"ebola",0.53058336577573,0.5,0.116775,2.54940694444444,-0.513483333333333,-0.333333333333333,0.475597993827161,0.791666666666667,2,77,0.0075
"15","97a374ff239aa2f47223a18be3e0a043",4,10,20,4,12,3,"ebola",0.995253090111363,0.472222222222222,0.158483333333333,11.1523854166667,-1.52743333333333,-0.666666666666667,0.929337866512346,1.45833333333333,2,77,0.0075
"16","97a374ff239aa2f47223a18be3e0a043",4,10,28,4,12,4,"ebola",0.999950000000015,0.423611111111111,0.251483333333333,57.1848640277778,-4.88300833333333,-1,1.40132860725309,2.125,2,77,0.0075
"17","97a374ff239aa2f47223a18be3e0a043",5,17,12,3,12,1,"ebola",0.940782135877038,0.5,-0.05855,1.06874166666667,0.0142916666666667,-0.333333333333333,0.439799382716049,0.716666666666667,2,77,9e-04
"18","97a374ff239aa2f47223a18be3e0a043",5,17,20,3,12,2,"ebola",0.995711481035262,0.513888888888889,-0.120475,1.72372916666667,0.0877166666666667,-0.666666666666667,0.866286651234568,1.38333333333333,2,77,9e-04
"19","97a374ff239aa2f47223a18be3e0a043",5,17,28,3,12,3,"ebola",0.999950000000026,0.625,-0.0431583333333333,2.93634069444444,-0.404041666666667,-1,1.31336072530864,2.05,2,77,9e-04
"20","97a374ff239aa2f47223a18be3e0a043",6,29,20,1,12,1,"ebola",0.950608157044027,0.555555555555556,-0.11725,1.35926527777778,0.141466666666667,-0.666666666666667,0.77667797282236,1.26388888888889,3,77,0
"21","97a374ff239aa2f47223a18be3e0a043",6,29,28,1,12,2,"ebola",0.999949734003927,0.680555555555556,-0.0075,1.50430652777778,-0.175683333333333,-1,1.18097324031207,1.93055555555556,3,77,0
"22","97a374ff239aa2f47223a18be3e0a043",7,49,28,1,12,1,"ebola",0.9460693571481,0.701388888888889,0.0818666666666667,1.38982486111111,-0.319975,-1,0.998832947530864,1.75,3,77,0
