"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","9813dc6b47f24c73e2464315e6ac6ca0",1,2,8,5,12,1,"ebola",0.790045077874789,1,-0.165125,0.863277777777778,0.16485,0,0.316358024691358,0.5,2,435,0.106
"2","9813dc6b47f24c73e2464315e6ac6ca0",1,2,13,5,12,2,"ebola",0.969047836512926,0.583333333333333,-0.00250833333333334,8.51969583333333,-1.10189166666667,-0.5,0.525077160493827,0.916666666666667,2,435,0.106
"3","9813dc6b47f24c73e2464315e6ac6ca0",1,2,19,5,12,3,"ebola",NA,0.308333333333333,0.197258333333333,283.478026388889,-10.1550833333333,-0.666666666666667,0.905979938271605,1.41666666666667,2,435,0.106
"4","9813dc6b47f24c73e2464315e6ac6ca0",1,2,39,5,12,4,"ebola",0.999950000000015,0.1436537999038,0.207733333333333,9178.86549847222,-66.3184666666667,-0.833333333333333,2.3412037037037,3.08333333333333,2,435,0.106
"5","9813dc6b47f24c73e2464315e6ac6ca0",2,10,13,2,12,1,"ebola",0.999862524964924,0.611111111111111,0.373775,3.08676388888889,-1.12236666666667,-0.5,0.392843364197531,0.666666666666667,3,435,0
"6","9813dc6b47f24c73e2464315e6ac6ca0",2,10,19,2,12,2,"ebola",0.999950000000015,0.529413179413179,0.789083333333333,46.7900880555556,-6.70251666666667,-0.666666666666667,0.717235725308642,1.16666666666667,3,435,0
"7","9813dc6b47f24c73e2464315e6ac6ca0",2,10,39,2,12,3,"ebola",NA,0.412841801664145,0.873583333333333,871.826734345238,-31.1776166666667,-0.833333333333333,2.0426421957672,2.83333333333333,3,435,0
"8","9813dc6b47f24c73e2464315e6ac6ca0",2,10,65,2,12,4,"ebola",0.999950000000015,0.275924879996305,0.92695,17042.8768647851,-150.400375,-1,3.9397916207378,5,3,435,0
"9","9813dc6b47f24c73e2464315e6ac6ca0",3,23,19,0,12,1,"ebola",0.859333291096521,0.701388888888889,0.358108333333333,2.58737958333333,-1.01496666666667,-0.666666666666667,0.600037508573388,0.944444444444445,3,435,0
"10","9813dc6b47f24c73e2464315e6ac6ca0",3,23,39,0,12,2,"ebola",0.999949759297271,0.633531746031746,0.478908333333333,7.95557678571429,-2.70259166666667,-0.833333333333333,1.80998493533216,2.61111111111111,3,435,0
"11","9813dc6b47f24c73e2464315e6ac6ca0",3,23,65,0,12,3,"ebola",0.999950000000015,0.598938323386853,0.69625,29.7652052414021,-8.723725,-1,3.61594821163205,4.77777777777778,3,435,0
"12","9813dc6b47f24c73e2464315e6ac6ca0",3,23,100,0,12,4,"ebola",0.999950000000015,0.523663983886624,0.79695,202.982234950397,-26.3292666666667,-1,6.38021363834925,7.69444444444444,3,435,0
"13","9813dc6b47f24c73e2464315e6ac6ca0",4,42,39,0,12,1,"ebola",0.998070166479824,0.709722222222222,-0.0979416666666667,1.95127140873016,0.21565,-0.833333333333333,1.59654017857143,2.375,3,435,0
"14","9813dc6b47f24c73e2464315e6ac6ca0",4,42,65,0,12,2,"ebola",0.999950000000015,0.662400793650794,-0.00922500000000001,1.97574116071429,-0.19425,-1,3.29108537946429,4.54166666666667,3,435,0
"15","9813dc6b47f24c73e2464315e6ac6ca0",4,42,100,0,12,3,"ebola",0.999950000000015,0.649155011655012,0.177175,5.99160138017076,-2.16733333333333,-1,6.00827541599026,7.45833333333333,3,435,0
"16","9813dc6b47f24c73e2464315e6ac6ca0",4,42,189,0,12,4,"ebola",NA,0.596828438688884,0.106525,13.7361569545455,-4.20185833333333,-1,13.2245701028445,14.875,3,435,0
"17","9813dc6b47f24c73e2464315e6ac6ca0",5,81,65,0,12,1,"ebola",0.999949999999801,0.732738095238095,0.052125,1.5173931547619,-0.306116666666667,-1,2.69753133267196,4.06666666666667,3,435,0
"18","9813dc6b47f24c73e2464315e6ac6ca0",5,81,100,0,12,2,"ebola",0.999950000000015,0.769044844044844,0.310975,3.70330287878788,-2.11904166666667,-1,5.30085124308562,6.98333333333333,3,435,0
"19","9813dc6b47f24c73e2464315e6ac6ca0",5,81,189,0,12,3,"ebola",NA,0.745543548186905,0.267125,5.66325582431022,-3.27884166666667,-1,12.4027646984415,14.4,3,435,0
"20","9813dc6b47f24c73e2464315e6ac6ca0",6,146,100,0,12,1,"ebola",0.996272282995018,0.792132867132867,0.170016666666667,2.33844127074315,-0.928833333333333,-1,4.3858681775686,6.30555555555556,3,435,0
"21","9813dc6b47f24c73e2464315e6ac6ca0",6,146,189,0,12,2,"ebola",0.999920297284557,0.80091610530852,0.0780666666666667,2.55833739785487,-0.491666666666667,-1,11.2800394824461,13.7222222222222,3,435,0
"22","9813dc6b47f24c73e2464315e6ac6ca0",7,246,189,0,12,1,"ebola",0.999950000000015,0.817688806291747,-0.264633333333333,1.9126291905861,1.94631666666667,-1,9.8787249866369,12.8214285714286,3,435,0
