"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","9a68947386c6a318f742945fe7989389",1,2,3,3,12,1,"ebola",0.998947698765283,1,0.125216666666667,0.8277375,-0.252941666666667,0.5,0.107638888888889,0.0833333333333333,2,305,0.0802
"2","9a68947386c6a318f742945fe7989389",1,2,9,3,12,2,"ebola",0.370196741138409,0.527777777777778,0.225025,12.0497625,-1.53151666666667,0,0.380787037037037,0.583333333333333,2,305,0.0802
"3","9a68947386c6a318f742945fe7989389",1,2,14,3,12,3,"ebola",NA,0.255555555555556,0.335383333333333,338.226594444444,-11.133325,-0.666666666666667,0.551697530864197,1,2,305,0.0802
"4","9a68947386c6a318f742945fe7989389",1,2,27,3,12,4,"ebola",NA,0.105112133237133,0.389416666666667,11828.2007594444,-70.6112,-0.833333333333333,1.44976851851852,2.08333333333333,2,305,0.0802
"5","9a68947386c6a318f742945fe7989389",2,5,9,1,12,1,"ebola",0.481317239366829,0.958333333333333,-0.133658333333333,0.824883333333333,0.172658333333333,0,0.367549189814815,0.541666666666667,2,305,0.0281
"6","9a68947386c6a318f742945fe7989389",2,5,14,1,12,2,"ebola",0.986732327949164,0.5,-0.0478666666666666,2.63964305555556,-0.400116666666667,-0.666666666666667,0.520592206790123,0.958333333333333,2,305,0.0281
"7","9a68947386c6a318f742945fe7989389",2,5,27,1,12,3,"ebola",0.999950000000015,0.326388888888889,0.0560583333333333,27.9773569444444,-2.50518333333333,-0.833333333333333,1.40519386574074,2.04166666666667,2,305,0.0281
"8","9a68947386c6a318f742945fe7989389",2,5,45,1,12,4,"ebola",0.999950000000015,0.194642857142857,0.132441666666667,376.739079583333,-12.3931083333333,-1,2.70781410751029,3.54166666666667,2,305,0.0281
"9","9a68947386c6a318f742945fe7989389",3,14,14,1,12,1,"ebola",0.85917769791809,0.569444444444444,0.184,1.58788194444444,-0.56115,-0.666666666666667,0.406978737997257,0.777777777777778,3,305,0
"10","9a68947386c6a318f742945fe7989389",3,14,27,1,12,2,"ebola",0.999950000000015,0.579563492063492,0.459633333333333,8.74622722222222,-2.46108333333333,-0.833333333333333,1.22775205761317,1.86111111111111,3,305,0
"11","9a68947386c6a318f742945fe7989389",3,14,45,1,12,3,"ebola",0.999950000000015,0.490229215229215,0.664141666666667,63.4475615277778,-9.455125,-1,2.46697816643804,3.36111111111111,3,305,0
"12","9a68947386c6a318f742945fe7989389",3,14,74,1,12,4,"ebola",0.999950000000015,0.386214868706869,0.741375,594.687051785714,-32.9208666666667,-1,4.71523899340257,5.77777777777778,3,305,0
"13","9a68947386c6a318f742945fe7989389",4,28,27,0,12,1,"ebola",0.818748810279506,0.6875,0.0778333333333333,1.80401916666667,-0.177133333333333,-0.833333333333333,1.06521990740741,1.66666666666667,3,305,0
"14","9a68947386c6a318f742945fe7989389",4,28,45,0,12,2,"ebola",0.99989233595271,0.660714285714286,0.252133333333333,3.41120625,-1.07843333333333,-1,2.22631815843621,3.16666666666667,3,305,0
"15","9a68947386c6a318f742945fe7989389",4,28,74,0,12,3,"ebola",0.999950000000015,0.613798701298701,0.358466666666667,11.365968098545,-3.7153,-1,4.42412459582598,5.58333333333333,3,305,0
"16","9a68947386c6a318f742945fe7989389",4,28,131,0,12,4,"ebola",0.999950000000015,0.552145093549556,0.394308333333333,36.2087720460095,-9.804625,-1,8.97667500966112,10.3333333333333,3,305,0
"17","9a68947386c6a318f742945fe7989389",5,55,45,0,12,1,"ebola",0.996494035455186,0.733333333333333,0.162766666666667,2.03451643518519,-0.372616666666667,-1,1.85887988683128,2.83333333333333,3,305,0
"18","9a68947386c6a318f742945fe7989389",5,55,74,0,12,2,"ebola",0.999950000000015,0.719270081770082,0.2507,4.03097974867725,-1.51655833333333,-1,3.95483447236919,5.25,3,305,0
"19","9a68947386c6a318f742945fe7989389",5,55,131,0,12,3,"ebola",0.999950000000015,0.704194192245663,0.29675,6.89342713837089,-3.51179166666667,-1,8.41549699014977,10,3,305,0
"20","9a68947386c6a318f742945fe7989389",6,100,74,0,12,1,"ebola",0.997462372378442,0.721891534391534,0.068025,2.47705360780423,-0.349358333333333,-1,3.35436303808217,4.77777777777778,3,305,0
"21","9a68947386c6a318f742945fe7989389",6,100,131,0,12,2,"ebola",0.999950000000015,0.788378288378288,0.0756916666666666,2.52291920718171,-0.660816666666667,-1,7.65489023436554,9.52777777777778,3,305,0
"22","9a68947386c6a318f742945fe7989389",7,174,131,0,12,1,"ebola",0.95710712610488,0.803121878121878,-0.130233333333333,1.76533481391294,0.717508333333333,-1,6.62679133980154,8.84523809523809,3,305,0
