"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","9d9d8d35be7ea0e5d4330b8d3d02b978",1,2,1,0,12,1,"ebola",0.243491171958701,1,0.234925,0.773791666666667,-0.353258333333333,0.833333333333333,0.0543981481481482,-0.0833333333333333,2,152,0.0707
"2","9d9d8d35be7ea0e5d4330b8d3d02b978",1,2,6,0,12,2,"ebola",0.999093389956611,0.527777777777778,0.288466666666667,11.0165291666667,-1.61355833333333,0,0.1875,0.333333333333333,2,152,0.0707
"3","9d9d8d35be7ea0e5d4330b8d3d02b978",1,2,6,0,12,3,"ebola",0.999950000000015,0.251388888888889,0.548408333333333,437.247954166667,-11.037575,0,0.1875,0.333333333333333,2,152,0.0707
"4","9d9d8d35be7ea0e5d4330b8d3d02b978",1,2,13,0,12,4,"ebola",0.999950000000015,0.0937887684211214,0.556325,15776.3501527778,-68.1835583333333,-0.5,0.534529320987654,0.916666666666667,2,152,0.0707
"5","9d9d8d35be7ea0e5d4330b8d3d02b978",2,3,6,4,12,1,"ebola",0.999949999757994,1,-0.253075,0.414691666666667,0.221583333333333,0,0.19921875,0.375,2,152,0.1814
"6","9d9d8d35be7ea0e5d4330b8d3d02b978",2,3,6,4,12,2,"ebola",0.9643642851803,1,-0.0818833333333333,1.83159583333333,-0.171508333333333,0,0.19921875,0.375,2,152,0.1814
"7","9d9d8d35be7ea0e5d4330b8d3d02b978",2,3,13,4,12,3,"ebola",0.721268756905129,1,-0.161658333333333,30.0169104166667,-1.045525,-0.5,0.562825520833333,0.958333333333333,2,152,0.1814
"8","9d9d8d35be7ea0e5d4330b8d3d02b978",2,3,22,4,12,4,"ebola",0.999950000000015,0.5,-0.152791666666667,1320.14132361111,-6.43271666666667,-0.666666666666667,1.17044270833333,1.70833333333333,2,152,0.1814
"9","9d9d8d35be7ea0e5d4330b8d3d02b978",3,9,6,0,12,1,"ebola",0.88108330777413,0.583333333333333,0.212691666666667,1.31316666666667,-0.468433333333333,0,0.171875,0.25,2,152,0.0023
"10","9d9d8d35be7ea0e5d4330b8d3d02b978",3,9,13,0,12,2,"ebola",0.996300435970047,0.555555555555556,0.31735,5.46728541666667,-1.31679166666667,-0.5,0.483940972222222,0.833333333333333,2,152,0.0023
"11","9d9d8d35be7ea0e5d4330b8d3d02b978",3,9,22,0,12,3,"ebola",0.999950000000015,0.425,0.417091666666667,61.3078161111111,-4.57683333333333,-0.666666666666667,1.05815972222222,1.58333333333333,2,152,0.0023
"12","9d9d8d35be7ea0e5d4330b8d3d02b978",3,9,38,0,12,4,"ebola",0.999950000000015,0.317676767676768,0.510441666666667,351.518026527778,-15.3459583333333,-0.833333333333333,2.16254340277778,2.91666666666667,2,152,0.0023
"13","9d9d8d35be7ea0e5d4330b8d3d02b978",4,15,13,0,12,1,"ebola",0.999950000000015,0.5,-0.0961666666666667,0.9725625,0.107308333333333,-0.5,0.451253255208333,0.770833333333333,2,152,7e-04
"14","9d9d8d35be7ea0e5d4330b8d3d02b978",4,15,22,0,12,2,"ebola",0.999930140087478,0.541666666666667,-0.11535,2.45304777777778,0.136333333333333,-0.666666666666667,1.00745442708333,1.52083333333333,2,152,7e-04
"15","9d9d8d35be7ea0e5d4330b8d3d02b978",4,15,38,0,12,3,"ebola",0.927282963168714,0.611111111111111,-0.139125,3.723310625,0.02655,-0.833333333333333,2.08837076822917,2.85416666666667,2,152,7e-04
"16","9d9d8d35be7ea0e5d4330b8d3d02b978",4,15,64,0,12,4,"ebola",0.999869266087115,0.45,-0.197691666666667,11.5608457473545,-0.73635,-1,4.007177734375,5.02083333333333,2,152,7e-04
"17","9d9d8d35be7ea0e5d4330b8d3d02b978",5,28,22,0,12,1,"ebola",0.999949744073105,0.583333333333333,-0.0761833333333333,1.92621083333333,0.129133333333333,-0.666666666666667,0.897876543209877,1.36666666666667,3,152,0
"18","9d9d8d35be7ea0e5d4330b8d3d02b978",5,28,38,0,12,2,"ebola",0.962294499977109,0.6875,-0.1088,1.97614680555556,0.247891666666667,-0.833333333333333,1.91601234567901,2.7,3,152,0
"19","9d9d8d35be7ea0e5d4330b8d3d02b978",5,28,64,0,12,3,"ebola",0.996875819064107,0.617063492063492,-0.148208333333333,2.61592597883598,0.227216666666667,-1,3.7731722516167,4.86666666666667,3,152,0
"20","9d9d8d35be7ea0e5d4330b8d3d02b978",6,50,38,1,12,1,"ebola",0.999950000000015,0.722222222222222,-0.09745,1.84738041666667,0.258591666666667,-0.833333333333333,1.68896658521948,2.47222222222222,3,152,0
"21","9d9d8d35be7ea0e5d4330b8d3d02b978",6,50,64,1,12,2,"ebola",0.999950000000015,0.647222222222222,-0.223375,1.52200151455026,0.773441666666667,-1,3.44252681225096,4.63888888888889,3,152,0
"22","9d9d8d35be7ea0e5d4330b8d3d02b978",7,88,64,0,12,1,"ebola",0.97392210425337,0.732936507936508,-0.155658333333333,1.20805640873016,0.555666666666667,-1,2.96544754586138,4.28571428571429,3,152,0
