"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","9f0d1cca8d7f454e5b160c0cebec8823",1,4,3,2,12,1,"ebola",0.999788339941019,0.625,0.501583333333333,3.48918333333333,-1.131825,0.5,0.138888888888889,-0.0833333333333333,2,142,0.0019
"2","9f0d1cca8d7f454e5b160c0cebec8823",1,4,4,2,12,2,"ebola",0.999950000000015,0.467240860990861,0.859583333333333,108.303583333333,-7.11764166666667,0.5,0.197530864197531,3.23769873758484e-17,2,142,0.0019
"3","9f0d1cca8d7f454e5b160c0cebec8823",1,4,11,2,12,3,"ebola",NA,0.256693186879107,0.904533333333333,3541.31274861111,-42.7318416666667,-0.333333333333333,0.361111111111111,0.583333333333333,2,142,0.0019
"4","9f0d1cca8d7f454e5b160c0cebec8823",1,4,11,2,12,4,"ebola",0.999950000000015,0.124355944378315,0.94925,197004.798884722,-270.478325,-0.166666666666667,0.410493827160494,0.583333333333333,2,142,0.0019
"5","9f0d1cca8d7f454e5b160c0cebec8823",2,7,4,1,12,1,"ebola",0.699029377412153,0.791666666666667,0.245908333333333,1.28434722222222,-0.413041666666667,0.5,0.186680169753086,0.0416666666666666,2,142,0.0149
"6","9f0d1cca8d7f454e5b160c0cebec8823",2,7,11,1,12,2,"ebola",0.997807672451184,0.5,0.140508333333333,4.61191388888889,-0.766741666666667,-0.333333333333333,0.376085069444444,0.625,2,142,0.0149
"7","9f0d1cca8d7f454e5b160c0cebec8823",2,7,11,1,12,3,"ebola",0.999950000000015,0.347222222222222,0.422283333333333,70.5487041666667,-3.53364166666667,-0.166666666666667,0.422429591049383,0.625,2,142,0.0149
"8","9f0d1cca8d7f454e5b160c0cebec8823",2,7,21,1,12,4,"ebola",0.999950000000015,0.25297619047619,0.438433333333333,824.244291666667,-11.4634083333333,-0.666666666666667,0.954523533950617,1.45833333333333,2,142,0.0149
"9","9f0d1cca8d7f454e5b160c0cebec8823",3,11,11,3,12,1,"ebola",0.999950000000015,0.958333333333333,-0.225033333333333,0.754445833333333,0.290425,-0.333333333333333,0.37085262345679,0.611111111111111,2,142,0.0155
"10","9f0d1cca8d7f454e5b160c0cebec8823",3,11,11,3,12,2,"ebola",0.999949984245495,0.5,-0.012725,1.67873472222222,-0.117441666666667,-0.166666666666667,0.418199159807956,0.611111111111111,2,142,0.0155
"11","9f0d1cca8d7f454e5b160c0cebec8823",3,11,21,3,12,3,"ebola",0.964780389682934,0.5,-0.0898416666666667,3.0449375,-0.101333333333333,-0.666666666666667,0.943780006858711,1.44444444444444,2,142,0.0155
"12","9f0d1cca8d7f454e5b160c0cebec8823",3,11,28,3,12,4,"ebola",0.939865452410611,0.333333333333333,-0.0455166666666667,10.2302468055556,-1.14003333333333,-0.833333333333333,1.35193115569273,2.02777777777778,2,142,0.0155
"13","9f0d1cca8d7f454e5b160c0cebec8823",4,22,11,0,12,1,"ebola",0.931417273595262,0.513888888888889,0.20895,2.11710972222222,-0.533283333333333,-0.166666666666667,0.388286072530864,0.458333333333333,3,142,1e-04
"14","9f0d1cca8d7f454e5b160c0cebec8823",4,22,21,0,12,2,"ebola",0.999773901184163,0.638888888888889,0.20445,3.06705069444444,-0.722541666666667,-0.666666666666667,0.837625385802469,1.29166666666667,3,142,1e-04
"15","9f0d1cca8d7f454e5b160c0cebec8823",4,22,28,0,12,3,"ebola",0.999950000000015,0.541666666666667,0.358616666666667,8.33850138888889,-2.13935833333333,-0.833333333333333,1.20237750771605,1.875,3,142,1e-04
"16","9f0d1cca8d7f454e5b160c0cebec8823",4,22,60,0,12,4,"ebola",0.999950000000015,0.49537037037037,0.243508333333333,20.8461298214286,-3.32930833333333,-1,3.53188898533951,4.54166666666667,2,142,1e-04
"17","9f0d1cca8d7f454e5b160c0cebec8823",5,33,21,2,12,1,"ebola",0.999945102540003,0.5,-0.100608333333333,1.41360208333333,0.24595,-0.666666666666667,0.784513888888889,1.2,3,142,2e-04
"18","9f0d1cca8d7f454e5b160c0cebec8823",5,33,28,2,12,2,"ebola",0.999285583902341,0.666666666666667,-0.148325,1.59475958333333,0.233116666666667,-0.833333333333333,1.12092361111111,1.78333333333333,3,142,2e-04
"19","9f0d1cca8d7f454e5b160c0cebec8823",5,33,60,2,12,3,"ebola",0.999950000000015,0.555555555555556,-0.358608333333333,2.55135478174603,1.82696666666667,-1,3.40671775793651,4.45,2,142,2e-04
"20","9f0d1cca8d7f454e5b160c0cebec8823",6,54,28,0,12,1,"ebola",0.994546828402425,0.6875,-0.0355166666666667,1.56522055555556,-0.031475,-0.833333333333333,0.964756944444444,1.58333333333333,3,142,0
"21","9f0d1cca8d7f454e5b160c0cebec8823",6,54,60,0,12,2,"ebola",0.999946409047803,0.675,-0.183666666666667,2.17315343253968,1.25205833333333,-1,3.14592013888889,4.25,3,142,0
"22","9f0d1cca8d7f454e5b160c0cebec8823",7,82,60,0,12,1,"ebola",0.937517203460184,0.770833333333333,-0.22745,1.96650615079365,1.45614166666667,-1,2.87130248263326,4.02380952380952,3,142,0
