"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","a20160a3f9db90599e7fca6504c9e292",1,2,0,3,12,1,"ebola",0.407566528040955,1,0.347941666666667,1.016275,-0.513758333333333,1,0.0277777777777778,-0.166666666666667,2,2,0.0849
"2","a20160a3f9db90599e7fca6504c9e292",1,2,0,3,12,2,"ebola",0.999949997726362,0.472222222222222,0.600466666666667,21.3158333333333,-2.39446666666667,1,0.0277777777777778,-0.166666666666667,2,2,0.0849
"3","a20160a3f9db90599e7fca6504c9e292",1,2,0,3,12,3,"ebola",NA,0.241666666666667,0.72765,837.700108333333,-13.042125,1,0.0277777777777778,-0.166666666666667,2,2,0.0849
"4","a20160a3f9db90599e7fca6504c9e292",1,2,0,3,12,4,"ebola",0.999950000000015,0.0911432657756187,0.787141666666667,39996.7700333333,-77.6765666666667,1,0.0277777777777778,-0.166666666666667,2,2,0.0849
"5","a20160a3f9db90599e7fca6504c9e292",2,2,0,15,12,1,"ebola",0.0979109528035438,1,0.080575,0.104025,-0.0878083333333333,1,0.00694444444444444,-0.0833333333333333,2,2,0.6056
"6","a20160a3f9db90599e7fca6504c9e292",2,2,0,15,12,2,"ebola",0.519176429630351,1,0.100766666666667,0.279666666666667,-0.13915,1,0.00694444444444444,-0.0833333333333333,2,2,0.6056
"7","a20160a3f9db90599e7fca6504c9e292",2,2,0,15,12,3,"ebola",0.672768735841158,1,0.144125,2.3589,-0.3392,1,0.00694444444444444,-0.0833333333333333,2,2,0.6056
"8","a20160a3f9db90599e7fca6504c9e292",2,2,0,15,12,4,"ebola",0.93041448757375,1,0.181158333333333,36.47835,-0.9802,1,0.00694444444444444,-0.0833333333333333,2,2,0.6056
"9","a20160a3f9db90599e7fca6504c9e292",3,2,0,27,12,1,"ebola",0.719304047685438,1,0.0166583333333333,0.0180416666666667,-0.0171083333333333,1,0.00308641975308642,-0.0555555555555556,2,2,0.8995
"10","a20160a3f9db90599e7fca6504c9e292",3,2,0,27,12,2,"ebola",0.67927032035612,1,0.0180583333333333,0.0288416666666667,-0.0209583333333333,1,0.00308641975308642,-0.0555555555555556,2,2,0.8995
"11","a20160a3f9db90599e7fca6504c9e292",3,2,0,27,12,3,"ebola",0.762870234695233,1,0.0266416666666667,0.141508333333333,-0.0430916666666667,1,0.00308641975308642,-0.0555555555555556,2,2,0.8995
"12","a20160a3f9db90599e7fca6504c9e292",3,2,0,27,12,4,"ebola",0.965513922462634,1,0.037025,1.56859166666667,-0.111841666666667,1,0.00308641975308642,-0.0555555555555556,2,2,0.8995
"13","a20160a3f9db90599e7fca6504c9e292",4,2,0,39,12,1,"ebola",0.742525789352785,1,0.00240833333333333,0.00243333333333333,-0.00241666666666667,1,0.00173611111111111,-0.0416666666666667,2,2,0.9851
"14","a20160a3f9db90599e7fca6504c9e292",4,2,0,39,12,2,"ebola",0.0872336454124848,1,0.00215833333333332,0.00271666666666667,-0.00233333333333333,1,0.00173611111111111,-0.0416666666666667,2,2,0.9851
"15","a20160a3f9db90599e7fca6504c9e292",4,2,0,39,12,3,"ebola",0.859273180521053,1,0.00330833333333332,0.008475,-0.00445833333333333,1,0.00173611111111111,-0.0416666666666667,2,2,0.9851
"16","a20160a3f9db90599e7fca6504c9e292",4,2,0,39,12,4,"ebola",0.910288339261241,1,0.00471666666666665,0.0513666666666667,-0.00953333333333333,1,0.00173611111111111,-0.0416666666666667,2,2,0.9851
"17","a20160a3f9db90599e7fca6504c9e292",5,2,0,51,12,1,"ebola",0.773496775060645,1,0.000358333333333294,0.000358333333333333,-0.000358333333333333,1,0.00111111111111111,-0.0333333333333333,2,2,0.998
"18","a20160a3f9db90599e7fca6504c9e292",5,2,0,51,12,2,"ebola",0.676406578620583,1,0.000258333333333305,0.000258333333333333,-0.000258333333333333,1,0.00111111111111111,-0.0333333333333333,2,2,0.998
"19","a20160a3f9db90599e7fca6504c9e292",5,2,0,51,12,3,"ebola",0.935707338169045,1,0.000341666666666629,0.000366666666666667,-0.00035,1,0.00111111111111111,-0.0333333333333333,2,2,0.998
"20","a20160a3f9db90599e7fca6504c9e292",6,2,0,63,12,1,"ebola",0.890948193136884,1,4.99999999999945e-05,5e-05,-5e-05,1,0.000771604938271605,-0.0277777777777778,2,2,0.9998
"21","a20160a3f9db90599e7fca6504c9e292",6,2,0,63,12,2,"ebola",0.927106647106951,1,7.49999999999917e-05,0.000125,-9.16666666666667e-05,1,0.000771604938271605,-0.0277777777777778,2,2,0.9998
"22","a20160a3f9db90599e7fca6504c9e292",7,2,0,75,12,1,"ebola",0.849619008057299,1,1.66666666666648e-05,1.66666666666667e-05,-1.66666666666667e-05,1,0.000566893424036281,-0.0238095238095238,2,2,0.9998
