"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","a3b02ed95d5989c313146ad10cbca08f",1,1,6,11,12,1,"ebola",0.999950000000015,1,-0.282508333333333,0.379881944444444,0.339591666666667,0.166666666666667,0.246141975308642,0.416666666666667,2,345,0.4232
"2","a3b02ed95d5989c313146ad10cbca08f",1,1,6,11,12,2,"ebola",0.999950000000015,1,-0.143491666666667,2.39287777777778,-0.073875,0.166666666666667,0.246141975308642,0.416666666666667,2,345,0.4232
"3","a3b02ed95d5989c313146ad10cbca08f",1,1,21,11,12,3,"ebola",0.239896038584703,1,-0.409283333333333,34.90152875,-1.044425,-0.666666666666667,1.12449845679012,1.66666666666667,2,345,0.4232
"4","a3b02ed95d5989c313146ad10cbca08f",1,1,24,11,12,4,"ebola",0.999950000000015,1,-0.311825,1691.788375,-13.7132333333333,-0.833333333333333,1.31744791666667,1.91666666666667,2,345,0.4232
"5","a3b02ed95d5989c313146ad10cbca08f",2,7,6,0,12,1,"ebola",0.998097173465054,0.513888888888889,0.344516666666667,2.70380138888889,-0.810266666666667,0.166666666666667,0.214313271604938,0.208333333333333,2,345,0.001
"6","a3b02ed95d5989c313146ad10cbca08f",2,7,21,0,12,2,"ebola",0.999950000000015,0.511111111111111,0.400983333333333,15.0677126388889,-2.783375,-0.666666666666667,0.935985725308642,1.45833333333333,2,345,0.001
"7","a3b02ed95d5989c313146ad10cbca08f",2,7,24,0,12,3,"ebola",0.999950000000015,0.328725441225441,0.69815,401.2136575,-15.6093916666667,-0.833333333333333,1.1048828125,1.70833333333333,2,345,0.001
"8","a3b02ed95d5989c313146ad10cbca08f",2,7,46,0,12,4,"ebola",0.999950000000015,0.194334687979063,0.7277,7227.58136875,-71.3084083333333,-0.833333333333333,2.71807966820988,3.54166666666667,2,345,0.001
"9","a3b02ed95d5989c313146ad10cbca08f",3,13,21,1,12,1,"ebola",0.948160279773205,0.5,-0.342383333333333,1.0996325,0.662575,-0.666666666666667,0.882043038408779,1.38888888888889,2,345,0.0011
"10","a3b02ed95d5989c313146ad10cbca08f",3,13,24,1,12,2,"ebola",0.970034060054479,0.583333333333333,-0.0892583333333333,2.14144763888889,0.0203666666666667,-0.833333333333333,1.0419849537037,1.63888888888889,2,345,0.0011
"11","a3b02ed95d5989c313146ad10cbca08f",3,13,46,1,12,3,"ebola",0.999949975350804,0.533333333333333,-0.148583333333333,6.46661291666667,-0.192141666666667,-0.833333333333333,2.63087491426612,3.47222222222222,2,345,0.0011
"12","a3b02ed95d5989c313146ad10cbca08f",3,13,77,1,12,4,"ebola",0.999950000000015,0.415079365079365,-0.107983333333333,22.6664488293651,-2.15223333333333,-1,4.98429558249678,6.05555555555556,2,345,0.0011
"13","a3b02ed95d5989c313146ad10cbca08f",4,34,24,0,12,1,"ebola",0.825245560367937,0.705555555555556,0.3747,3.45088305555556,-1.24098333333333,-0.833333333333333,0.787174479166667,1.29166666666667,3,345,0
"14","a3b02ed95d5989c313146ad10cbca08f",4,34,46,0,12,2,"ebola",0.999950000000015,0.692848124098124,0.585291666666667,11.3545183333333,-3.61701666666667,-0.833333333333333,2.23544077932099,3.125,3,345,0
"15","a3b02ed95d5989c313146ad10cbca08f",4,34,77,0,12,3,"ebola",NA,0.64569016796184,0.72975,36.997664469697,-10.4310666666667,-1,4.45659702911222,5.70833333333333,3,345,0
"16","a3b02ed95d5989c313146ad10cbca08f",4,34,164,0,12,4,"ebola",0.999950000000015,0.574985751695315,0.732475,109.477047629598,-25.2439916666667,-1,11.4640725272508,12.9583333333333,3,345,0
"17","a3b02ed95d5989c313146ad10cbca08f",5,58,46,0,12,1,"ebola",0.922247128056278,0.761111111111111,0.015075,2.898765625,-0.213125,-0.833333333333333,1.98512654320988,2.86666666666667,3,345,0
"18","a3b02ed95d5989c313146ad10cbca08f",5,58,77,0,12,2,"ebola",0.99994999496059,0.712632275132275,0.115233333333333,3.06666500390813,-0.637933333333333,-1,4.088464282374,5.45,3,345,0
"19","a3b02ed95d5989c313146ad10cbca08f",5,58,164,0,12,3,"ebola",0.999950000000015,0.699245546120546,-0.201758333333333,3.52236213124802,1.06295,-1,11.0170450163259,12.7,3,345,0
"20","a3b02ed95d5989c313146ad10cbca08f",6,104,77,0,12,1,"ebola",0.999873840034669,0.708664021164021,-0.0234833333333333,2.08348039712602,0.294225,-1,3.46264125677706,4.97222222222222,3,345,0
"21","a3b02ed95d5989c313146ad10cbca08f",6,104,164,0,12,2,"ebola",0.999950000000015,0.777098827098827,-0.469583333333333,2.32972471050994,3.25571666666667,-1,10.2160823983159,12.2222222222222,3,345,0
"22","a3b02ed95d5989c313146ad10cbca08f",7,181,164,0,12,1,"ebola",0.999841084988291,0.804046879046879,-0.503733333333333,2.09924611649867,3.36356666666667,-1,9.08718659817108,11.5119047619048,3,345,0
