"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","a42b8d5410bf165017ea6c014c89fdee",1,1,2,11,12,1,"ebola",0.907957525980353,1,-0.0295916666666667,0.267241666666667,0.006375,0.666666666666667,0.0758101851851852,0.0833333333333333,2,97,0.4282
"2","a42b8d5410bf165017ea6c014c89fdee",1,1,1,11,12,2,"ebola",0.49541001039574,1,0.16595,2.6383375,-0.4803,0.833333333333333,0.0413773148148148,1.15535294005487e-18,2,97,0.4282
"3","a42b8d5410bf165017ea6c014c89fdee",1,1,4,11,12,3,"ebola",0.999950000000015,1,0.080675,84.05205,-2.4115,0.333333333333333,0.144675925925926,0.25,2,97,0.4282
"4","a42b8d5410bf165017ea6c014c89fdee",1,1,9,11,12,4,"ebola",0.999950000000015,1,0.0341583333333333,3088.37377361111,-14.5166166666667,0,0.422791280864197,0.666666666666667,2,97,0.4282
"5","a42b8d5410bf165017ea6c014c89fdee",2,3,1,2,12,1,"ebola",0.0658504585294192,1,0.176308333333333,0.4949375,-0.240916666666667,0.833333333333333,0.0462239583333333,-0.0416666666666667,2,97,0.133
"6","a42b8d5410bf165017ea6c014c89fdee",2,3,4,2,12,2,"ebola",0.890538606497015,1,0.153991666666667,3.62444583333333,-0.607425,0.333333333333333,0.138020833333333,0.208333333333333,2,97,0.133
"7","a42b8d5410bf165017ea6c014c89fdee",2,3,9,2,12,3,"ebola",0.999950000000015,0.5,0.185158333333333,68.0011958333333,-2.59575833333333,0,0.4052734375,0.625,2,97,0.133
"8","a42b8d5410bf165017ea6c014c89fdee",2,3,15,2,12,4,"ebola",0.999950000000015,0.388888888888889,0.214225,1428.13154583333,-12.806425,-0.333333333333333,0.73828125,1.125,2,97,0.133
"9","a42b8d5410bf165017ea6c014c89fdee",3,4,4,3,12,1,"ebola",0.169323959983149,1,-0.151908333333333,0.32145,0.132766666666667,0.333333333333333,0.139917695473251,0.222222222222222,2,97,0.2464
"10","a42b8d5410bf165017ea6c014c89fdee",3,4,9,3,12,2,"ebola",0.0136077973030158,1,-0.263383333333333,0.773589583333333,0.3955,0,0.410836762688615,0.638888888888889,2,97,0.2464
"11","a42b8d5410bf165017ea6c014c89fdee",3,4,15,3,12,3,"ebola",0.984151190977114,1,-0.35515,2.02563402777778,0.508,-0.333333333333333,0.747942386831276,1.13888888888889,2,97,0.2464
"12","a42b8d5410bf165017ea6c014c89fdee",3,4,21,3,12,4,"ebola",0.999708032005994,1,-0.4568,15.9898129166667,-0.000891666666666661,-0.833333333333333,1.06275720164609,1.63888888888889,2,97,0.2464
"13","a42b8d5410bf165017ea6c014c89fdee",4,8,9,3,12,1,"ebola",0.998940190735859,1,-0.1311,0.7761625,0.228258333333333,0,0.390239197530864,0.583333333333333,2,97,0.0299
"14","a42b8d5410bf165017ea6c014c89fdee",4,8,15,3,12,2,"ebola",0.942682269079024,0.666666666666667,-0.1849,1.33216875,0.290575,-0.333333333333333,0.710648148148148,1.08333333333333,2,97,0.0299
"15","a42b8d5410bf165017ea6c014c89fdee",4,8,21,3,12,3,"ebola",0.855702195953144,0.5,-0.182333333333333,5.52385263888889,-0.216583333333333,-0.833333333333333,1.00648148148148,1.58333333333333,2,97,0.0299
"16","a42b8d5410bf165017ea6c014c89fdee",4,8,44,3,12,4,"ebola",0.999948441953999,0.375,-0.340166666666667,23.9194623412698,-0.748216666666667,-1,2.65119598765432,3.5,2,97,0.0299
"17","a42b8d5410bf165017ea6c014c89fdee",5,17,15,1,12,1,"ebola",0.806919773210171,0.5,0.00313333333333335,1.29062569444444,-0.0309583333333333,-0.333333333333333,0.644050925925926,0.966666666666667,2,97,1e-04
"18","a42b8d5410bf165017ea6c014c89fdee",5,17,21,1,12,2,"ebola",0.999950000000015,0.625,0.159008333333333,3.42077722222222,-0.7647,-0.833333333333333,0.897009259259259,1.46666666666667,3,97,1e-04
"19","a42b8d5410bf165017ea6c014c89fdee",5,17,44,1,12,3,"ebola",0.999950000000015,0.541666666666667,0.0729416666666667,7.01558339285714,-1.45878333333333,-1,2.4846138117284,3.38333333333333,2,97,1e-04
"20","a42b8d5410bf165017ea6c014c89fdee",6,32,21,0,12,1,"ebola",0.943302798103986,0.652777777777778,0.12465,2.11694847222222,-0.461341666666667,-0.833333333333333,0.76522633744856,1.30555555555556,3,97,0
"21","a42b8d5410bf165017ea6c014c89fdee",6,32,44,0,12,2,"ebola",0.999697460432276,0.666666666666667,0.112316666666667,2.44699236111111,-0.674016666666667,-1,2.26502302567117,3.22222222222222,3,97,0
"22","a42b8d5410bf165017ea6c014c89fdee",7,53,44,0,12,1,"ebola",0.999950000000015,0.747222222222222,-0.1724,1.2188671031746,0.4925,-1,2.02595767308246,3.03571428571429,3,97,0
