"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","a752e0e364b08147b9e4faa9599fda9b",1,2,2,5,12,1,"ebola",0.999911648386982,1,0.20035,0.85995,-0.336916666666667,0.666666666666667,0.0810185185185185,1.38777878078145e-17,2,141,0.0935
"2","a752e0e364b08147b9e4faa9599fda9b",1,2,2,5,12,2,"ebola",0.688066104710524,0.583333333333333,0.473475,15.8369041666667,-1.95200833333333,0.666666666666667,0.0810185185185185,1.38777878078145e-17,2,141,0.0935
"3","a752e0e364b08147b9e4faa9599fda9b",1,2,8,5,12,3,"ebola",0.999950000000015,0.283333333333333,0.462925,419.134970833333,-10.3034833333333,0,0.325810185185185,0.5,2,141,0.0935
"4","a752e0e364b08147b9e4faa9599fda9b",1,2,15,5,12,4,"ebola",0.999950000000015,0.130459355459355,0.420583333333333,14222.8328527778,-61.7646416666667,-0.833333333333333,0.578317901234568,1.08333333333333,2,141,0.0935
"5","a752e0e364b08147b9e4faa9599fda9b",2,4,2,0,12,1,"ebola",0.645571499801077,1,0.0935083333333333,0.435441666666667,-0.141683333333333,0.666666666666667,0.0810185185185185,1.38777878078145e-17,2,141,0.1244
"6","a752e0e364b08147b9e4faa9599fda9b",2,4,8,0,12,2,"ebola",0.421151269176056,1,-0.0726333333333333,1.40214375,-0.022375,0,0.325810185185185,0.5,2,141,0.1244
"7","a752e0e364b08147b9e4faa9599fda9b",2,4,15,0,12,3,"ebola",0.999379808969555,0.708333333333333,-0.232691666666667,9.08594722222222,-0.539125,-0.833333333333333,0.578317901234568,1.08333333333333,2,141,0.1244
"8","a752e0e364b08147b9e4faa9599fda9b",2,4,20,0,12,4,"ebola",0.999950000000015,0.5,-0.0697916666666667,193.8549625,-3.646175,-0.666666666666667,0.966628086419753,1.5,2,141,0.1244
"9","a752e0e364b08147b9e4faa9599fda9b",3,6,8,2,12,1,"ebola",0.793052582951803,1,-0.249808333333333,0.527685416666667,0.358708333333333,0,0.325810185185185,0.5,2,141,0.1012
"10","a752e0e364b08147b9e4faa9599fda9b",3,6,15,2,12,2,"ebola",0.831430690194718,1,-0.541358333333333,0.717244444444444,0.686375,-0.833333333333333,0.578317901234568,1.08333333333333,2,141,0.1012
"11","a752e0e364b08147b9e4faa9599fda9b",3,6,20,2,12,3,"ebola",0.979334824184725,0.916666666666667,-0.398291666666667,2.36903125,0.575408333333333,-0.666666666666667,0.966628086419753,1.5,2,141,0.1012
"12","a752e0e364b08147b9e4faa9599fda9b",3,6,30,2,12,4,"ebola",0.999915780310779,0.5,-0.381966666666667,9.25868347222222,0.1715,-0.833333333333333,1.64683641975309,2.33333333333333,2,141,0.1012
"13","a752e0e364b08147b9e4faa9599fda9b",4,14,15,0,12,1,"ebola",0.87676485824734,0.541666666666667,-0.189508333333333,0.787980555555556,0.157766666666667,-0.833333333333333,0.477695794753086,0.958333333333333,2,141,5e-04
"14","a752e0e364b08147b9e4faa9599fda9b",4,14,20,0,12,2,"ebola",0.982998681493473,0.611111111111111,0.155875,3.56729652777778,-0.762258333333333,-0.666666666666667,0.859604070216049,1.375,3,141,5e-04
"15","a752e0e364b08147b9e4faa9599fda9b",4,14,30,0,12,3,"ebola",0.999950000000015,0.508333333333333,0.363916666666667,12.9393011111111,-2.82835,-0.833333333333333,1.50524209104938,2.20833333333333,2,141,5e-04
"16","a752e0e364b08147b9e4faa9599fda9b",4,14,62,0,12,4,"ebola",0.999950000000015,0.423072991822992,0.288258333333333,66.4413403869048,-7.1375,-1,3.90206226346634,4.875,2,141,5e-04
"17","a752e0e364b08147b9e4faa9599fda9b",5,29,20,0,12,1,"ebola",0.996828690246224,0.694444444444445,0.24805,2.66746527777778,-0.77055,-0.666666666666667,0.723740354938272,1.18333333333333,3,141,0
"18","a752e0e364b08147b9e4faa9599fda9b",5,29,30,0,12,2,"ebola",0.953833151443429,0.669246031746032,0.512,5.42162222222222,-2.23256666666667,-0.833333333333333,1.3095424382716,2.01666666666667,3,141,0
"19","a752e0e364b08147b9e4faa9599fda9b",5,29,62,0,12,3,"ebola",0.999950000000015,0.619916426166426,0.447133333333333,13.1873245568783,-4.33448333333333,-1,3.62033745774544,4.68333333333333,3,141,0
"20","a752e0e364b08147b9e4faa9599fda9b",6,49,30,0,12,1,"ebola",0.950979875270594,0.729166666666667,0.136275,1.90764902777778,-0.460183333333333,-0.833333333333333,1.13522751628944,1.81944444444444,3,141,0
"21","a752e0e364b08147b9e4faa9599fda9b",6,49,62,0,12,2,"ebola",0.987883874744314,0.687301587301587,-0.132841666666667,2.09021502645503,0.358341666666667,-1,3.34509888612295,4.48611111111111,3,141,0
"22","a752e0e364b08147b9e4faa9599fda9b",7,79,62,0,12,1,"ebola",0.999950000000015,0.768055555555556,-0.36965,1.61858800595238,1.32936666666667,-1,3.00505926604548,4.22619047619048,3,141,0
