"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","ad649f8a249dd35af215671fe4e33b14",1,1,1,11,12,1,"ebola",0.640124718902861,1,0.0467666666666667,0.235083333333333,-0.0701916666666667,0.833333333333333,0.0413773148148148,1.15761169458088e-18,2,51,0.4471
"2","ad649f8a249dd35af215671fe4e33b14",1,1,1,11,12,2,"ebola",0.363813544639498,1,0.15175,2.5355625,-0.4395,0.833333333333333,0.0413773148148148,1.15309418552885e-18,2,51,0.4471
"3","ad649f8a249dd35af215671fe4e33b14",1,1,3,11,12,3,"ebola",0.999638482341786,1,0.124558333333333,79.2153,-2.21919166666667,0.5,0.110243055555556,0.166666666666667,2,51,0.4471
"4","ad649f8a249dd35af215671fe4e33b14",1,1,6,11,12,4,"ebola",0.999950000000015,1,0.128975,3409.26338194444,-12.9368666666667,0.333333333333333,0.278742283950617,0.416666666666667,2,51,0.4471
"5","ad649f8a249dd35af215671fe4e33b14",2,2,1,2,12,1,"ebola",0.502661794622093,1,0.0455083333333334,0.214570833333333,-0.0633416666666667,0.833333333333333,0.0413773148148148,1.15309418552885e-18,2,51,0.2939
"6","ad649f8a249dd35af215671fe4e33b14",2,2,3,2,12,2,"ebola",0.551441862381168,1,0.0249583333333333,1.2870375,-0.1959,0.5,0.110243055555556,0.166666666666667,2,51,0.2939
"7","ad649f8a249dd35af215671fe4e33b14",2,2,6,2,12,3,"ebola",0.961086641503854,1,0.0693416666666667,23.597425,-1.07275,0.333333333333333,0.278742283950617,0.416666666666667,2,51,0.2939
"8","ad649f8a249dd35af215671fe4e33b14",2,2,8,2,12,4,"ebola",0.999950000000015,1,0.0449166666666667,778.745355555556,-5.95801666666667,-0.166666666666667,0.315007716049383,0.583333333333333,2,51,0.2939
"9","ad649f8a249dd35af215671fe4e33b14",3,3,3,6,12,1,"ebola",0.999950000000015,1,-0.0717333333333333,0.307004166666667,0.0502666666666667,0.5,0.110243055555556,0.166666666666667,2,51,0.2727
"10","ad649f8a249dd35af215671fe4e33b14",3,3,6,6,12,2,"ebola",0.999930253758894,1,-0.0901,0.951119444444444,0.107266666666667,0.333333333333333,0.278742283950617,0.416666666666667,2,51,0.2727
"11","ad649f8a249dd35af215671fe4e33b14",3,3,8,6,12,3,"ebola",0.556053942739203,1,-0.16175,5.40645,-0.289616666666667,-0.166666666666667,0.315007716049383,0.583333333333333,2,51,0.2727
"12","ad649f8a249dd35af215671fe4e33b14",3,3,10,6,12,4,"ebola",0.996479895977308,1,-0.0949333333333334,54.1820305555556,-1.83868333333333,-0.333333333333333,0.416473765432099,0.75,2,51,0.2727
"13","ad649f8a249dd35af215671fe4e33b14",4,6,6,4,12,1,"ebola",0.999950000000015,1,-0.0513583333333333,0.6492,0.115766666666667,0.333333333333333,0.26953125,0.375,2,51,0.0783
"14","ad649f8a249dd35af215671fe4e33b14",4,6,8,4,12,2,"ebola",0.999949999977355,1,-0.108366666666667,1.33755833333333,-0.04055,-0.166666666666667,0.295572916666667,0.541666666666667,2,51,0.0783
"15","ad649f8a249dd35af215671fe4e33b14",4,6,10,4,12,3,"ebola",0.994372319409629,0.583333333333333,0.0162666666666667,5.96915416666667,-0.683158333333333,-0.333333333333333,0.391927083333333,0.708333333333333,2,51,0.0783
"16","ad649f8a249dd35af215671fe4e33b14",4,6,21,4,12,4,"ebola",0.944455538050526,0.5,-0.118383333333333,40.5887625,-1.78259166666667,-0.833333333333333,1.044921875,1.625,2,51,0.0783
"17","ad649f8a249dd35af215671fe4e33b14",5,12,8,3,12,1,"ebola",0.99032548496095,0.666666666666667,-0.010875,0.933361111111111,-0.089925,-0.166666666666667,0.266666666666667,0.466666666666667,2,51,0.0087
"18","ad649f8a249dd35af215671fe4e33b14",5,12,10,3,12,2,"ebola",0.946786154969036,0.5,0.08665,1.83521805555556,-0.37765,-0.333333333333333,0.353333333333333,0.633333333333333,2,51,0.0087
"19","ad649f8a249dd35af215671fe4e33b14",5,12,21,3,12,3,"ebola",0.95071786846878,0.513888888888889,-0.0499166666666667,4.91777013888889,-0.446858333333333,-0.833333333333333,0.97,1.55,2,51,0.0087
"20","ad649f8a249dd35af215671fe4e33b14",6,20,10,3,12,1,"ebola",0.926210748332446,0.5,0.0273333333333333,1.05438194444444,-0.145625,-0.333333333333333,0.320901920438957,0.555555555555556,2,51,4e-04
"21","ad649f8a249dd35af215671fe4e33b14",6,20,21,3,12,2,"ebola",0.774629495380121,0.5,-0.239525,1.34094375,0.370433333333333,-0.833333333333333,0.897419410150892,1.47222222222222,2,51,4e-04
"22","ad649f8a249dd35af215671fe4e33b14",7,30,21,0,12,1,"ebola",0.823654427039698,0.5,-0.336441666666667,1.00705416666667,0.614533333333333,-0.833333333333333,0.828727324263039,1.39285714285714,2,51,1e-04
