"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","b9a7c2e40b1fada4f2071573cadbad89",1,3,3,1,12,1,"ebola",0.579624926590778,0.791666666666667,0.299725,1.4905875,-0.563358333333333,0.5,0.1171875,0,2,261,0.0265
"2","b9a7c2e40b1fada4f2071573cadbad89",1,3,9,1,12,2,"ebola",0.999950000000015,0.373611111111111,0.45715,26.4267472222222,-3.0046,0,0.356770833333333,0.5,2,261,0.0265
"3","b9a7c2e40b1fada4f2071573cadbad89",1,3,13,1,12,3,"ebola",NA,0.157309126059126,0.619958333333333,879.82914375,-19.0120166666667,-0.5,0.483940972222222,0.833333333333333,2,261,0.0265
"4","b9a7c2e40b1fada4f2071573cadbad89",1,3,19,1,12,4,"ebola",NA,0.0839176665986009,0.71775,41318.8435619841,-115.655158333333,-0.333333333333333,0.974330357142857,1.33333333333333,2,261,0.0265
"5","b9a7c2e40b1fada4f2071573cadbad89",2,6,9,2,12,1,"ebola",0.86471773271167,0.833333333333333,-0.0857,0.919679166666667,0.0928333333333333,0,0.356770833333333,0.5,2,261,0.0136
"6","b9a7c2e40b1fada4f2071573cadbad89",2,6,13,2,12,2,"ebola",0.999537286756469,0.486111111111111,0.07875,3.58824166666667,-0.624858333333333,-0.5,0.483940972222222,0.833333333333333,2,261,0.0136
"7","b9a7c2e40b1fada4f2071573cadbad89",2,6,19,2,12,3,"ebola",0.999950000000015,0.340277777777778,0.323266666666667,44.0953285714286,-3.30220833333333,-0.333333333333333,0.974330357142857,1.33333333333333,2,261,0.0136
"8","b9a7c2e40b1fada4f2071573cadbad89",2,6,43,2,12,4,"ebola",0.999950000000015,0.282539682539683,0.19645,260.700980555556,-11.7407916666667,-1,2.470703125,3.33333333333333,2,261,0.0136
"9","b9a7c2e40b1fada4f2071573cadbad89",3,15,13,0,12,1,"ebola",0.614172735834785,0.555555555555556,0.157433333333333,1.83673541666667,-0.466425,-0.5,0.406780478395062,0.666666666666667,3,261,0
"10","b9a7c2e40b1fada4f2071573cadbad89",3,15,19,0,12,2,"ebola",0.999924158239971,0.5875,0.472675,10.454421984127,-2.02105833333333,-0.333333333333333,0.894436177248677,1.16666666666667,3,261,0
"11","b9a7c2e40b1fada4f2071573cadbad89",3,15,43,0,12,3,"ebola",0.999950000000015,0.496693121693122,0.458791666666667,22.8542871527778,-5.110475,-1,2.24755497685185,3.16666666666667,3,261,0
"12","b9a7c2e40b1fada4f2071573cadbad89",3,15,60,0,12,4,"ebola",0.999950000000015,0.397324638868757,0.637333333333333,214.797869532967,-16.9306583333333,-1,3.59366308845475,4.58333333333333,3,261,0
"13","b9a7c2e40b1fada4f2071573cadbad89",4,28,19,0,12,1,"ebola",0.999591017233868,0.652777777777778,0.237966666666667,3.26089198412698,-0.536625,-0.333333333333333,0.846221891534392,1,3,261,0
"14","b9a7c2e40b1fada4f2071573cadbad89",4,28,43,0,12,2,"ebola",0.999950000000015,0.666666666666667,0.00275833333333334,2.10993451388889,-0.27865,-1,2.03817997685185,3,3,261,0
"15","b9a7c2e40b1fada4f2071573cadbad89",4,28,60,0,12,3,"ebola",0.999950000000015,0.613921957671958,0.279583333333333,9.57758935592186,-2.328025,-1,3.36670948650115,4.41666666666667,3,261,0
"16","b9a7c2e40b1fada4f2071573cadbad89",4,28,111,0,12,4,"ebola",NA,0.54778231028231,0.197741666666667,43.787688245597,-4.99670833333333,-0.833333333333333,7.52155352042505,8.66666666666667,3,261,0
"17","b9a7c2e40b1fada4f2071573cadbad89",5,47,43,0,12,1,"ebola",0.863578676191913,0.701388888888889,-0.348575,1.207376875,0.9534,-1,1.80511053240741,2.8,3,261,0
"18","b9a7c2e40b1fada4f2071573cadbad89",5,47,60,0,12,2,"ebola",0.994160037685216,0.654166666666667,-0.134958333333333,2.64046451770452,0.660433333333333,-1,3.10996752475919,4.21666666666667,3,261,0
"19","b9a7c2e40b1fada4f2071573cadbad89",5,47,111,0,12,3,"ebola",0.999950000000015,0.668650793650794,-0.361375,8.60113509194509,1.99825,-0.833333333333333,7.23925387870874,8.46666666666667,3,261,0
"20","b9a7c2e40b1fada4f2071573cadbad89",6,90,60,0,12,1,"ebola",0.999947910238348,0.725793650793651,0.157858333333333,3.2561706043956,-0.5541,-0.833333333333333,2.57709478021978,3.75,3,261,0
"21","b9a7c2e40b1fada4f2071573cadbad89",6,90,111,0,12,2,"ebola",0.999950000000015,0.761198523698524,0.00699166666666665,11.3141147409997,-0.555633333333333,-0.833333333333333,6.63493771853147,8,3,261,0
"22","b9a7c2e40b1fada4f2071573cadbad89",7,150,111,0,12,1,"ebola",0.99632815127519,0.780808080808081,-0.2187,8.34283623769749,0.850158333333333,-0.833333333333333,6.03507459802103,7.46428571428571,3,261,0
