"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","c0ad339d6b7b002b8e366e7366eebf91",1,1,1,11,12,1,"ebola",0.110106453107799,1,0.050875,0.256241666666667,-0.077425,0.833333333333333,0.0413773148148148,1.15309418552885e-18,2,72,0.434
"2","c0ad339d6b7b002b8e366e7366eebf91",1,1,5,11,12,2,"ebola",0.0732371723125217,1,-0.0753166666666667,2.80845277777778,-0.164533333333333,0.333333333333333,0.211709104938272,0.333333333333333,2,72,0.434
"3","c0ad339d6b7b002b8e366e7366eebf91",1,1,2,11,12,3,"ebola",0.999949996629206,1,0.206891666666667,98.4219583333333,-2.69315,0.666666666666667,0.0758101851851852,0.0833333333333333,2,72,0.434
"4","c0ad339d6b7b002b8e366e7366eebf91",1,1,8,11,12,4,"ebola",0.999950000000015,1,0.0379583333333333,3024.75628055556,-15.308425,0,0.347608024691358,0.583333333333333,2,72,0.434
"5","c0ad339d6b7b002b8e366e7366eebf91",2,2,5,5,12,1,"ebola",0.0808871416233351,1,-0.1997,0.358445833333333,0.257625,0.333333333333333,0.211709104938272,0.333333333333333,2,72,0.3296
"6","c0ad339d6b7b002b8e366e7366eebf91",2,2,2,5,12,2,"ebola",0.865984780873697,1,0.0822166666666667,1.16472916666667,-0.239958333333333,0.666666666666667,0.0758101851851852,0.0833333333333333,2,72,0.3296
"7","c0ad339d6b7b002b8e366e7366eebf91",2,2,8,5,12,3,"ebola",0.883439192758942,1,-0.103758333333333,14.125475,-0.650425,0,0.347608024691358,0.583333333333333,2,72,0.3296
"8","c0ad339d6b7b002b8e366e7366eebf91",2,2,9,5,12,4,"ebola",0.999950000000015,1,0.0613,450.116489583333,-4.41086666666667,0.166666666666667,0.455391589506173,0.666666666666667,2,72,0.3296
"9","c0ad339d6b7b002b8e366e7366eebf91",3,7,2,3,12,1,"ebola",0.998361018023051,0.625,0.416158333333333,1.70582916666667,-0.719075,0.666666666666667,0.0855838477366255,-0.0277777777777778,2,72,0.0063
"10","c0ad339d6b7b002b8e366e7366eebf91",3,7,8,3,12,2,"ebola",0.99993423658478,0.5,0.417416666666667,7.147675,-1.50779166666667,0,0.308170438957476,0.472222222222222,2,72,0.0063
"11","c0ad339d6b7b002b8e366e7366eebf91",3,7,9,3,12,3,"ebola",0.999950000000015,0.425,0.657091666666667,83.0211027777778,-5.363125,0.166666666666667,0.421226637517147,0.555555555555556,2,72,0.0063
"12","c0ad339d6b7b002b8e366e7366eebf91",3,7,17,3,12,4,"ebola",0.999950000000015,0.247829485329485,0.668408333333333,791.137977083333,-17.369725,-0.666666666666667,0.731218921467764,1.22222222222222,2,72,0.0063
"13","c0ad339d6b7b002b8e366e7366eebf91",4,9,8,3,12,1,"ebola",0.999889600644375,1,-0.201216666666667,0.573816666666667,0.276308333333333,0,0.310112847222222,0.479166666666667,2,72,0.0812
"14","c0ad339d6b7b002b8e366e7366eebf91",4,9,9,3,12,2,"ebola",0.99951580960603,1,-0.09965,0.91076875,0.226375,0.166666666666667,0.422824435763889,0.5625,2,72,0.0812
"15","c0ad339d6b7b002b8e366e7366eebf91",4,9,17,3,12,3,"ebola",0.956449493729145,1,-0.4097,1.15723263888889,0.57725,-0.666666666666667,0.736952039930556,1.22916666666667,2,72,0.0812
"16","c0ad339d6b7b002b8e366e7366eebf91",4,9,29,3,12,4,"ebola",0.732792756153016,0.583333333333333,-0.421266666666667,3.36429799603175,1.007325,-0.666666666666667,1.63035094246032,2.22916666666667,2,72,0.0812
"17","c0ad339d6b7b002b8e366e7366eebf91",5,17,9,0,12,1,"ebola",0.567823911691577,0.625,0.083075,1.21353680555556,-0.101166666666667,0.166666666666667,0.407104552469136,0.466666666666667,2,72,0.0017
"18","c0ad339d6b7b002b8e366e7366eebf91",5,17,17,0,12,2,"ebola",0.969840458779714,0.513888888888889,-0.03895,1.33558402777778,-0.100525,-0.666666666666667,0.662035108024691,1.13333333333333,2,72,0.0017
"19","c0ad339d6b7b002b8e366e7366eebf91",5,17,29,0,12,3,"ebola",0.999924306566098,0.611111111111111,-0.0127166666666667,3.90800521825397,-0.22275,-0.666666666666667,1.53753395061728,2.13333333333333,2,72,0.0017
"20","c0ad339d6b7b002b8e366e7366eebf91",6,26,17,0,12,1,"ebola",0.49873422936798,0.5,-0.167308333333333,0.901960416666667,0.207541666666667,-0.666666666666667,0.607890732167352,1.05555555555556,2,72,1e-04
"21","c0ad339d6b7b002b8e366e7366eebf91",6,26,29,0,12,2,"ebola",0.768949907876838,0.625,-0.15335,2.01713317460317,0.449833333333333,-0.666666666666667,1.46784122085048,2.05555555555556,2,72,1e-04
"22","c0ad339d6b7b002b8e366e7366eebf91",7,43,29,0,12,1,"ebola",0.823241506993304,0.659722222222222,-0.0864,1.96473678571429,0.259225,-0.666666666666667,1.3471113180722,1.9047619047619,3,72,0
