"","dataset","cali_window_size","no_cali_cases","no_proj_cases","days_since_case","proj_window_size","proj_window_no","disease","reliability","sharpness","bias","mse","residual","null_bias","null_mse","null_residual","pred_type","outbreak_size","prop_zero"
"1","c1c8a2a7553df65383e4a32adf02fe44",1,1,0,11,12,1,"ebola",0.00116623200755784,1,0.1255,0.209408333333333,-0.149291666666667,1,0.00694444444444444,-0.0833333333333333,2,29,0.4482
"2","c1c8a2a7553df65383e4a32adf02fe44",1,1,1,11,12,2,"ebola",0.675269393115032,1,0.141741666666667,2.31818333333333,-0.414041666666667,0.833333333333333,0.0413773148148148,1.15987044910689e-18,2,29,0.4482
"3","c1c8a2a7553df65383e4a32adf02fe44",1,1,2,11,12,3,"ebola",0.999928117880072,1,0.242425,60.9020361111111,-2.119725,0.833333333333333,0.108410493827161,0.0833333333333333,2,29,0.4482
"4","c1c8a2a7553df65383e4a32adf02fe44",1,1,2,11,12,4,"ebola",0.999950000000015,1,0.260641666666667,2756.83291666667,-11.9101083333333,0.666666666666667,0.0758101851851852,0.0833333333333333,2,29,0.4482
"5","c1c8a2a7553df65383e4a32adf02fe44",2,1,1,23,12,1,"ebola",0.999950000000015,1,-0.061075,0.0626916666666667,0.0602583333333333,0.833333333333333,0.0398582175925926,0.0416666666666667,2,29,0.8639
"6","c1c8a2a7553df65383e4a32adf02fe44",2,1,2,23,12,2,"ebola",0.999950000000015,1,-0.0547666666666667,0.172744444444444,0.126233333333333,0.833333333333333,0.108121141975309,0.125,2,29,0.8639
"7","c1c8a2a7553df65383e4a32adf02fe44",2,1,2,23,12,3,"ebola",0.999950000000015,1,-0.115358333333333,1.223025,0.042125,0.666666666666667,0.0779803240740741,0.125,2,29,0.8639
"8","c1c8a2a7553df65383e4a32adf02fe44",2,1,8,23,12,4,"ebola",0.999879940152363,1,-0.343425,34.3789902777778,0.1642,0.166666666666667,0.404670621141975,0.625,2,29,0.8639
"9","c1c8a2a7553df65383e4a32adf02fe44",3,2,2,11,12,1,"ebola",0.448136517226275,1,-0.0129833333333333,0.191061111111111,0.08435,0.833333333333333,0.107853223593964,0.111111111111111,2,29,0.5734
"10","c1c8a2a7553df65383e4a32adf02fe44",3,2,2,11,12,2,"ebola",0.735726495902522,1,-0.05945,0.2908875,0.029275,0.666666666666667,0.0769032921810699,0.111111111111111,2,29,0.5734
"11","c1c8a2a7553df65383e4a32adf02fe44",3,2,8,11,12,3,"ebola",0.932798375975289,1,-0.266041666666667,1.73068611111111,0.348566666666667,0.166666666666667,0.398941186556927,0.611111111111111,2,29,0.5734
"12","c1c8a2a7553df65383e4a32adf02fe44",3,2,5,11,12,4,"ebola",0.879321428869076,1,-0.111466666666667,19.8397138888889,-0.4873,0.333333333333333,0.21857853223594,0.361111111111111,2,29,0.5734
"13","c1c8a2a7553df65383e4a32adf02fe44",4,4,2,1,12,1,"ebola",0.0982624195846843,1,-0.000366666666666691,0.272895833333333,-0.02105,0.666666666666667,0.0758101851851852,0.0833333333333333,2,29,0.1281
"14","c1c8a2a7553df65383e4a32adf02fe44",4,4,8,1,12,2,"ebola",0.848055294781047,1,-0.0959666666666666,1.12477777777778,0.157016666666667,0.166666666666667,0.388358410493827,0.583333333333333,2,29,0.1281
"15","c1c8a2a7553df65383e4a32adf02fe44",4,4,5,1,12,3,"ebola",0.976363932535127,0.916666666666667,0.190508333333333,9.66910694444444,-0.868525,0.333333333333333,0.211709104938272,0.333333333333333,2,29,0.1281
"16","c1c8a2a7553df65383e4a32adf02fe44",4,4,10,1,12,4,"ebola",0.999950000000015,0.5,0.136525,299.430834027778,-3.08855833333333,-0.166666666666667,0.457224151234568,0.75,2,29,0.1281
"17","c1c8a2a7553df65383e4a32adf02fe44",5,6,8,3,12,1,"ebola",0.279304760496653,1,-0.137375,0.673388888888889,0.284008333333333,0.166666666666667,0.382569444444444,0.566666666666667,2,29,0.0596
"18","c1c8a2a7553df65383e4a32adf02fe44",5,6,5,3,12,2,"ebola",0.752740359658113,1,0.125608333333333,1.23372916666667,-0.286875,0.333333333333333,0.208194444444444,0.316666666666667,2,29,0.0596
"19","c1c8a2a7553df65383e4a32adf02fe44",5,6,10,3,12,3,"ebola",0.953539139429075,0.541666666666667,0.06075,5.07557569444444,-0.614258333333333,-0.166666666666667,0.448402777777778,0.733333333333333,2,29,0.0596
"20","c1c8a2a7553df65383e4a32adf02fe44",6,14,5,2,12,1,"ebola",0.806746876898014,0.5,0.397025,1.8053875,-0.7258,0.333333333333333,0.196877143347051,0.222222222222222,2,29,1e-04
"21","c1c8a2a7553df65383e4a32adf02fe44",6,14,10,2,12,2,"ebola",0.999812508332261,0.625,0.453733333333333,5.00906944444444,-1.37435833333333,-0.166666666666667,0.405483753429355,0.638888888888889,2,29,1e-04
"22","c1c8a2a7553df65383e4a32adf02fe44",7,19,10,0,12,1,"ebola",0.987844201466213,0.666666666666667,-0.047125,0.94341875,0.060075,-0.166666666666667,0.393755708301839,0.607142857142857,2,29,4e-04
